Title,Price,Link,Image Link,Sold Date
2022 Panini Prizm WORLD CUP Qatar International Ink GARETH BARRY #I-GBY Auto,"141,817.50 VND",https://www.ebay.com/itm/356645611604,https://i.ebayimg.com/images/g/kAAAAOSwEitntVGU/s-l140.jpg,"Sold  Mar 13, 2025"
2022 Panini Prizm WORLD CUP Qatar International Ink GARETH BARRY #I-GBY Auto,"144,396.00 VND",https://www.ebay.com/itm/356613697001,https://i.ebayimg.com/images/g/kAAAAOSwEitntVGU/s-l140.jpg,"Sold  Mar 3, 2025"
Gareth Barry - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/235979849498,https://i.ebayimg.com/images/g/kkgAAeSwU4dnwVfF/s-l140.jpg,"Sold  Mar 1, 2025"
Gareth Barry - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/226615290933,https://i.ebayimg.com/images/g/JGgAAeSwn01nu9xq/s-l140.jpg,"Sold  Feb 26, 2025"
Gareth Barry - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"83,801.25 VND",https://www.ebay.com/itm/226608120419,https://i.ebayimg.com/images/g/uDYAAeSwsvJntpSl/s-l140.jpg,"Sold  Feb 22, 2025"
2022 Panini Prizm World Cup Gareth Barry Signature Auto #S-GBY 6/25,"257,592.15 VND",https://www.ebay.com/itm/256712056849,https://i.ebayimg.com/images/g/-kgAAOSw73RnMkwQ/s-l140.jpg,"Sold  Jan 28, 2025"
2022 Panini Prizm World Cup Gareth Barry Signatures Choice Auto #S-GBY,"257,850.00 VND",https://www.ebay.com/itm/126866827445,https://i.ebayimg.com/images/g/ZaIAAOSw9bZnebth/s-l140.jpg,"Sold  Jan 12, 2025"
2023-24 Panini PL Soccer Purple Prizm Tim howard Gareth Barry Dual AUTO 9/10,"1,005,615.00 VND",https://www.ebay.com/itm/388062645554,https://i.ebayimg.com/images/g/CkYAAOSwsPhnz2-r/s-l140.jpg,"Sold  Mar 17, 2025"
2022 Prizm World Cup Qatar International Ink Choice Gareth Barry PSA 10 Auto,"477,022.50 VND",https://www.ebay.com/itm/235976831205,https://i.ebayimg.com/images/g/LLIAAeSwmaRnvmC-/s-l140.jpg,"Sold  Mar 7, 2025"
Topps Match Attax World Cup 2010 Gareth Barry Limited Edition NEW! MINT!,"1,160,361.20 VND",https://www.ebay.com/itm/135575551230,https://i.ebayimg.com/images/g/glEAAeSwuupnu3zN/s-l140.jpg,"Sold  Mar 2, 2025"
2022 Panini Prizm World Cup Prizm Autograph Auto Card : Gareth Barry,"281,056.50 VND",https://www.ebay.com/itm/355558634181,https://i.ebayimg.com/images/g/GI4AAOSwcQ5l-S2s/s-l140.jpg,"Sold  Feb 28, 2025"
2010 Panini FIFA World Cup South Africa Gareth Barry #85,"65,493.90 VND to 73,229.40 VND",https://www.ebay.com/itm/256745557176,https://i.ebayimg.com/images/g/28gAAeSwW4Vno6MP/s-l140.jpg,"Sold  Feb 4, 2025"
1999 Futera Aston Villa Fans Selection Soccer #24 Gareth Barry PSA 5 EX,"83,801.25 VND",https://www.ebay.com/itm/387866059472,https://i.ebayimg.com/images/g/qSUAAOSwBxZnl7Qx/s-l140.jpg,"Sold  Feb 3, 2025"
2022 Panini Prizm World Cup Auto Gareth Barry England,"154,194.30 VND",https://www.ebay.com/itm/387883261727,https://i.ebayimg.com/images/g/pXEAAOSw3TVnnwm9/s-l140.jpg,"Sold  Feb 2, 2025"
2022 PRIZM PREMIER LEAGUE GARETH BARRY SIGNATURE GOLD CHOICE PRIZM /10 PSA 9,"1,289,250.00 VND",https://www.ebay.com/itm/315039964021,https://i.ebayimg.com/images/g/gDIAAOSwi-RlftG8/s-l140.jpg,"Sold  Jan 28, 2025"
