Title,Price,Link,Image Link,Sold Date
2018 Prizm World Cup Genki Haraguchi Black & Gold Prizms Refractor Base,"73,229.40 VND",https://www.ebay.com/itm/176902281317,https://i.ebayimg.com/images/g/OyQAAOSwTIFi4cVs/s-l140.jpg,"Sold  Mar 7, 2025"
2018 Prizm World Cup Genki Haraguchi Black & Gold Prizms Refractor Base,"70,908.75 VND",https://www.ebay.com/itm/186938927067,https://i.ebayimg.com/images/g/OyQAAOSwTIFi4cVs/s-l140.jpg,"Sold  Mar 4, 2025"
2021-22 Topps stadium Club Bundesliga Genki Haraguchi 1/1 - FC Union Berlin,"6,960,660.75 VND",https://www.ebay.com/itm/256785473803,https://i.ebayimg.com/images/g/tVcAAOSwFGJnaxrO/s-l140.jpg,"Sold  Feb 3, 2025"
Topps Chrome Bundesliga - VfB Stuttgart - Genki Haraguchi /75,"28,250.05 VND",https://www.ebay.com/itm/116529915973,https://i.ebayimg.com/images/g/qVcAAeSwoqVn3lIE/s-l140.jpg,"Sold  Mar 29, 2025"
Genki Haraguchi /180 Blue Topps Bundesliga Chrome 2022/23 Parallel Stuttgart,"28,250.05 VND",https://www.ebay.com/itm/396254397057,https://i.ebayimg.com/images/g/b8UAAOSwxu9nwKVS/s-l140.jpg,"Sold  Mar 9, 2025"
Topps 2023 Bundesliga Card No. FOL-GH Genki Haraguchi Gold China Jade 11/50,"253,967.91 VND",https://www.ebay.com/itm/235717134154,https://i.ebayimg.com/images/g/bIEAAOSwE49mzj7S/s-l140.jpg,"Sold  Feb 1, 2025"
2022 Genki Haraguchi Topps Stadium Club Orange/Blue Refractor Union Berlin 7/10,"181,879.80 VND",https://www.ebay.com/itm/135584902896,https://i.ebayimg.com/images/g/ZlQAAOSwAktlRBTo/s-l140.jpg,"Sold  Mar 1, 2025"
2022 topps stadium club chrome Genki Haraguchi 1/175 Aqua electric eBay 1/1 ,"103,819.80 VND",https://www.ebay.com/itm/146364238210,https://i.ebayimg.com/images/g/SVUAAOSwzZpnehlz/s-l140.jpg,"Sold  Feb 8, 2025"
JAPAN - GENKI HARAGUCHI SIGNED WORLD CUP 2018 FOOTBALL TRADING CARD ,"199,812.26 VND",https://www.ebay.com/itm/286343447547,https://i.ebayimg.com/images/g/WUoAAeSw0YBntewv/s-l140.jpg,"Sold  Feb 24, 2025"
Autograph - Genki Haraguchi (Hertha BSC Berlin) - 2016/2017,"72,647.71 VND",https://www.ebay.com/itm/143946718871,https://i.ebayimg.com/images/g/JM8AAOSwrwhgJtMV/s-l140.jpg,"Sold  Jan 19, 2025"
