Title,Price,Link,Image Link,Sold Date
World Cup Scorers Sir Geoff Hurst And Martin Peters Autographed Card ,"32,896.84 VND",https://www.ebay.com/itm/297123407354,https://i.ebayimg.com/images/g/BZMAAeSwNmpn2Bs6/s-l140.jpg,"Sold  Mar 27, 2025"
World Cup Scorers Sir Geoff Hurst And Martin Peters Autographed Sheet ,"808,797.01 VND",https://www.ebay.com/itm/297123241014,https://i.ebayimg.com/images/g/ZigAAeSwL61n2A9B/s-l140.jpg,"Sold  Mar 27, 2025"
Sir Geoff Hurst - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/226620252482,https://i.ebayimg.com/images/g/IZ0AAeSwoGRnwUtn/s-l140.jpg,"Sold  Mar 1, 2025"
Sir Geoff Hurst - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"270,742.50 VND",https://www.ebay.com/itm/235966357942,https://i.ebayimg.com/images/g/DM0AAeSweE5ntrTt/s-l140.jpg,"Sold  Feb 22, 2025"
Sir Geoff Hurst - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"70,650.90 VND",https://www.ebay.com/itm/297026840496,https://i.ebayimg.com/images/g/ayMAAeSwr7Bnsse9/s-l140.jpg,"Sold  Feb 19, 2025"
Sir Geoff Hurst - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"190,293.30 VND",https://www.ebay.com/itm/235960640086,https://i.ebayimg.com/images/g/MEgAAeSw4tlnsW55/s-l140.jpg,"Sold  Feb 18, 2025"
1966 WORLD CUP GEOFF HURST & MARTIN PETERS SIGNED WHITE CARDS ENGLANDS SCORERS 2,"332,291.30 VND",https://www.ebay.com/itm/365277326342,https://i.ebayimg.com/images/g/GPQAAOSw27dnVtXi/s-l140.jpg,"Sold  Feb 13, 2025"
1966 WORLD CUP GEOFF HURST & MARTIN PETERS SIGNED WHITE CARDS ENGLANDS SCORERS 3,"398,417.26 VND",https://www.ebay.com/itm/365277327210,https://i.ebayimg.com/images/g/MNoAAOSwcndnVtZA/s-l140.jpg,"Sold  Jan 22, 2025"
2022 Panini Prizm World Cup Sir Geoff Hurst International Ink Auto #I-GHU,"670,410.00 VND",https://www.ebay.com/itm/126922962841,https://i.ebayimg.com/images/g/oLkAAeSwpg1no7bt/s-l140.jpg,"Sold  Feb 10, 2025"
2022 Panini Prizm World Cup Sir Geoff Hurst Signatures Auto #S-GHU,"580,162.50 VND",https://www.ebay.com/itm/375910901933,https://i.ebayimg.com/images/g/OvIAAOSwpNtnfZ2G/s-l140.jpg,"Sold  Jan 12, 2025"
Geoff Hurst England Signed 1966 World Cup Willie Card Photo Proof COA West Ham,"282,447.60 VND",https://www.ebay.com/itm/256802707400,https://i.ebayimg.com/images/g/YlUAAOSw~oJnfrcZ/s-l140.jpg,"Sold  Feb 10, 2025"
Geoff Hurst England Signed 1966 World Cup Jules Rimet Card Photo Proof COA,"295,739.25 VND",https://www.ebay.com/itm/256802697776,https://i.ebayimg.com/images/g/AyQAAOSwI9VnfrHh/s-l140.jpg,"Sold  Feb 9, 2025"
2022 Prizm World Cup Qatar Sir Geoff Hurst #S-GHU Black Breakaway 1/1 Auto PSA 9,"15,471,000.00 VND",https://www.ebay.com/itm/356714675219,https://i.ebayimg.com/images/g/go0AAOSwVwtn5atE/s-l140.jpg,"Sold  Apr 4, 2025"
2022 Prizm World Cup Qatar Sir Geoff Hurst Auto PSA 10,"3,867,750.00 VND",https://www.ebay.com/itm/388115868557,https://i.ebayimg.com/images/g/Q~gAAOSwrnNn2yp0/s-l140.jpg,"Sold  Apr 3, 2025"
2022 Panini Prizm Premier League Sir Geoff Hurst Prizm Silver Auto #84/99,"696,195.00 VND",https://www.ebay.com/itm/127014192383,https://i.ebayimg.com/images/g/U0EAAeSwagRn4xQ2/s-l140.jpg,"Sold  Mar 30, 2025"
2022 Panini Prizm World Cup Sir Geoff Hurst Auto  ENGLAND LEGEND,"902,217.15 VND",https://www.ebay.com/itm/266120722211,https://i.ebayimg.com/images/g/Z1cAAOSwt-Zj4XlI/s-l140.jpg,"Sold  Mar 29, 2025"
2022 SIR GEOFF HURST  AUTO PANINI PRIZM FIFA WORLD CUP QATAR 2022 SILVER /25,"2,552,715.00 VND",https://www.ebay.com/itm/296078135455,https://i.ebayimg.com/images/g/IwoAAOSwJqhlZqgq/s-l140.jpg,"Sold  Mar 28, 2025"
2022-23 Sir Geoff Hurst  Auto Panini Prizm Premier League BGN 9,"1,031,142.15 VND",https://www.ebay.com/itm/156526312688,https://i.ebayimg.com/images/g/mvMAAOSwDJJnOBWX/s-l140.jpg,"Sold  Mar 17, 2025"
2022-23 SIR GEOFF HURST AUTO PANINI PRIZM PREMIER LEAGUE AUTOGRAPHS,"1,031,142.15 VND",https://www.ebay.com/itm/156703393430,https://i.ebayimg.com/images/g/D5AAAOSwMidnrVvr/s-l140.jpg,"Sold  Mar 17, 2025"
2022 Leaf Vibrance Soccer - Michael Owen / Geoff Hurst Dual Auto /6,"690,264.45 VND",https://www.ebay.com/itm/267183579455,https://i.ebayimg.com/images/g/YhoAAeSwLoFnzdeQ/s-l140.jpg,"Sold  Mar 16, 2025"
2022-23 Panini Prizm Premier League Autograph Auto Card : Sir Geoff Hurst A5,"693,616.50 VND",https://www.ebay.com/itm/356619538640,https://i.ebayimg.com/images/g/wUQAAOSw7odmPZXr/s-l140.jpg,"Sold  Mar 15, 2025"
Sir Geoff Hurst 2022 Panini Prizm World Cup Qatar England Intl Ink Auto,"1,288,992.15 VND",https://www.ebay.com/itm/176825140143,https://i.ebayimg.com/images/g/wfQAAOSwwG1npDQx/s-l140.jpg,"Sold  Mar 15, 2025"
2022-23 Panini Prizm Premier League Signatures Green Pulsar Sir Geoff Hurst Auto,"515,442.15 VND",https://www.ebay.com/itm/267188268543,https://i.ebayimg.com/images/g/ueQAAOSwczVn050z/s-l140.jpg,"Sold  Mar 14, 2025"
