Title,Price,Link,Image Link,Sold Date
2023 Donruss FIFA Rated Rookie Silver 43/349 Georges Mikautadze #191 PSA 8,"141,817.50 VND",https://www.ebay.com/itm/256864948291,https://i.ebayimg.com/images/g/XDIAAeSwkQ5n3Kr7/s-l140.jpg,"Sold  Mar 30, 2025"
2023-24 Panini Donruss FIFA Rated Rookie Green /5 Georges Mikautadze #191 PSA 8,"11,300,018.40 VND",https://www.ebay.com/itm/387841817844,https://i.ebayimg.com/images/g/YgwAAOSwAahnjhVa/s-l140.jpg,"Sold  Mar 27, 2025"
2023-24 Panini Donruss Fifa - The Rookies Georges Mikautadze Rookie RC 1/1,"12,866,715.00 VND",https://www.ebay.com/itm/236003185159,https://i.ebayimg.com/images/g/ZgoAAeSw-ZRn01Vx/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Donruss Fifa - The Rookies Georges Mikautadze Rookie RC Gold /10,"4,099,815.00 VND",https://www.ebay.com/itm/236003188767,https://i.ebayimg.com/images/g/KKYAAeSw-ltn01Yq/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Donruss Fifa - Rated Rookie Georges Mikautadze #191 Red /99,"77,097.15 VND",https://www.ebay.com/itm/396313303886,https://i.ebayimg.com/images/g/VkIAAeSwJ6ln0evq/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Donruss FIFA Rated Rookie Teal /199 Georges Mikautadze #191,"51,054.30 VND to 147,490.20 VND",https://www.ebay.com/itm/235985015174,https://i.ebayimg.com/images/g/bYUAAeSwL6Jnw7Tq/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Donruss FIFA Rated Rookie Purple /25 Georges Mikautadze #191,"666,284.40 VND",https://www.ebay.com/itm/335793033905,https://i.ebayimg.com/images/g/-ykAAOSwAOJnnh-0/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Donruss FIFA Rated Rookie Gold 10/10 Georges Mikautadze #191,"670,410.00 VND",https://www.ebay.com/itm/335792143921,https://i.ebayimg.com/images/g/UfAAAOSwLUNnnUWP/s-l140.jpg,"Sold  Feb 8, 2025"
2023-24 Panini FIFA Donruss Soccer Ajax Amsterdam Georges Mikautadze,"28,250.05 VND",https://www.ebay.com/itm/176399893581,https://i.ebayimg.com/images/g/dsQAAOSwpJdmVzf2/s-l140.jpg,"Sold  Feb 6, 2025"
2023-24 Panini FIFA Donruss Soccer Ajax Amsterdam The Rookies Georges Mikautadze,"84,467.64 VND",https://www.ebay.com/itm/176399903741,https://i.ebayimg.com/images/g/4q4AAOSwt2VmVzih/s-l140.jpg,"Sold  Feb 6, 2025"
GEORGES MIKAUTADZE 2024 2024 Topps Chrome UEFA Euro Negative Refractor /125 # 49,"77,097.15 VND",https://www.ebay.com/itm/335706860282,https://i.ebayimg.com/images/g/He8AAOSwu~tnTWN9/s-l140.jpg,"Sold  Apr 4, 2025"
GEORGES MIKAUTADZE 2024 Topps Chrome Sapphire UEFA Euro Orange Refractor #/25,"386,517.15 VND",https://www.ebay.com/itm/356355906488,https://i.ebayimg.com/images/g/3hEAAOSwpT5nVmZM/s-l140.jpg,"Sold  Mar 19, 2025"
GEORGES MIKAUTADZE 2024 Topps Chrome Sapphire UEFA Euro Orange Refractor /25,"83,801.25 VND",https://www.ebay.com/itm/226577444842,https://i.ebayimg.com/images/g/xZoAAOSwXDRnnr2F/s-l140.jpg,"Sold  Feb 10, 2025"
2023-24 Donruss Soccer Georges Mikautadze Rated Rookie Pink Cubic /99 AFC Ajax,"514,410.75 VND",https://www.ebay.com/itm/166921361771,https://i.ebayimg.com/images/g/yNsAAOSw5DJmvrnb/s-l140.jpg,"Sold  Mar 30, 2025"
2023-24 Donruss Soccer Georges Mikautadze Rated Rookie Pink Cubic /99 AFC Ajax,"146,974.50 VND",https://www.ebay.com/itm/405101014973,https://i.ebayimg.com/images/g/cc4AAOSw0hJmlBpp/s-l140.jpg,"Sold  Jan 22, 2025"
2024 Topps Chrome UEFA Euro Sapphire BLACK /10 Georges Mikautadze #49,"567,270.00 VND",https://www.ebay.com/itm/286339279429,https://i.ebayimg.com/images/g/YvYAAOSwjspntAoL/s-l140.jpg,"Sold  Feb 22, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange 1/25 Georges Mikautadze #49,"159,867.00 VND",https://www.ebay.com/itm/286321388030,https://i.ebayimg.com/images/g/ACEAAOSwrypnrBu5/s-l140.jpg,"Sold  Feb 16, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 Georges Mikautadze #49,"227,165.85 VND",https://www.ebay.com/itm/286289700458,https://i.ebayimg.com/images/g/BVkAAOSw9gtnma9O/s-l140.jpg,"Sold  Feb 2, 2025"
2024 Topps Chrome UEFA Euro Sapphire Black /10 Georges Mikautadze #49,"773,807.85 VND",https://www.ebay.com/itm/286288200546,https://i.ebayimg.com/images/g/QjAAAOSwWaJnmGXu/s-l140.jpg,"Sold  Feb 1, 2025"
2024 Topps Chrome UEFA Euro Sapphire Gold /50 Georges Mikautadze #49,"141,817.50 VND",https://www.ebay.com/itm/286261713737,https://i.ebayimg.com/images/g/LPwAAOSwneJnhJNl/s-l140.jpg,"Sold  Jan 17, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 Georges Mikautadze #49,"193,387.50 VND",https://www.ebay.com/itm/286251882552,https://i.ebayimg.com/images/g/dREAAOSwArdnfMJ~/s-l140.jpg,"Sold  Jan 11, 2025"
Georges Mikautadze 2024-25 Topps Deco UEFA UCL Base Blue /49 Lyon,"156,257.10 VND",https://www.ebay.com/itm/256795127485,https://i.ebayimg.com/images/g/DwwAAOSw9ZBnkyZn/s-l140.jpg,"Sold  Feb 2, 2025"
Georges Mikautadze 2024-25 Topps Deco UEFA UCL Base Purple /25 Lyon,"104,429.25 VND",https://www.ebay.com/itm/256788394335,https://i.ebayimg.com/images/g/wZgAAOSwwIJni8Qw/s-l140.jpg,"Sold  Jan 26, 2025"
2024 Topps Chrome Euro Georges Mikautadze Gold 33/50 Georgia Olympique Lyonnais,"130,100.00 VND",https://www.ebay.com/itm/365481186524,https://i.ebayimg.com/images/g/GekAAOSwWY1n4h0k/s-l140.jpg,"Sold  Apr 4, 2025"
2024 Topps Chrome Euro Georges Mikautadze Gold 33/50 Georgia Olympique Lyonnais,"32,525.00 VND",https://www.ebay.com/itm/365463110766,https://i.ebayimg.com/images/g/t8wAAOSwaQJn1iLg/s-l140.jpg,"Sold  Mar 20, 2025"
2024 Topps Chrome Euro Georges Mikautadze Gold 33/50 Georgia Olympique Lyonnais,"52,040.00 VND",https://www.ebay.com/itm/365429627280,https://i.ebayimg.com/images/g/w2wAAOSw9bpnwRRs/s-l140.jpg,"Sold  Mar 4, 2025"
2024 Topps Chrome Euro Georges Mikautadze Gold 33/50 Georgia Olympique Lyonnais,"45,535.00 VND",https://www.ebay.com/itm/365395449623,https://i.ebayimg.com/images/g/zx0AAOSwJ9tnrVbU/s-l140.jpg,"Sold  Feb 17, 2025"
2024 Topps Chrome Euro Georges Mikautadze Gold 33/50 Georgia Olympique Lyonnais,"32,525.00 VND",https://www.ebay.com/itm/365362485498,https://i.ebayimg.com/images/g/A54AAOSwG9xnlEgC/s-l140.jpg,"Sold  Jan 31, 2025"
2024 Topps Chrome Euro Georges Mikautadze Gold 44/50 AJAX Georgia,"26,020.00 VND",https://www.ebay.com/itm/365353113464,https://i.ebayimg.com/images/g/7FsAAOSwK2Vnjai5/s-l140.jpg,"Sold  Jan 24, 2025"
Georges Mikautadze 2023-24 Donruss Optic #191 Rated Rookie Silver Holo Prizm,"28,622.00 VND",https://www.ebay.com/itm/405463855110,https://i.ebayimg.com/images/g/H8EAAOSw1-Rnfdjj/s-l140.jpg,"Sold  Mar 26, 2025"
Georges Mikautadze 2023-24 Donruss Optic #191 Rated Rookie Silver Holo Prizm,"41,371.80 VND",https://www.ebay.com/itm/335837230675,https://i.ebayimg.com/images/g/6JgAAeSwNA5nwe1I/s-l140.jpg,"Sold  Mar 23, 2025"
2024 Topps Chrome Euro Georges Mikautadze Styleguide 19/24 AJAX Georgia,"156,120.00 VND",https://www.ebay.com/itm/365377822451,https://i.ebayimg.com/images/g/dG8AAOSw33pnoXH3/s-l140.jpg,"Sold  Feb 8, 2025"
2024 Topps Chrome Euro Georges Mikautadze Styleguide 11/24 AJAX Georgia,"26,020.00 VND",https://www.ebay.com/itm/365353113223,https://i.ebayimg.com/images/g/lScAAOSwOsxnjaiv/s-l140.jpg,"Sold  Jan 19, 2025"
Georges Mikautadze 2023-24 Panini Donruss FIFA The Rookies RED FOIL #22 RC,"38,677.50 VND",https://www.ebay.com/itm/205391018200,https://i.ebayimg.com/images/g/gWoAAeSwvJFn6~R0/s-l140.jpg,"Sold  Apr 4, 2025"
2024-25 Topps Deco UEFA Georges Mikautadze Wine Red 48/75 Lyonnais Georgia,"73,487.25 VND",https://www.ebay.com/itm/365497361921,https://i.ebayimg.com/images/g/dyUAAOSwJCFn6zr8/s-l500.jpg,"Sold  Apr 5, 2025"
2023-24 PANINI DONRUSS FIFA OPTIC-HOLO #191 GEORGES MIKAUTADZE ROOKIE RC PSA 8,"154,710.00 VND",https://www.ebay.com/itm/297153945621,https://i.ebayimg.com/images/g/LNsAAeSwtvtn5Lfj/s-l140.jpg,"Sold  Apr 3, 2025"
2023-24 Donruss FIFA Georges Mikautadze THE ROOKIES RC PSA 10 GEM AFC AJAX #22,"902,217.15 VND",https://www.ebay.com/itm/176627676106,https://i.ebayimg.com/images/g/MbUAAOSwOqlnDKOg/s-l140.jpg,"Sold  Mar 30, 2025"
2023-24 Panini Donruss FIFA Georges Mikautadze Cubic Silver Rated Rookie #191,"25,527.15 VND",https://www.ebay.com/itm/315895978171,https://i.ebayimg.com/images/g/ikkAAOSwUdBnHwuu/s-l140.jpg,"Sold  Mar 26, 2025"
2024 Topps UCC Summer Signatures Champions League Georges Mikautadze,"28,250.05 VND",https://www.ebay.com/itm/335794334636,https://i.ebayimg.com/images/g/VvYAAOSwm8JnnoqB/s-l140.jpg,"Sold  Feb 6, 2025"
GEORGES MIKAUTADZE #/199 ** AQUA HOLO ** 2023-24 Panini DONRUSS FIFA AJAX ROOKIE,"206,022.15 VND",https://www.ebay.com/itm/196502767522,https://i.ebayimg.com/images/g/~ygAAOSw7w9mlMMd/s-l140.jpg,"Sold  Mar 23, 2025"
2024 GEORGES MIKAUTADZE 09/25 TOPPS CHROME UEFA EURO2024 GERMANY ICE ORANGE,"283,377.15 VND",https://www.ebay.com/itm/156680963655,https://i.ebayimg.com/images/g/e40AAOSwR11npDA2/s-l140.jpg,"Sold  Mar 23, 2025"
23-24 Optic FIFA Georges Mikautadze Rated Rookie Dragon SSP /9 #191,"2,319,360.75 VND",https://www.ebay.com/itm/226344821095,https://i.ebayimg.com/images/g/tJ8AAOSwwLRm4MhM/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 GEORGES MIKAUTADZE 12/25 PANINI DONRUSS FIFA ROOKIE RC #191 FOIL PURPLE,"438,087.15 VND",https://www.ebay.com/itm/156432301045,https://i.ebayimg.com/images/g/mn4AAOSwaUJm9h42/s-l140.jpg,"Sold  Mar 16, 2025"
2024 Topps Chrome UEFA EURO Georges Mikautadze Blue Refractor 67/75 #49 KT01,"23,206.50 VND",https://www.ebay.com/itm/396277974368,https://i.ebayimg.com/images/g/Nb4AAOSwOtFnx1s3/s-l140.jpg,"Sold  Mar 13, 2025"
2023-24 Panini Optic Donruss Soccer No. 191 Georges Mikautadze Rated Rookie,"42,092.57 VND",https://www.ebay.com/itm/335703321849,https://i.ebayimg.com/images/g/e8YAAOSw0ltnStx3/s-l140.jpg,"Sold  Feb 18, 2025"
2024 Topps Chrome UEFA Euro Orange Refractors Georges Mikautadze Georgia #22 /25,"296,625.48 VND",https://www.ebay.com/itm/256796614367,https://i.ebayimg.com/images/g/RHgAAOSwUsNnVMZW/s-l140.jpg,"Sold  Feb 9, 2025"
GEORGES MIKAUTADZE DECO UCC TOPPS 2024-25 OLYMPIQUE LYONNAIS LIGUE 1 /49,"56,500.09 VND",https://www.ebay.com/itm/135525585827,https://i.ebayimg.com/images/g/tucAAOSw5SRnm35x/s-l140.jpg,"Sold  Feb 9, 2025"
Topps Chrome UEFA Number 49 Georges Mikautadze Green Wave Refractor,"51,132.58 VND",https://www.ebay.com/itm/335785785225,https://i.ebayimg.com/images/g/9T8AAOSw8plnbsHn/s-l140.jpg,"Sold  Feb 6, 2025"
2023-24 Topps Chrome UEFA Euro Georges Mikautadze Color Match Refractor #/99,"64,462.50 VND",https://www.ebay.com/itm/126907304897,https://i.ebayimg.com/images/g/o-oAAOSwcU1nmUZe/s-l140.jpg,"Sold  Feb 2, 2025"
Georges Mikautadze THE ROOKIES 2023-24 Panini Donruss Soccer #191 RC Lyon Insert,"25,785.00 VND",https://www.ebay.com/itm/196695434749,https://i.ebayimg.com/images/g/D2cAAOSw99ZnAAto/s-l140.jpg,"Sold  Jan 23, 2025"
2024 Topps Chrome UEFA EURO #49 Georges Mikautadze EURO Styleguide #/24,"386,259.30 VND",https://www.ebay.com/itm/296886538335,https://i.ebayimg.com/images/g/j2sAAOSw1Z1nYanB/s-l140.jpg,"Sold  Jan 16, 2025"
GEORGES MIKAUTADZE 2024 TOPPS CHROME UEFA EURO ORANGE SAPPHIRE /25 Q0902,"58,016.25 VND",https://www.ebay.com/itm/276805941319,https://i.ebayimg.com/images/g/AK0AAOSwGUJnexk7/s-l140.jpg,"Sold  Jan 12, 2025"
Georges Mikautadze 22/49 Topps Here We Go UCC Summer Signings 2024,"234,180.00 VND",https://www.ebay.com/itm/286215139713,https://i.ebayimg.com/images/g/9PAAAOSwS7hnXaUT/s-l140.jpg,"Sold  Apr 4, 2025"
Georges Mikautadze/75 Olympique Lyonnais Topps Deco 2024/25,"28,489.30 VND",https://www.ebay.com/itm/396353770584,https://i.ebayimg.com/images/g/mdwAAeSwq51nxFYQ/s-l140.jpg,"Sold  Mar 30, 2025"
2023 Panini Donruss Georges Mikautadze Gold Rated Rookie /10 Ajax Georgia SP RC,"8,172,621.80 VND",https://www.ebay.com/itm/286200462426,https://i.ebayimg.com/images/g/~7QAAOSwFc5nUbG~/s-l140.jpg,"Sold  Mar 30, 2025"
PANINI ADRENALYN XL LEAGUE1 2025 MEGACRACK CARD #476 GEORGES MIKAUTADZE LYON,"626,764.56 VND",https://www.ebay.com/itm/297142479068,https://i.ebayimg.com/images/g/9foAAeSwS11n4Fzl/s-l140.jpg,"Sold  Mar 24, 2025"
2023-24 #191 GEORGES MIKAUTADZE 34/49 BLUE SPECKLE RATED ROOKIE - PANINI DONRUSS,"205,558.00 VND",https://www.ebay.com/itm/286319723051,https://i.ebayimg.com/images/g/vksAAOSwBR5nq36t/s-l140.jpg,"Sold  Mar 23, 2025"
Georges Mikautadze 2023-24 Panini Donruss #191 Optic Real Mojo Prizm /49,"390,039.80 VND",https://www.ebay.com/itm/375888403688,https://i.ebayimg.com/images/g/pDUAAOSwrzhnbGCE/s-l140.jpg,"Sold  Mar 23, 2025"
Topps Here We Go Georges Mikautadze /10,"1,040,800.00 VND",https://www.ebay.com/itm/388089052018,https://i.ebayimg.com/images/g/I6sAAOSwM61n1acB/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Donruss Optic Georges Mikautadze Rated Rookie Purple Mojo /25 SP #191,"2,055,580.00 VND",https://www.ebay.com/itm/405602610988,https://i.ebayimg.com/images/g/EOMAAOSwoiFnxc47/s-l140.jpg,"Sold  Mar 23, 2025"
"GEORGES MIKAUTADZE, OL. LYON, 2024 TOPPS UCC SUMMER SIGNINGS by FABRIZIO ROMANO","28,489.30 VND",https://www.ebay.com/itm/365225517451,https://i.ebayimg.com/images/g/XXsAAOSwErdnMiWC/s-l140.jpg,"Sold  Mar 17, 2025"
Georges Mikautadze 2024 Topps Here We Go Rising Stars Base Peacock Blue /49 ,"110,585.00 VND",https://www.ebay.com/itm/256839724026,https://i.ebayimg.com/images/g/7r8AAOSwnvxnxDm8/s-l140.jpg,"Sold  Mar 9, 2025"
GEORGES MIKAUTADZE 2023-24 Donruss RATED ROOKIE SILVER HOLO PRIZM RC Ajax #191,"51,779.80 VND",https://www.ebay.com/itm/116282854844,https://i.ebayimg.com/images/g/IZEAAOSwod1mtDQS/s-l140.jpg,"Sold  Feb 10, 2025"
2023-24 Panini Donruss Optic Georges Mikautadze Purple Mojo Rookie RC 01/25,"442,079.80 VND",https://www.ebay.com/itm/176818277234,https://i.ebayimg.com/images/g/um0AAOSw8DpnnsQ2/s-l140.jpg,"Sold  Feb 8, 2025"
2024/25 Topps Deco UCC - Georges Mikautadze Olympique Lyon ,"56,693.70 VND",https://www.ebay.com/itm/356390987167,https://i.ebayimg.com/images/g/vcUAAOSwn0dnZNTi/s-l140.jpg,"Sold  Feb 4, 2025"
Topps UCC Deco 24/25 Georges Mikautadze /25 - Olympique Lyonnais,"142,446.49 VND",https://www.ebay.com/itm/186914536506,https://i.ebayimg.com/images/g/oksAAOSwbmlnhCdU/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Panini Donruss Georges Mikautadze Rookie RC Optic Red 238/299 Georgia,"26,020.00 VND",https://www.ebay.com/itm/365347857957,https://i.ebayimg.com/images/g/2G0AAOSwvuRnibxM/s-l140.jpg,"Sold  Jan 21, 2025"
Topps Deco 2024-25 Georges Mikautadze Numbered Card 18/99 Lyon,"33,024.06 VND",https://www.ebay.com/itm/286260787124,https://i.ebayimg.com/images/g/73cAAOSwLHZng9mf/s-l140.jpg,"Sold  Jan 19, 2025"
GEORGES MIKAUTADZE 2024 TOPPS CHROME EURO SAPPHIRE SSP GOLD #/50 Georgia Ajax,"77,799.80 VND",https://www.ebay.com/itm/205211630197,https://i.ebayimg.com/images/g/sBIAAOSwfb1nfbDC/s-l140.jpg,"Sold  Jan 12, 2025"
