Title,Price,Link,Image Link,Sold Date
Georginio Wijnaldum - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"348,097.50 VND",https://www.ebay.com/itm/297026565923,https://i.ebayimg.com/images/g/PXgAAeSw6y9nsqrz/s-l140.jpg,"Sold  Feb 19, 2025"
Georginio Wijnaldum - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/297023003737,https://i.ebayimg.com/images/g/Im0AAeSwhlpnsU8r/s-l140.jpg,"Sold  Feb 18, 2025"
2019-20 Topps C147 Match Attax 101 Champions League - Georginio Wijnaldum W77,"28,250.05 VND",https://www.ebay.com/itm/255535610308,https://i.ebayimg.com/images/g/qSAAAOSwb0xif4no/s-l140.jpg,"Sold  Sep 27, 2022"
2020 Panini Select UEFA Euro Preview Terrace Tri-Color Prizm Georginio Wijnaldum,"25,785.00 VND",https://www.ebay.com/itm/235984821094,https://i.ebayimg.com/images/g/zBsAAeSwh~dnw4J8/s-l140.jpg,"Sold  Mar 18, 2025"
2022 GEORGINIO WIJNALDUM 02/25 PANINI NATIONAL TREASURES FIFA ROAD TO WORLD CUP,"515,442.15 VND",https://www.ebay.com/itm/155508587125,https://i.ebayimg.com/images/g/iWAAAOSwKQRkN3iu/s-l140.jpg,"Sold  Mar 16, 2025"
Topps Now Champions League 2018-19 Liverpool Georginio Wijnaldum PR #/125,"1,933,875.00 VND",https://www.ebay.com/itm/326408775620,https://i.ebayimg.com/images/g/9g4AAOSwWhJniR8G/s-l140.jpg,"Sold  Mar 7, 2025"
2020 Panini Select UEFA Euro Georginio Wijnaldum Equalizers Gold Prizm /10,"670,152.15 VND",https://www.ebay.com/itm/116447383575,https://i.ebayimg.com/images/g/g~kAAOSwoRhna5hW/s-l140.jpg,"Sold  Feb 27, 2025"
2022 Panini FIFA World Cup Qatar Stickers Netherlands Blue Georginio Wijnaldum,"25,527.15 VND to 36,099.00 VND",https://www.ebay.com/itm/256763488253,https://i.ebayimg.com/images/g/ARgAAOSw81lnbk4j/s-l140.jpg,"Sold  Feb 20, 2025"
2021 Mosaic Uefa Euro Georginio Wijnaldum Will To Win Orange /25 #12,"88,705.14 VND",https://www.ebay.com/itm/405525481154,https://i.ebayimg.com/images/g/rsAAAOSwM~dnI2PA/s-l140.jpg,"Sold  Feb 13, 2025"
Panini Road to UEFA EURO 2020 Adrenaline Card No. 327 # Georginio Wijnaldum,"56,500.09 VND",https://www.ebay.com/itm/276503300630,https://i.ebayimg.com/images/g/oOYAAOSwdclkREKx/s-l140.jpg,"Sold  Feb 7, 2025"
PANINI DONRUSS SOCCER 2021-22 GEORGINIO WIJNALDUM NETHERLANDS PARALLEL 252/349,"66,125.97 VND",https://www.ebay.com/itm/156629646196,https://i.ebayimg.com/images/g/EW4AAOSwyHFnjmW1/s-l140.jpg,"Sold  Feb 1, 2025"
2022 Topps Finest Soccer Georginio Wijnaldum Superfractor 1/1 One Of One!,"2,578,500.00 VND",https://www.ebay.com/itm/205240445377,https://i.ebayimg.com/images/g/VEwAAOSwU~hnkZug/s-l140.jpg,"Sold  Jan 29, 2025"
PANINI SELECT SOCCER 2017-18 GEORGINIO WIJNALDUM NETHERLANDS TRI COLOUR PRIZM,"39,874.96 VND",https://www.ebay.com/itm/156607529595,https://i.ebayimg.com/images/g/dIIAAOSwoxlncDGP/s-l140.jpg,"Sold  Jan 24, 2025"
2022 Prizm World Cup Georginio Wijnaldum Black Prizm Global Reach #1/1,"4,061,137.50 VND",https://www.ebay.com/itm/126865300114,https://i.ebayimg.com/images/g/1vcAAOSwX3dneG9m/s-l140.jpg,"Sold  Jan 8, 2025"
