Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select Serie A Giacomo Raspadori Equalizers Pink 10/25 Napoli,"58,016.25 VND",https://www.ebay.com/itm/135663420496,https://i.ebayimg.com/images/g/DRkAAeSwS1Fn6sWj/s-l500.jpg,"Sold  Apr 7, 2025"
2023-24 Panini Select Serie A Giacomo Raspadori Equalizers Peacock Prizm - #3 ,"773,292.15 VND",https://www.ebay.com/itm/235859261176,https://i.ebayimg.com/images/g/IIcAAOSwm8xnUdFz/s-l140.jpg,"Sold  Jan 19, 2025"
Giacomo Raspadori 2023-24 Panini Donruss Soccer FIFA Kit Kings Patch [dbI71,"73,487.25 VND",https://www.ebay.com/itm/376072891078,https://i.ebayimg.com/images/g/1zQAAOSwgi5n1jKs/s-l140.jpg,"Sold  Mar 20, 2025"
Giacomo Raspadori 2023-24 Panini Donruss Soccer FIFA Kit Kings Patch [dbI71,"54,148.50 VND",https://www.ebay.com/itm/376072852088,https://i.ebayimg.com/images/g/2wQAAOSwUGVn1i0J/s-l140.jpg,"Sold  Mar 20, 2025"
Giacomo Raspadori - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"77,355.00 VND",https://www.ebay.com/itm/297052112966,https://i.ebayimg.com/images/g/KDMAAeSwPZZnu90c/s-l140.jpg,"Sold  Feb 26, 2025"
Giacomo Raspadori - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/226608127529,https://i.ebayimg.com/images/g/zLYAAeSwrv9ntpUs/s-l140.jpg,"Sold  Feb 22, 2025"
Giacomo Raspadori - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/297023007008,https://i.ebayimg.com/images/g/-uoAAeSwPNBnsU-m/s-l140.jpg,"Sold  Feb 18, 2025"
2024-25 Panini Donruss Soccer Giacomo Raspadori Italy /199 Teal Parallel,"56,500.09 VND",https://www.ebay.com/itm/405536049219,https://i.ebayimg.com/images/g/B9MAAOSwrdRnqjg6/s-l140.jpg,"Sold  Feb 17, 2025"
2024-25 Panini Donruss Soccer Giacomo Raspadori Optic Italy /299 Red Parallel,"42,375.07 VND",https://www.ebay.com/itm/405536032172,https://i.ebayimg.com/images/g/s-sAAOSwCn9nqjbc/s-l140.jpg,"Sold  Feb 17, 2025"
Giacomo Raspadori - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/235925992248,https://i.ebayimg.com/images/g/d6UAAOSwA-5nkalZ/s-l140.jpg,"Sold  Jan 25, 2025"
Giacomo Raspadori - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/235923189269,https://i.ebayimg.com/images/g/uAEAAOSwU4xnjwUB/s-l140.jpg,"Sold  Jan 23, 2025"
Giacomo Raspadori - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #9,"64,204.65 VND",https://www.ebay.com/itm/226572455028,https://i.ebayimg.com/images/g/ZKQAAeSwnfBnmuex/s-l140.jpg,"Sold  Feb 1, 2025"
Giacomo Raspadori - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #8,"64,204.65 VND",https://www.ebay.com/itm/235934207244,https://i.ebayimg.com/images/g/oqUAAeSw861nmZM~/s-l140.jpg,"Sold  Jan 31, 2025"
Giacomo Raspadori - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/296965019500,https://i.ebayimg.com/images/g/jmIAAOSwSvNnlZwl/s-l140.jpg,"Sold  Jan 28, 2025"
Giacomo Raspadori - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/296963084501,https://i.ebayimg.com/images/g/87gAAOSwgr1nlFaJ/s-l140.jpg,"Sold  Jan 27, 2025"
2023 Topps Finest UEFA Giacomo Raspadori Speckle Green #/125 #56,"25,527.15 VND",https://www.ebay.com/itm/375910909536,https://i.ebayimg.com/images/g/RcAAAOSwGVpnfZ3L/s-l140.jpg,"Sold  Jan 12, 2025"
2023 Topps Finest UEFA Giacomo Raspadori Sky Blue #/275 #56,"25,527.15 VND",https://www.ebay.com/itm/126871600314,https://i.ebayimg.com/images/g/u2gAAOSwEGZnfZ20/s-l140.jpg,"Sold  Jan 12, 2025"
Giacomo Raspadori 2023-24 Topps Chrome UEFA Blue Geometric Refractor 011/150,"25,785.00 VND",https://www.ebay.com/itm/376120601941,https://i.ebayimg.com/images/g/xVUAAOSw8vRn7Kzx/s-l500.jpg,"Sold  Apr 6, 2025"
Giacomo Raspadori 2023-24 Topps Chrome UEFA Golazo Blue Refractor 145/150 [dbF3,"25,785.00 VND",https://www.ebay.com/itm/375930342849,https://i.ebayimg.com/images/g/Ma4AAOSwn0RnizrJ/s-l140.jpg,"Sold  Jan 22, 2025"
23-24 Topps Chrome UEFA - Giacomo Raspadori Purple Wave Refractor /175 #149,"25,785.00 VND",https://www.ebay.com/itm/326516874838,https://i.ebayimg.com/images/g/dpkAAeSwo~tnrxN6/s-l140.jpg,"Sold  Apr 4, 2025"
2023 Topps Chrome UEFA Giacomo Raspadori Color Match Refractor #/99 #149,"25,785.00 VND",https://www.ebay.com/itm/286261637560,https://i.ebayimg.com/images/g/uPQAAOSwcK1nhHx9/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Topps Chrome Japan UEFA Giacomo Raspadori Yellow Mojo Refractor #012/150,"39,708.90 VND",https://www.ebay.com/itm/376080150879,https://i.ebayimg.com/images/g/790AAeSwaMln2z6D/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Topps Chrome Japan UEFA Giacomo Raspadori Yellow Mojo Refractor #012/150,"25,759.80 VND",https://www.ebay.com/itm/376129772595,https://i.ebayimg.com/images/g/790AAeSwaMln2z6D/s-l140.jpg,"Sold  Apr 8, 2025"
2023-24 Topps Chrome UEFA Club Comp #GL-9 Giacomo Raspadori Golazo Refractor SP,"25,527.15 VND",https://www.ebay.com/itm/405148654906,https://i.ebayimg.com/images/g/pU0AAOSwrQNmse6D/s-l140.jpg,"Sold  Mar 16, 2025"
2023 Topps Chrome UEFA UCC Giacomo Raspadori Gold Refractor #8/50,"25,527.15 VND",https://www.ebay.com/itm/375943031030,https://i.ebayimg.com/images/g/FFIAAOSw8mNnkXv7/s-l140.jpg,"Sold  Jan 27, 2025"
Giacomo Raspadori 2023-24 Topps Chrome Sapphire UEFA Yellow 48/75 [dbJ66,"25,785.00 VND",https://www.ebay.com/itm/376048217656,https://i.ebayimg.com/images/g/MkMAAOSw2vVnyn8p/s-l140.jpg,"Sold  Mar 11, 2025"
Giacomo Raspadori 2023-24 Topps Chrome UEFA Golazo Yellow 124/125 [dbH57,"39,966.75 VND",https://www.ebay.com/itm/376032399442,https://i.ebayimg.com/images/g/LbsAAOSw2p9nwnNb/s-l140.jpg,"Sold  Mar 5, 2025"
Giacomo Raspadori 2023-24 Topps Chrome UEFA Club Competitions Red Lava Refractor,"25,785.00 VND",https://www.ebay.com/itm/376011655944,https://i.ebayimg.com/images/g/Mq8AAOSwt9dnt-M1/s-l140.jpg,"Sold  Feb 25, 2025"
Giacomo Raspadori 2023-24 Topps Chrome UEFA Golazo Gold Lava Refractor [dbF3,"42,545.25 VND",https://www.ebay.com/itm/375930324292,https://i.ebayimg.com/images/g/gjMAAOSwud5nizh3/s-l140.jpg,"Sold  Jan 22, 2025"
2023-24 Topps Chrome UEFA Club Golazo #GL9 Giacomo Raspadori,"51,312.15 VND",https://www.ebay.com/itm/365134923004,https://i.ebayimg.com/images/g/cBQAAeSwK5Nn8rE4/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Topps Chrome UEFA CC Golazo Aqua Wave Refractors #GL9 Giacomo Raspadori,"26,816.40 VND",https://www.ebay.com/itm/375907214605,https://i.ebayimg.com/images/g/oP8AAOSwr8pncjH1/s-l140.jpg,"Sold  Jan 12, 2025"
2023 Topps Chrome UEFA Giacomo Raspadori Pink Geometric Refractor #190/250,"25,527.15 VND",https://www.ebay.com/itm/126941582817,https://i.ebayimg.com/images/g/aZ8AAeSwI3Rnr7kV/s-l140.jpg,"Sold  Feb 19, 2025"
2023-24 Topps Chrome Merlin UEFA Giacomo Raspadori Atomic Refractor #154/250,"25,527.15 VND",https://www.ebay.com/itm/375939962906,https://i.ebayimg.com/images/g/WRAAAOSwTFNnj~4m/s-l140.jpg,"Sold  Jan 26, 2025"
TOPPS STADIUM CHROME UEFA 2023-24 GIACOMO RASPADORI #50/50 GOLD REFRACTOR NAPOLI,"83,801.25 VND",https://www.ebay.com/itm/205283707585,https://i.ebayimg.com/images/g/y48AAOSwkEZnq4Sl/s-l140.jpg,"Sold  Feb 16, 2025"
TOPPS STADIUM CHROME UEFA 2023-24 GIACOMO RASPADORI /50 GOLD REFRACTOR NAPOLI,"51,312.15 VND",https://www.ebay.com/itm/146338478809,https://i.ebayimg.com/images/g/zrIAAOSwiOxnjEsB/s-l140.jpg,"Sold  Jan 23, 2025"
Giacomo Raspadori 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"51,827.85 VND",https://www.ebay.com/itm/167287143793,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Giacomo Raspadori 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"25,527.15 VND",https://www.ebay.com/itm/167284683723,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
Giacomo Raspadori 2024 Topps Chrome UEFA Golazo Aqua Wave 065/199 [dbF13,"39,966.75 VND",https://www.ebay.com/itm/375964352591,https://i.ebayimg.com/images/g/K0YAAOSw75Jnnt7W/s-l140.jpg,"Sold  Feb 6, 2025"
Giacomo Raspadori 2023-24 Topps Chrome UEFA Golazo Aqua Wave Refractor 123/199,"25,785.00 VND",https://www.ebay.com/itm/375957077612,https://i.ebayimg.com/images/g/06EAAOSwl3tnidt4/s-l140.jpg,"Sold  Feb 2, 2025"
Giacomo Raspadori 2023-24 Topps Chrome UEFA Golazo Aqua Wave Refractor 123/199,"25,785.00 VND",https://www.ebay.com/itm/375928439914,https://i.ebayimg.com/images/g/06EAAOSwl3tnidt4/s-l140.jpg,"Sold  Jan 21, 2025"
2023-24 Stadium Club Chrome UEFA Giacomo Raspadori Royal Blue Refractor #27/175,"25,527.15 VND",https://www.ebay.com/itm/126911505052,https://i.ebayimg.com/images/g/naYAAOSwSlFnm-CF/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Stadium Club Chrome Giacomo Raspadori Black White Refractor #6/299 #81,"25,759.80 VND",https://www.ebay.com/itm/375910909239,https://i.ebayimg.com/images/g/~zwAAOSwiYhnfZ38/s-l140.jpg,"Sold  Jan 12, 2025"
2023-24 Immaculate Giacomo Raspadori Heralded Materials Jersey #21/25,"112,146.20 VND",https://www.ebay.com/itm/127033497112,https://i.ebayimg.com/images/g/OMMAAeSw0Aln8DvC/s-l500.jpg,"Sold  Apr 9, 2025"
2023-24 Panini Immaculate Giacomo Raspadori Heralded Materials Patch /99,"130,100.00 VND",https://www.ebay.com/itm/226675705247,https://i.ebayimg.com/images/g/1tYAAeSwDyln2OdB/s-l140.jpg,"Sold  Apr 7, 2025"
2023-24 Panini Immaculate Giacomo Raspadori Heralded Materials Relic #04/99,"520,139.80 VND",https://www.ebay.com/itm/267174401831,https://i.ebayimg.com/images/g/-9YAAOSwnyVnwoW3/s-l140.jpg,"Sold  Mar 1, 2025"
PSA 9 2021-22 Panini Chron Optic Rookie Ticket Giacomo Raspadori Blue Mojo 16/16,"910,700.00 VND",https://www.ebay.com/itm/187002725537,https://i.ebayimg.com/images/g/SnwAAeSwrBxntb-r/s-l140.jpg,"Sold  Apr 6, 2025"
2021-22 Panini Chronicles Optic Rookie Ticket Giacomo Raspadori #300 Purple Mojo,"63,749.00 VND",https://www.ebay.com/itm/335595802078,https://i.ebayimg.com/images/g/bg4AAOSwN3hm-aPi/s-l140.jpg,"Sold  Jan 22, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2104,"130,100.00 VND",https://www.ebay.com/itm/356725381320,https://i.ebayimg.com/images/g/xJ0AAOSwAzFn6pGz/s-l140.jpg,"Sold  Apr 5, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2096,"39,030.00 VND",https://www.ebay.com/itm/356734347677,https://i.ebayimg.com/images/g/igkAAOSw6yNn5yEJ/s-l140.jpg,"Sold  Apr 3, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2086,"65,050.00 VND",https://www.ebay.com/itm/356705874005,https://i.ebayimg.com/images/g/qGYAAOSwdm5n4byU/s-l140.jpg,"Sold  Mar 29, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2072,"39,030.00 VND",https://www.ebay.com/itm/356700784270,https://i.ebayimg.com/images/g/830AAOSw415n2GkH/s-l140.jpg,"Sold  Mar 23, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2053,"39,030.00 VND",https://www.ebay.com/itm/356674869750,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 16, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2034,"39,030.00 VND",https://www.ebay.com/itm/356639413293,https://i.ebayimg.com/images/g/yzQAAOSwWsVnwkKI/s-l140.jpg,"Sold  Mar 6, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2032,"71,555.00 VND",https://www.ebay.com/itm/356605353996,https://i.ebayimg.com/images/g/2qYAAOSwURBnvN3m/s-l140.jpg,"Sold  Mar 1, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2022,"78,060.00 VND",https://www.ebay.com/itm/356594411069,https://i.ebayimg.com/images/g/nREAAOSwl2Znt8VA/s-l140.jpg,"Sold  Feb 25, 2025"
GIACOMO RASPADORI 2023-24 IMMACULATE SOCCER  1x Case 6x Hobby Box PYP BREAK 2018,"71,294.80 VND",https://www.ebay.com/itm/356583749665,https://i.ebayimg.com/images/g/tMYAAOSwsvFns7yy/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 GIACOMO RASPADORI 24/25 PANINI IMMACULATE COLLECTION,"311,979.80 VND",https://www.ebay.com/itm/156836646800,https://i.ebayimg.com/images/g/Vn4AAOSwBpBn5O-o/s-l140.jpg,"Sold  Mar 31, 2025"
