Title,Price,Link,Image Link,Sold Date
2024 Panini Prizm CONMEBOL Copa America #89 Gianluca Lapadula Green Wave,"110,585.00 VND",https://www.ebay.com/itm/127018411719,https://i.ebayimg.com/images/g/OpcAAOSw-QZn5gls/s-l140.jpg,"Sold  Apr 3, 2025"
2024 Panini Prizm CONMEBOL Copa America Ice Prizm Gianluca Lapadula #89,"283,357.80 VND",https://www.ebay.com/itm/235957830505,https://i.ebayimg.com/images/g/CiwAAeSwid1nrt2A/s-l140.jpg,"Sold  Mar 29, 2025"
2024 Panini Prizm CONMEBOL Copa America #89 Gianluca Lapadula Silver,"58,284.80 VND",https://www.ebay.com/itm/297040190152,https://i.ebayimg.com/images/g/RI0AAeSwqwlnt5V8/s-l140.jpg,"Sold  Mar 2, 2025"
2024 Panini Prizm CONMEBOL Copa America #89 Gianluca Lapadula Hyper,"38,769.80 VND",https://www.ebay.com/itm/297040190174,https://i.ebayimg.com/images/g/xB0AAeSw6btnt5Yr/s-l140.jpg,"Sold  Feb 23, 2025"
2024 Panini Prizm CONMEBOL Copa America #89 Gianluca Lapadula Red Pulsar #/125,"103,819.80 VND",https://www.ebay.com/itm/135573285189,https://i.ebayimg.com/images/g/rcoAAeSw~5dnufiq/s-l140.jpg,"Sold  Feb 22, 2025"
2024 Panini Prizm Copa America - Gianluca Lapadula Blue Pulsar /75 - Peru,"284,608.09 VND",https://www.ebay.com/itm/135478614649,https://i.ebayimg.com/images/g/3tQAAOSwgKhnaC3X/s-l140.jpg,"Sold  Mar 23, 2025"
23-24 Prizm Copa America - Gianluca Lapadula Red Pulsar Prizm /125 #89 Peru,"259,939.80 VND",https://www.ebay.com/itm/167131430383,https://i.ebayimg.com/images/g/JqQAAOSwan1nR6Bi/s-l140.jpg,"Sold  Mar 17, 2025"
2024 Panini Prizm Copa America Gianluca Lapadula White Sparkle SSP #89 Peru,"779,299.00 VND",https://www.ebay.com/itm/126879369362,https://i.ebayimg.com/images/g/k4kAAOSwgw1ng84G/s-l140.jpg,"Sold  Jan 12, 2025"
2024 Panini Prizm Copa America Blue Wave Gianluca Lapadula 001/199 Peru #89,"468,099.80 VND",https://www.ebay.com/itm/365151592028,https://i.ebayimg.com/images/g/Vz0AAOSwRM9m~HVs/s-l140.jpg,"Sold  Mar 21, 2025"
2024 Panini Prizm Copa America Gianluca Lapadula Purple /99 #89,"203,736.60 VND",https://www.ebay.com/itm/205320504161,https://i.ebayimg.com/images/g/j9IAAeSwYEdnwIog/s-l140.jpg,"Sold  Mar 6, 2025"
2024 Panini Prizm Copa America Gianluca Lapadula Red Prizm 160/199 #89,"33,565.80 VND",https://www.ebay.com/itm/326408479960,https://i.ebayimg.com/images/g/oIEAAOSwIZ9nibSc/s-l140.jpg,"Sold  Jan 23, 2025"
2024 Panini Prizm CONMEBOL Copa America Blue Pulsar /75 Gianluca Lapadula #89,"260,200.00 VND",https://www.ebay.com/itm/116483013325,https://i.ebayimg.com/images/g/1DYAAeSwE5hnsuJG/s-l140.jpg,"Sold  Feb 26, 2025"
2024 Panini Prizm CONMEBOL Silver Pulsar Gianluca Lapadula Peru #89,"65,050.00 VND",https://www.ebay.com/itm/405531365966,https://i.ebayimg.com/images/g/HYgAAOSwjcpnbce6/s-l140.jpg,"Sold  Feb 16, 2025"
2024 Panini Prizm Copa Joao Grimaldo RC Gianluca Lapadula Red 199 Peru Full Set,"585,450.00 VND",https://www.ebay.com/itm/365388859367,https://i.ebayimg.com/images/g/f7cAAOSwe65nqUo1/s-l140.jpg,"Sold  Feb 14, 2025"
2024 Panini Prizm Copa Joao Grimaldo RC Gianluca Lapadula Red 199 Peru Full Set,"143,110.00 VND",https://www.ebay.com/itm/365371709638,https://i.ebayimg.com/images/g/45IAAOSwuUpnnCi2/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Panini Prizm Copa Joao Grimaldo RC Gianluca Lapadula Red 199 Peru Full Set,"71,555.00 VND",https://www.ebay.com/itm/365343717430,https://i.ebayimg.com/images/g/rrYAAOSwYwJnhwGf/s-l140.jpg,"Sold  Jan 19, 2025"
2024 Panini Prizm Copa Gianluca Lapadula Joao Grimaldo RC Purple 49 Ful Set PERU,"2,081,600.00 VND",https://www.ebay.com/itm/365368765777,https://i.ebayimg.com/images/g/z90AAOSw4m5nmZuk/s-l140.jpg,"Sold  Feb 2, 2025"
2024 Panini Prizm Copa Gianluca Lapadula Joao Grimaldo RC Purple 49 Ful Set PERU,"2,081,600.00 VND",https://www.ebay.com/itm/365349582032,https://i.ebayimg.com/images/g/96QAAOSw9CJniwrR/s-l140.jpg,"Sold  Jan 22, 2025"
2024 Panini Prizm Copa Gianluca Lapadula Joao Grimaldo RC Purple 49 Ful Set PERU,"2,081,600.00 VND",https://www.ebay.com/itm/365331761899,https://i.ebayimg.com/images/g/Kj0AAOSwusNnfxnb/s-l140.jpg,"Sold  Jan 13, 2025"
2021-22 Panini Mosaic FIFA Road to World Cup Prizm Gianluca Lapadula #11,"191,840.40 VND",https://www.ebay.com/itm/335840898987,https://i.ebayimg.com/images/g/PbAAAeSwDNBnxMSw/s-l140.jpg,"Sold  Mar 17, 2025"
2020-21 Panini Mosaic Serie A Pitch Masters Mosaic Gianluca Lapadula #5,"88,728.20 VND",https://www.ebay.com/itm/256822455444,https://i.ebayimg.com/images/g/BbQAAeSwdy1ntIOK/s-l140.jpg,"Sold  Apr 8, 2025"
2024 Prizm Gianluca Lapadula Blue Pulsar Prizm #89 #1/75 Made C001902,"208,160.00 VND",https://www.ebay.com/itm/127026516774,https://i.ebayimg.com/images/g/qK0AAeSwJGZn66Ri/s-l140.jpg,"Sold  Apr 7, 2025"
Gianluca Lapadula 2024 Panini Prizm COPA America RED PULSAR SSP #/125 PERU 🔥 ,"390,039.80 VND",https://www.ebay.com/itm/126678450748,https://i.ebayimg.com/images/g/RloAAOSwGUFm6ZXs/s-l140.jpg,"Sold  Mar 24, 2025"
2024 PRIZM COPA AMERICA GIANLUCA LAPADULA RED PULSAR PRIZM #89 Ser #92/125 PERU,"494,380.00 VND",https://www.ebay.com/itm/375830253839,https://i.ebayimg.com/images/g/6QUAAOSw2XZnSp~6/s-l140.jpg,"Sold  Mar 21, 2025"
GIANLUCA LAPADULA AC 10 2024 PANINI PRIZM COPA AMERICA #89 STARS STRIPES 15/24,"559,430.00 VND",https://www.ebay.com/itm/176919701363,https://i.ebayimg.com/images/g/BnUAAOSw05xn0wnD/s-l140.jpg,"Sold  Mar 20, 2025"
2024 Panini Prizm Copa America #89 Gianluca Lapadula Stars and Stripes /24 Peru,"1,300,739.80 VND",https://www.ebay.com/itm/316159709491,https://i.ebayimg.com/images/g/QOAAAOSwHiVnlSdw/s-l140.jpg,"Sold  Mar 15, 2025"
Panini 2024-2025 Footballers Figure New N 75 Gianluca Lapadula Cagliari ,"28,489.30 VND",https://www.ebay.com/itm/276788339485,https://i.ebayimg.com/images/g/3UEAAOSw9ExnZ9Je/s-l140.jpg,"Sold  Mar 15, 2025"
2024 Panini Prizm Conmebol Copa America Gianluca Lapadula Purple Wave Prizm...,"195,150.00 VND",https://www.ebay.com/itm/376050966549,https://i.ebayimg.com/images/g/61IAAeSwbUlny7FC/s-l140.jpg,"Sold  Mar 14, 2025"
Gianluca Lapadula 2024 Panini Prizm COPA Purple Wave Prizm #89 Peru /99,"52,300.20 VND",https://www.ebay.com/itm/197106072021,https://i.ebayimg.com/images/g/B8AAAeSwHvFn032L/s-l140.jpg,"Sold  Mar 13, 2025"
 Panini Footballers 2024/2025 Gianluca Lapadula #75 Cagliari ,"51,280.74 VND",https://www.ebay.com/itm/387791952963,https://i.ebayimg.com/images/g/dD8AAOSwA7lneQql/s-l140.jpg,"Sold  Mar 12, 2025"
2020-21 Chronicles Benevento Gianluca Lapadula #7 Rookie Prestige Silver Circles,"134,477.23 VND",https://www.ebay.com/itm/174855927750,https://i.ebayimg.com/images/g/~moAAOSwuZxg~EJ6/s-l140.jpg,"Sold  Mar 12, 2025"
2020 Chronicles Prestige Serie A Xtra Points Cracked Ice /23 Gianluca Lapadula,"245,628.80 VND",https://www.ebay.com/itm/335801900867,https://i.ebayimg.com/images/g/Be4AAeSwfpRnpfxp/s-l140.jpg,"Sold  Mar 12, 2025"
2020-21 Panini Chronicles Prestige GIANLUCA LAPADULA #7 Xtra Points Blue /99,"77,799.80 VND",https://www.ebay.com/itm/394861622841,https://i.ebayimg.com/images/g/1AgAAOSwNF9k9-To/s-l140.jpg,"Sold  Mar 12, 2025"
2024 Panini Select COPA Amwerica - Pulsar Prizm #89 Gianluca Lapadula,"78,060.00 VND",https://www.ebay.com/itm/167309223289,https://i.ebayimg.com/images/g/tLUAAOSwl2Nnq8ew/s-l140.jpg,"Sold  Mar 3, 2025"
V30) 2020-21 Illusions Gianluca Lapadula Purple Astro SP Benevento Serie A,"76,759.00 VND",https://www.ebay.com/itm/376019606448,https://i.ebayimg.com/images/g/I18AAOSwaZFmgjz7/s-l140.jpg,"Sold  Mar 2, 2025"
Marathon Peru Home Soccer Jersey Gianluca Lapadula Boys Size 14 Copa America,"598,460.00 VND",https://www.ebay.com/itm/205262624677,https://i.ebayimg.com/images/g/TVcAAOSwY0tnJr7h/s-l140.jpg,"Sold  Feb 13, 2025"
Panini Prizm Copa America 2024 Gianluca lapadula Elephant Prizm Case Hit SSP,"1,691,300.00 VND",https://www.ebay.com/itm/276840918510,https://i.ebayimg.com/images/g/DFEAAOSwzXtnn-7v/s-l140.jpg,"Sold  Feb 6, 2025"
gianluca lapadula 2024 Prizm Conmebol Copa America Prizm Tiger Stripe Ssp,"494,380.00 VND",https://www.ebay.com/itm/316188440298,https://i.ebayimg.com/images/g/MRUAAOSwc8FnpDLo/s-l140.jpg,"Sold  Feb 5, 2025"
2024 Panini Prizm Copa America Prizms Silver #89 Gianluca Lapadula,"51,779.80 VND",https://www.ebay.com/itm/365347149021,https://i.ebayimg.com/images/g/p0AAAOSw3~9niVDd/s-l140.jpg,"Sold  Jan 24, 2025"
2017 Adidas AC Milan Home Soccer Jersey Men L Gianluca Lapadula Italy Peru,"3,382,600.00 VND",https://www.ebay.com/itm/405180613145,https://i.ebayimg.com/images/g/pVkAAOSwEyVmxQvt/s-l140.jpg,"Sold  Jan 12, 2025"
PANINI FOOTBALLERS ADRENALYN 2024-25 2025 CARD N.54 Gianluca Lapadula Cagliari,"28,489.30 VND",https://www.ebay.com/itm/305769719506,https://i.ebayimg.com/images/g/TAQAAOSw6Ilm2-8n/s-l140.jpg,"Sold  Jan 10, 2025"
