Title,Price,Link,Image Link,Sold Date
2022-23 Panini Select FIFA Gio Reyna Jumbo Swatches Silver USA Patch,"77,097.15 VND",https://www.ebay.com/itm/396358984394,https://i.ebayimg.com/images/g/03YAAOSww65ny3MC/s-l140.jpg,"Sold  Mar 30, 2025"
2022-23 Panini Select FIFA Gio Reyna Jumbo Swatches Silver USA Patch,"58,016.25 VND",https://www.ebay.com/itm/396292338206,https://i.ebayimg.com/images/g/03YAAOSww65ny3MC/s-l140.jpg,"Sold  Mar 16, 2025"
2024-25 Donruss FIFA Soccer Gio Reyna RED Foil Parallel #/99 USA USMNT Dortmund,"32,231.25 VND",https://www.ebay.com/itm/197135171597,https://i.ebayimg.com/images/g/MNkAAeSw2WNn3jeW/s-l140.jpg,"Sold  Mar 28, 2025"
2024-25 Donruss FIFA Soccer Gio Reyna OPTIC BLUE Prizm #/149 USA USMNT Dortmund,"25,527.15 VND",https://www.ebay.com/itm/197026520149,https://i.ebayimg.com/images/g/pzYAAeSwdy1nsfr~/s-l140.jpg,"Sold  Feb 23, 2025"
GIO REYNA 2023 OBSIDIAN PATCH AUTOGRAPH SOCCER ETCH AUTO /99 Q2723,"309,420.00 VND",https://www.ebay.com/itm/276956200171,https://i.ebayimg.com/images/g/M0EAAeSw0D9n2I2g/s-l140.jpg,"Sold  Mar 24, 2025"
GIO REYNA 2023 OBSIDIAN PATCH AUTOGRAPH SOCCER USA AUTO /99 Q1062,"296,527.50 VND",https://www.ebay.com/itm/276814716677,https://i.ebayimg.com/images/g/vokAAOSwCa9nhE7e/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Panini Select Premier League Gio Reyna Mezzanine Peacock Prizm #180,"96,693.75 VND",https://www.ebay.com/itm/365468954602,https://i.ebayimg.com/images/g/uR8AAOSw7Bdn2iMU/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Select Premier League Gio Reyna Mezzanine Peacock Prizm #180,"193,387.50 VND",https://www.ebay.com/itm/365442284906,https://i.ebayimg.com/images/g/024AAOSwJgpnyQki/s-l140.jpg,"Sold  Mar 12, 2025"
2023-24 Panini Select Premier League Gio Reyna #180 Mezzanine Winter Camo /110,"25,527.15 VND",https://www.ebay.com/itm/356622385721,https://i.ebayimg.com/images/g/IJIAAeSw~9Fnwuwg/s-l140.jpg,"Sold  Mar 7, 2025"
2023-24 Panini Select Premier League Gio Reyna Mezzanine Peacock Prizm #180,"25,527.15 VND",https://www.ebay.com/itm/365421532591,https://i.ebayimg.com/images/g/beQAAOSwhwRnvRGG/s-l140.jpg,"Sold  Mar 1, 2025"
2024-25 Panini Donruss Soccer Gio Reyna Red Sparkle  /99,"257,592.15 VND",https://www.ebay.com/itm/396162794945,https://i.ebayimg.com/images/g/3fkAAOSwLvtnm9U4/s-l140.jpg,"Sold  Mar 9, 2025"
2024-25 Panini Donruss Soccer Gio Reyna Red Sparkle  /99,"77,355.00 VND",https://www.ebay.com/itm/365377971190,https://i.ebayimg.com/images/g/BXwAAOSwJDFnoZFb/s-l140.jpg,"Sold  Feb 22, 2025"
2024-25 Donruss Soccer  Gio Reyna Blue /149 USA Soccer Card,"51,312.15 VND",https://www.ebay.com/itm/256825680527,https://i.ebayimg.com/images/g/s7cAAeSwdrhnsNL5/s-l140.jpg,"Sold  Feb 26, 2025"
2024-25 Donruss Soccer #14 Gio Reyna United States USA Soccer Card,"25,527.15 VND",https://www.ebay.com/itm/156668788310,https://i.ebayimg.com/images/g/LlEAAOSwjJJnn5RD/s-l140.jpg,"Sold  Feb 2, 2025"
2024-25 Panini Donruss Soccer Gio Reyna Silver Holo Prizm Optic United States,"51,312.15 VND",https://www.ebay.com/itm/405539565961,https://i.ebayimg.com/images/g/rnsAAeSwn7Vnq-Nc/s-l140.jpg,"Sold  Feb 17, 2025"
2024-25 Panini Donruss Soccer Gio Reyna Optic Silver Holo Prizm United States,"9,024.75 VND",https://www.ebay.com/itm/297007553031,https://i.ebayimg.com/images/g/JGIAAOSwEPhnmYPT/s-l140.jpg,"Sold  Feb 16, 2025"
2024-25 Panini Donruss Soccer Gio Reyna Silver Holo Prizm Optic United States,"59,047.65 VND",https://www.ebay.com/itm/276838484661,https://i.ebayimg.com/images/g/CH4AAOSwt8tnnW4o/s-l140.jpg,"Sold  Feb 12, 2025"
2024-25 Panini Donruss Soccer Gio Reyna 2/5 Green Optic United States,"522,146.25 VND",https://www.ebay.com/itm/167277452648,https://i.ebayimg.com/images/g/5UIAAOSwbf5nlyMP/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Select Premier League Gio Reyna Mezzanine Winter Camo 048/110 [lov1,"45,639.45 VND",https://www.ebay.com/itm/375928296421,https://i.ebayimg.com/images/g/N3sAAOSwPotneNZo/s-l140.jpg,"Sold  Jan 21, 2025"
2023-24 Select Premier League Gio Reyna Mezzanine Winter Camo 048/110 [lov1,"71,682.30 VND",https://www.ebay.com/itm/375903986790,https://i.ebayimg.com/images/g/N3sAAOSwPotneNZo/s-l140.jpg,"Sold  Jan 8, 2025"
PANINI OBSIDIAN SOCCER 2022/23 GIO REYNA USA TRFIECTA PATCH 06/75.,"132,916.52 VND",https://www.ebay.com/itm/156621785424,https://i.ebayimg.com/images/g/deYAAOSwzRxnYsE8/s-l140.jpg,"Sold  Jan 19, 2025"
PANINI OBSIDIAN SOCCER 2022/23 GIO REYNA USA TRFIECTA PATCH 06/75.,"139,562.34 VND",https://www.ebay.com/itm/156621785365,https://i.ebayimg.com/images/g/deYAAOSwzRxnYsE8/s-l140.jpg,"Sold  Jan 19, 2025"
2021-22 Mosaic World Cup Giovanni Gio Reyna Peacock SSP Case Hit + Prizm Silver,"1,443,960.00 VND",https://www.ebay.com/itm/204711662058,https://i.ebayimg.com/images/g/6O4AAOSwSuRmAcKE/s-l140.jpg,"Sold  Mar 31, 2025"
Gio Reyna • 1 /10 • USMNT • Gold Mojo  Panini Select Fifa,"1,289,250.00 VND",https://www.ebay.com/itm/197074882960,https://i.ebayimg.com/images/g/1WgAAOSwaVpmjf9R/s-l140.jpg,"Sold  Mar 30, 2025"
