Title,Price,Link,Image Link,Sold Date
GONZALO VILLAR #192 GRENADA CF 2023-24 CHROME ADRENALYN XL PANINI LA LIGA 23/24,"42,092.57 VND",https://www.ebay.com/itm/335218808759,https://i.ebayimg.com/images/g/12YAAOSwOCdlq72S/s-l140.jpg,"Sold  Mar 9, 2025"
Panini FIFA World Cup 2010 South Africa Sticker Choose # 467 - 638 Part 3/3,"28,250.05 VND to 42,375.07 VND",https://www.ebay.com/itm/235159440172,https://i.ebayimg.com/images/g/w7EAAOSwi7Jk62Z4/s-l140.jpg,"Sold  Apr 6, 2025"
Panini FIFA 365 2025 10 Years Stickers - Pick From ALL PART 2: #251 - #422,"28,250.05 VND to 84,467.64 VND",https://www.ebay.com/itm/375845501050,https://i.ebayimg.com/images/g/jiEAAOSw27dnUiwu/s-l140.jpg,"Sold  Apr 2, 2025"
Panini FIFA World Cup 2022 Qatar ORYX Edition Sticker Choose # FWC - WHALE 1/3,"28,250.05 VND to 113,000.18 VND",https://www.ebay.com/itm/234717184834,https://i.ebayimg.com/images/g/BsoAAOSwC29jN9Kr/s-l140.jpg,"Sold  Mar 27, 2025"
Panini 429 Gonzalo Higuain Argentina FIFA World Cup 2014 Brazil,"35,595.06 VND",https://www.ebay.com/itm/313682783252,https://i.ebayimg.com/images/g/-eAAAOSwsbRZb9NB/s-l140.jpg,"Sold  Feb 25, 2025"
2022 Panini Chronicles La Liga 23 Autograph Auto Gonzalo Plata Real Valladolid,"183,625.30 VND",https://www.ebay.com/itm/387988955410,https://i.ebayimg.com/images/g/gqoAAeSwAr9nu4qW/s-l140.jpg,"Sold  Mar 2, 2025"
Panini FIFA 365 2025 Stickers - Base / Foil / Golden Tribute - Pick #251-422,"28,250.05 VND to 56,500.09 VND",https://www.ebay.com/itm/375743094443,https://i.ebayimg.com/images/g/fioAAOSwNMdnHROg/s-l140.jpg,"Sold  Apr 2, 2025"
Panini FIFA World Cup 2010 South Africa Stickers Pick # 1 - 238 Part 1/3,"28,250.05 VND to 211,875.35 VND",https://www.ebay.com/itm/235159443945,https://i.ebayimg.com/images/g/ZgkAAOSwD~Rk62bo/s-l140.jpg,"Sold  Apr 6, 2025"
MEGACRACKS ⚽️⚽️🔥LA LIGA PANINI 2024/2025- GONZALO # 412 🍀 MASTER ROOKIE,"33,052.55 VND",https://www.ebay.com/itm/176543080341,https://i.ebayimg.com/images/g/~UUAAOSww-Bmy574/s-l140.jpg,"Sold  Feb 18, 2025"
2020-21 Panini Chronicles Spectra La Liga RC Gonzalo Melero Blue /16 Levante,"197,467.82 VND",https://www.ebay.com/itm/405552759382,https://i.ebayimg.com/images/g/EpkAAOSwRsNnsdeE/s-l140.jpg,"Sold  Mar 15, 2025"
PANINI ADRENALYN WORLD CUP BRAZIL 2014 UPDATE 1,"70,625.12 VND to 565,000.92 VND",https://www.ebay.com/itm/255475028209,https://i.ebayimg.com/images/g/FCMAAOSwhjNiTc2q/s-l140.jpg,"Sold  Mar 14, 2025"
Panini UEFA Champions League 2007-2008 Trading Cards CL 07/08 Cards Card Select,"64,692.61 VND to 101,417.67 VND",https://www.ebay.com/itm/294032547736,https://i.ebayimg.com/images/g/MZUAAOSwVL5gN47R/s-l140.jpg,"Sold  Mar 23, 2025"
Panini FIFA World Cup World Cup 2010 South Africa Single Sticker To Choose From No 00 - 219,"28,250.05 VND",https://www.ebay.com/itm/296127313417,https://i.ebayimg.com/images/g/-1EAAOSwY61liY5B/s-l140.jpg,"Sold  Feb 25, 2025"
Choose - FIFA World Cup 2022 Qatar Sticker 00 - MEX (Part 1) Selection Panini,"28,250.05 VND",https://www.ebay.com/itm/295950986719,https://i.ebayimg.com/images/g/hEQAAOSwuZllE-49/s-l140.jpg,"Sold  Feb 25, 2025"
