Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select FIFA #192 Guillermo Ochoa Pink #/75,"180,237.15 VND",https://www.ebay.com/itm/296954277292,https://i.ebayimg.com/images/g/9w4AAOSwaGdnjnnI/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini Select FIFA #192 Guillermo Ochoa Winter Camo #/99,"412,302.15 VND",https://www.ebay.com/itm/296812496815,https://i.ebayimg.com/images/g/QKkAAOSwWX9nM2vh/s-l140.jpg,"Sold  Feb 8, 2025"
2023-24 Panini Select FIFA #192 Guillermo Ochoa Red,"51,312.15 VND",https://www.ebay.com/itm/296936644873,https://i.ebayimg.com/images/g/BSkAAOSww6BngUzY/s-l140.jpg,"Sold  Jan 15, 2025"
2023-24 Panini Select FIFA Mexico # /199 Pink mojo prizm - Guillermo Ochoa 192,"386,775.00 VND",https://www.ebay.com/itm/315834891166,https://i.ebayimg.com/images/g/AX8AAOSwG6lnCD4~/s-l140.jpg,"Sold  Mar 17, 2025"
2023-24 Panini Select FIFA Mexico 036/199 Pink mojo prizm - Guillermo Ochoa 192,"51,570.00 VND",https://www.ebay.com/itm/335762560572,https://i.ebayimg.com/images/g/Qu4AAOSwDpFnCINM/s-l140.jpg,"Sold  Jan 15, 2025"
Guillermo Ochoa - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"83,801.25 VND",https://www.ebay.com/itm/235979874959,https://i.ebayimg.com/images/g/gaMAAeSwcNdnwVaw/s-l140.jpg,"Sold  Mar 1, 2025"
Guillermo Ochoa - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"283,635.00 VND",https://www.ebay.com/itm/235973891676,https://i.ebayimg.com/images/g/OIoAAeSwhYlnu97B/s-l140.jpg,"Sold  Feb 26, 2025"
Guillermo Ochoa - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"141,817.50 VND",https://www.ebay.com/itm/226608141131,https://i.ebayimg.com/images/g/zvEAAeSwxQtntpYX/s-l140.jpg,"Sold  Feb 22, 2025"
Guillermo Ochoa - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/297026578298,https://i.ebayimg.com/images/g/KVUAAeSwZmlnsqtU/s-l140.jpg,"Sold  Feb 19, 2025"
Guillermo Ochoa - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/297023021918,https://i.ebayimg.com/images/g/OvYAAeSwvfFnsVBc/s-l140.jpg,"Sold  Feb 18, 2025"
2024 Prizm Copa America Tiger Case Hit Guillermo Ochoa Soccer Goalie,"1,288,992.15 VND",https://www.ebay.com/itm/187057910498,https://i.ebayimg.com/images/g/FhkAAeSwJBpn2Z6b/s-l140.jpg,"Sold  Mar 20, 2025"
2024 Prizm Copa America Zebra Case Hit Guillermo Ochoa ,"1,040,800.00 VND",https://www.ebay.com/itm/335767247594,https://i.ebayimg.com/images/g/w1cAAOSw2RVngxtX/s-l140.jpg,"Sold  Jan 29, 2025"
GUILLERMO OCHOA 2022-23 PANINI SELECT FIFA Green 4/5 MEXICO,"1,315,035.00 VND",https://www.ebay.com/itm/226630178933,https://i.ebayimg.com/images/g/U3IAAeSwRs5nx4IH/s-l140.jpg,"Sold  Mar 11, 2025"
GUILLERMO OCHOA 2022-23 PANINI SELECT FIFA TIE DYE PRIZM 28/49 MEXICO,"1,040,800.00 VND",https://www.ebay.com/itm/126820926359,https://i.ebayimg.com/images/g/Z8kAAOSwoWpnVjf5/s-l140.jpg,"Sold  Apr 9, 2025"
2023-24 Panini Immaculate Guillermo Ochoa Remarkable Patch Silver 35/49 Mexico,"247,190.00 VND",https://www.ebay.com/itm/356730884708,https://i.ebayimg.com/images/g/n4UAAOSwonFn5-gF/s-l140.jpg,"Sold  Apr 7, 2025"
2023-24 Panini Immaculate Guillermo Ochoa Remarkable Patch Sapphire 20/25 Mexico,"338,260.00 VND",https://www.ebay.com/itm/365499514969,https://i.ebayimg.com/images/g/btAAAOSwVwdn7Ila/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 Panini Immaculate Guillermo Ochoa Remarkable Patch Sapphire 24/25 Mexico,"364,280.00 VND",https://www.ebay.com/itm/365499514788,https://i.ebayimg.com/images/g/0mIAAOSwfZJn7IlQ/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 Panini Immaculate Guillermo Ochoa Remarkable Patch Silver 8/49 Mexico,"338,260.00 VND",https://www.ebay.com/itm/365499514400,https://i.ebayimg.com/images/g/sGcAAOSwgQBn7IlD/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 Panini Immaculate Guillermo Ochoa Remarkable Patch Silver 31/49 Mexico,"221,950.60 VND",https://www.ebay.com/itm/365472847014,https://i.ebayimg.com/images/g/IakAAOSwPD1n3LSS/s-l140.jpg,"Sold  Mar 25, 2025"
2023-24 Panini Immaculate Guillermo Ochoa Patch Gold 3/10 SSP Mexico,"806,620.00 VND",https://www.ebay.com/itm/365466894008,https://i.ebayimg.com/images/g/OSUAAOSw3qZn2L8~/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini Immaculate Guillermo Ochoa Patch Gold /10 Mexico#Z,"852,415.20 VND",https://www.ebay.com/itm/197088051593,https://i.ebayimg.com/images/g/I3oAAOSwqMpnyvjW/s-l140.jpg,"Sold  Mar 13, 2025"
2023 Donruss Pitch Kings Guillermo Ochoa Mexico #15,"25,759.80 VND",https://www.ebay.com/itm/396358284295,https://i.ebayimg.com/images/g/ePIAAeSwkPdn4YVd/s-l140.jpg,"Sold  Apr 7, 2025"
2023-24 Donruss Pitch Kings #15 Guillermo Ochoa,"51,779.80 VND",https://www.ebay.com/itm/365134900401,https://i.ebayimg.com/images/g/IHQAAeSwcqxn8rG~/s-l140.jpg,"Sold  Feb 12, 2025"
GUILLERMO OCHOA 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PYP BREAK 2104,"117,090.00 VND",https://www.ebay.com/itm/356725381101,https://i.ebayimg.com/images/g/xJ0AAOSwAzFn6pGz/s-l140.jpg,"Sold  Apr 5, 2025"
