Title,Price,Link,Image Link,Sold Date
2024-25 Topps UEFA Hector Bellerin Team Logo Variation SSP Real Betis Spain 2nd,"232,065.00 VND",https://www.ebay.com/itm/365490429511,https://i.ebayimg.com/images/g/UqEAAOSwKOhn509i/s-l140.jpg,"Sold  Apr 2, 2025"
2024-25 Topps UEFA Hector Bellerin Team Logo Variation SSP Real Betis Spain,"916,914.60 VND",https://www.ebay.com/itm/365424084733,https://i.ebayimg.com/images/g/xJsAAOSwSXhnvnGg/s-l140.jpg,"Sold  Mar 2, 2025"
Hector Bellerin 2024 Topps Inception Soccer Star Quality 75/99[dbJ22,"25,785.00 VND",https://www.ebay.com/itm/376104812622,https://i.ebayimg.com/images/g/6JUAAOSwrbBn5exr/s-l140.jpg,"Sold  Apr 1, 2025"
Hector Bellerin 2023 Topps Inception UEFA Soccer Star Quality Green 47/99 [dbI42,"32,231.25 VND",https://www.ebay.com/itm/376053936734,https://i.ebayimg.com/images/g/9KMAAOSwykRnzQR1/s-l140.jpg,"Sold  Mar 13, 2025"
2023-24 Select La Liga Hector Bellerin Signatures Auto Purple 13/49    PSA 9,"38,935.35 VND",https://www.ebay.com/itm/388105446682,https://i.ebayimg.com/images/g/d3QAAeSw9Etn2NoB/s-l140.jpg,"Sold  Mar 24, 2025"
2023-24 Select La Liga Hector Bellerin Signatures Auto Autograph #S-HB,"64,978.20 VND",https://www.ebay.com/itm/126963897409,https://i.ebayimg.com/images/g/wl4AAeSwv-Znv29J/s-l140.jpg,"Sold  Mar 3, 2025"
2022-23 Select La Liga Signatures Blue Pulsar #16 Hector Bellerin Auto,"464,130.00 VND",https://www.ebay.com/itm/365133379589,https://i.ebayimg.com/images/g/bqoAAeSwpQtn3MvD/s-l140.jpg,"Sold  Mar 21, 2025"
2022-23 Select La Liga - Signatures Blue Pulsar Prizm #S-HB Hector Bellerin,"386,517.15 VND",https://www.ebay.com/itm/167031122310,https://i.ebayimg.com/images/g/xg4AAOSwiMFnEg~O/s-l140.jpg,"Sold  Jan 25, 2025"
2024-25 Topps UEFA Club Competitions Auto - Hector Bellerin ,"193,387.50 VND",https://www.ebay.com/itm/396323496957,https://i.ebayimg.com/images/g/KzEAAeSwHzRn1g5k/s-l140.jpg,"Sold  Mar 20, 2025"
2023 Topps UEFA Club Competitions Inception Hector Bellerin Autograph,"83,801.25 VND",https://www.ebay.com/itm/365452495460,https://i.ebayimg.com/images/g/JGkAAOSwGrNnz4Xz/s-l140.jpg,"Sold  Mar 15, 2025"
2024-25 Topps UEFA Club Competitions #161 Hector Bellerin,"51,312.15 VND",https://www.ebay.com/itm/316133764511,https://i.ebayimg.com/images/g/2SsAAeSwQEtn7U8j/s-l140.jpg,"Sold  Mar 1, 2025"
2024-25 Topps UEFA Club Competitions Hector Bellerin Auto A-HB,"167,602.50 VND",https://www.ebay.com/itm/267138818632,https://i.ebayimg.com/images/g/HLYAAOSwRwVnmVJu/s-l140.jpg,"Sold  Feb 2, 2025"
