Title,Price,Link,Image Link,Sold Date
Henry Martin - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/226615303353,https://i.ebayimg.com/images/g/NZwAAeSw5ZRnu99F/s-l140.jpg,"Sold  Feb 26, 2025"
Henry Martin - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"167,602.50 VND",https://www.ebay.com/itm/297037221999,https://i.ebayimg.com/images/g/-0sAAeSwwlZntpet/s-l140.jpg,"Sold  Feb 22, 2025"
Henry Martin - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/297026584361,https://i.ebayimg.com/images/g/mAMAAeSwuWhnsqyB/s-l140.jpg,"Sold  Feb 19, 2025"
Henry Martin - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"83,801.25 VND",https://www.ebay.com/itm/235960517246,https://i.ebayimg.com/images/g/ZkEAAeSwDmtnsVFU/s-l140.jpg,"Sold  Feb 18, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2104,"51,779.80 VND",https://www.ebay.com/itm/356743191402,https://i.ebayimg.com/images/g/xJ0AAOSwAzFn6pGz/s-l140.jpg,"Sold  Apr 6, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2096,"51,779.80 VND",https://www.ebay.com/itm/356717956500,https://i.ebayimg.com/images/g/igkAAOSw6yNn5yEJ/s-l140.jpg,"Sold  Apr 2, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2086,"92,371.00 VND",https://www.ebay.com/itm/356705873966,https://i.ebayimg.com/images/g/qGYAAOSwdm5n4byU/s-l140.jpg,"Sold  Mar 29, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2072,"65,050.00 VND",https://www.ebay.com/itm/356679565032,https://i.ebayimg.com/images/g/830AAOSw415n2GkH/s-l140.jpg,"Sold  Mar 22, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2053,"39,030.00 VND",https://www.ebay.com/itm/356674869704,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 16, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2034,"39,030.00 VND",https://www.ebay.com/itm/356639413181,https://i.ebayimg.com/images/g/yzQAAOSwWsVnwkKI/s-l140.jpg,"Sold  Mar 6, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2032,"39,030.00 VND",https://www.ebay.com/itm/356626038693,https://i.ebayimg.com/images/g/2qYAAOSwURBnvN3m/s-l140.jpg,"Sold  Mar 2, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2022,"84,565.00 VND",https://www.ebay.com/itm/356594410762,https://i.ebayimg.com/images/g/nREAAOSwl2Znt8VA/s-l140.jpg,"Sold  Feb 25, 2025"
HENRY MARTIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2018,"64,789.80 VND",https://www.ebay.com/itm/356583754768,https://i.ebayimg.com/images/g/tMYAAOSwsvFns7yy/s-l140.jpg,"Sold  Feb 22, 2025"
Henry Martin Pokémon Card,"130,100.00 VND",https://www.ebay.com/itm/235914467356,https://i.ebayimg.com/images/g/NjIAAOSw9Lpn7l81/s-l140.jpg,"Sold  Apr 2, 2025"
Henry Martin Pokémon Card,"130,100.00 VND",https://www.ebay.com/itm/235914480221,https://i.ebayimg.com/images/g/QvcAAOSwMYlnhxJm/s-l140.jpg,"Sold  Jan 17, 2025"
Henry Martin #21 Men’s LARGE Nike Club America Dia De Los Jersey Stadium,"4,137,180.00 VND",https://www.ebay.com/itm/316573721921,https://i.ebayimg.com/images/g/3hIAAeSw1u9n6Nr~/s-l140.jpg,"Sold  Mar 31, 2025"
Henry Martin #21 Men’s LARGE Nike Club America Dia De Los Jersey Stadium,"4,137,180.00 VND",https://www.ebay.com/itm/316565896431,https://i.ebayimg.com/images/g/o94AAeSwdwtn5vYH/s-l140.jpg,"Sold  Mar 29, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #9,"221,170.00 VND",https://www.ebay.com/itm/236012598733,https://i.ebayimg.com/images/g/ebMAAOSwQfhn22ZG/s-l140.jpg,"Sold  Mar 26, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #8,"64,789.80 VND",https://www.ebay.com/itm/236011361419,https://i.ebayimg.com/images/g/S3wAAOSw3QFn2iMn/s-l140.jpg,"Sold  Mar 23, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #7,"64,789.80 VND",https://www.ebay.com/itm/235998510645,https://i.ebayimg.com/images/g/q-EAAOSwA8pnz4im/s-l140.jpg,"Sold  Mar 17, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #6,"64,789.80 VND",https://www.ebay.com/itm/235979791121,https://i.ebayimg.com/images/g/Eu8AAOSw0ihnv8jJ/s-l140.jpg,"Sold  Mar 5, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #5,"64,789.80 VND",https://www.ebay.com/itm/235975251461,https://i.ebayimg.com/images/g/HXoAAOSwz1lnvSXm/s-l140.jpg,"Sold  Mar 3, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"84,565.00 VND",https://www.ebay.com/itm/235972570315,https://i.ebayimg.com/images/g/nxYAAOSwVPxnuoYy/s-l140.jpg,"Sold  Feb 27, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #3,"110,585.00 VND",https://www.ebay.com/itm/235967793324,https://i.ebayimg.com/images/g/EvwAAOSwbUJnt9w7/s-l140.jpg,"Sold  Feb 25, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"71,294.80 VND",https://www.ebay.com/itm/235961796142,https://i.ebayimg.com/images/g/C1UAAOSw0jVnspX9/s-l140.jpg,"Sold  Feb 23, 2025"
Henry Martin Mexico 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"110,585.00 VND",https://www.ebay.com/itm/235957550946,https://i.ebayimg.com/images/g/KgEAAOSwFvlnrqCR/s-l140.jpg,"Sold  Feb 20, 2025"
Henry Martin 2023-24 Immaculate Soccer Player Half Case Break #4,"221,170.00 VND",https://www.ebay.com/itm/376073014968,https://i.ebayimg.com/images/g/i20AAOSwBUFn1kKN/s-l140.jpg,"Sold  Mar 20, 2025"
Henry Martin 2023-24 Immaculate Soccer Player Half Case Break #3,"25,759.80 VND",https://www.ebay.com/itm/376067014667,https://i.ebayimg.com/images/g/FUwAAOSwmz9n05ht/s-l140.jpg,"Sold  Mar 18, 2025"
