Title,Price,Link,Image Link,Sold Date
FRANCE HERNANI stamp n°944 new ** LUXURY MNH,"28,489.30 VND",https://www.ebay.com/itm/176492436455,https://i.ebayimg.com/images/g/pmcAAOSwfdllGBNH/s-l140.jpg,"Sold  Apr 7, 2025"
FRANCE GARGANTUA and HERNANI stamp n°943/944 new ** LUXURY MNH,"28,489.30 VND",https://www.ebay.com/itm/204908518267,https://i.ebayimg.com/images/g/G8gAAOSw2WxlGBMT/s-l140.jpg,"Sold  Apr 5, 2025"
Victor Hugo's Novels Illustrated Vol.  5 Dramatic Works Hernani 1887,"260,200.00 VND",https://www.ebay.com/itm/166363767953,https://i.ebayimg.com/images/g/pD8AAOSwCWJlFZB3/s-l500.jpg,"Sold  Apr 4, 2025"
Vintage SARAH BERNHARDT Postcard (HERNANI) Actress / in Costume - 1903 Cancel,"155,859.80 VND",https://www.ebay.com/itm/146330180365,https://i.ebayimg.com/images/g/AooAAOSwgslnhYNY/s-l140.jpg,"Sold  Feb 20, 2025"
VICTOR HUGO THEATRE 1876 Arms binding ex libris Hernani King has fun MarionD,"532,749.87 VND",https://www.ebay.com/itm/126683251567,https://i.ebayimg.com/images/g/Cr8AAOSwYvRmDYmb/s-l140.jpg,"Sold  Mar 31, 2025"
Drame Tome II Hernani Marion de Lorme Le roi s'amuse Victor Hugo Reliure !,"997,125.43 VND",https://www.ebay.com/itm/375564246658,https://i.ebayimg.com/images/g/v6AAAOSwqvtmqOiD/s-l140.jpg,"Sold  Mar 28, 2025"
Littérature XIXe HERNANI 1836 Victor Hugo,"498,562.72 VND",https://www.ebay.com/itm/126974793062,https://i.ebayimg.com/images/g/mvgAAOSwxt1nxzCo/s-l140.jpg,"Sold  Mar 13, 2025"
FRANCE 1953 HERNANI YT No. 944 New ★★ Luxury / MNH (A),"28,489.30 VND",https://www.ebay.com/itm/166547761259,https://i.ebayimg.com/images/g/ZPgAAOSwP0RiQxXp/s-l140.jpg,"Sold  Feb 24, 2025"
Civil War in Spain Hernani and Vittoria 1874 old prints ref G,"333,242.82 VND",https://www.ebay.com/itm/335773229203,https://i.ebayimg.com/images/g/UZcAAOSw1OtZ4e-X/s-l140.jpg,"Sold  Feb 22, 2025"
n°944 N** in complete sheet with CD dated 27/5/53: Hernani,"470,073.42 VND",https://www.ebay.com/itm/356503334415,https://i.ebayimg.com/images/g/JoMAAOSwUpdnlNqx/s-l140.jpg,"Sold  Feb 2, 2025"
"FRANCE 1953, stamp 944, theatre, Hernani, new**, VF MNH STAMP, CELEBRITY","28,489.30 VND",https://www.ebay.com/itm/326206745419,https://i.ebayimg.com/images/g/QOQAAOSwHLNZSTqi/s-l140.jpg,"Sold  Jan 31, 2025"
"Hugo ""Hernani"" ""Ruy Blas"" 14 Critical Guides to French Texts S. K… 9780729301237","39,695.59 VND",https://www.ebay.com/itm/235907013573,https://secureir.ebaystatic.com/pictures/aw/pics/stockimage1.jpg,"Sold  Jan 27, 2025"
