Title,Price,Link,Image Link,Sold Date
2023 DONRUSS WOMEN'S WORLD CUP HINATA MIYAZAWA ROOKIE RC  /23 #93,"902,217.15 VND",https://www.ebay.com/itm/296989371846,https://i.ebayimg.com/images/g/hjkAAOSwoxNndJIe/s-l140.jpg,"Sold  Feb 8, 2025"
2023 DONRUSS WOMEN'S WORLD CUP HINATA MIYAZAWA ROOKIE RC GREEN PARALLEL /23 #93,"167,602.50 VND",https://www.ebay.com/itm/387787901495,https://i.ebayimg.com/images/g/3WgAAOSwnDdndw~-/s-l140.jpg,"Sold  Jan 7, 2025"
2023 Womens World Cup | Hinata Miyazawa Japan | SSP National Landmarks Downtown,"1,170,639.80 VND",https://www.ebay.com/itm/297065742846,https://i.ebayimg.com/images/g/hPAAAeSwVqRnwNg-/s-l140.jpg,"Sold  Mar 22, 2025"
2023 Womens World Cup | Hinata Miyazawa Japan | SSP National Landmarks!,"1,301,000.00 VND",https://www.ebay.com/itm/296960448424,https://i.ebayimg.com/images/g/bkYAAOSweSpnkqrB/s-l140.jpg,"Sold  Mar 6, 2025"
2023 Womens World Cup | Hinata Miyazawa Japan | SSP National Landmarks!,"1,691,300.00 VND",https://www.ebay.com/itm/296806745486,https://i.ebayimg.com/images/g/8I4AAOSwFodnMCO6/s-l140.jpg,"Sold  Jan 21, 2025"
Hinata Miyazawa 2023 Donruss Women’s World Cup National Landmarks Rookie Japan,"2,062,542.15 VND",https://www.ebay.com/itm/375367873132,https://i.ebayimg.com/images/g/8IQAAOSwpotmGLdw/s-l140.jpg,"Sold  Apr 2, 2025"
Hinata Miyazawa 2023 Donruss FIFA Women's World Cup RED Rookie #93 /299 JAPAN,"128,667.15 VND",https://www.ebay.com/itm/276747591039,https://i.ebayimg.com/images/g/NHsAAOSw961mQ5Hk/s-l140.jpg,"Sold  Feb 1, 2025"
2023 Womens World Cup | Hinata Miyazawa Japan | RC Blue 93/99!,"257,850.00 VND",https://www.ebay.com/itm/296955703247,https://i.ebayimg.com/images/g/HEgAAOSwxhZnj3m~/s-l140.jpg,"Sold  Jan 27, 2025"
2023 Panini FIFA Women's World Cup Album Stickers Hinata Miyazawa #202,"109,586.25 VND",https://www.ebay.com/itm/135016550399,https://i.ebayimg.com/images/g/KvsAAOSwVwFmGhsT/s-l140.jpg,"Sold  Jan 10, 2025"
Nadeshiko Japan Women's Soccer Team Card Epoch 2023 Hinata Miyazawa,"128,667.15 VND",https://www.ebay.com/itm/135573268602,https://i.ebayimg.com/images/g/eZAAAOSwsVBnufLN/s-l140.jpg,"Sold  Apr 5, 2025"
[SC] mc44 Soccer Japan National Team Trading Card Hinata Miyazawa Autographed,"4,032,000.45 VND",https://www.ebay.com/itm/205211156417,https://i.ebayimg.com/images/g/0O0AAOSw6PRnfUZK/s-l140.jpg,"Sold  Jan 12, 2025"
Hinata Miyazawa / Japan /Women's World Cup/ cosmic stars / Generation Next / 9,"442,079.80 VND",https://www.ebay.com/itm/296059332783,https://i.ebayimg.com/images/g/D8YAAOSwYMtlW2pa/s-l140.jpg,"Sold  Mar 25, 2025"
Hinata Miyazawa Epoch2024 Japan Soccer National Team Nadeshiko Regular Card F/S-,"885,981.00 VND",https://www.ebay.com/itm/375901497394,https://i.ebayimg.com/images/g/gz8AAOSwrMhnd2b8/s-l140.jpg,"Sold  Jan 5, 2025"
