Title,Price,Link,Image Link,Sold Date
"The Incredible Hulk (Nintendo Wii, 2008) Marvel Game Tested","207,899.80 VND",https://www.ebay.com/itm/297063676631,https://i.ebayimg.com/images/g/JZIAAOSwwUBnJ-uX/s-l140.jpg,"Sold  Apr 10, 2025"
"The Incredible Hulk (Nintendo Wii, 2008) Marvel Game Tested","25,759.80 VND",https://www.ebay.com/itm/326510234915,https://i.ebayimg.com/images/g/pugAAeSwhItn4NGW/s-l140.jpg,"Sold  Apr 6, 2025"
2025 Topps Chrome WWE Hulk Hogan Red Blue Refractor,"103,819.80 VND",https://www.ebay.com/itm/176967939355,https://i.ebayimg.com/images/g/gyUAAOSwsXVn6Zpj/s-l140.jpg,"Sold  Apr 10, 2025"
2025 Topps Chrome WWE Hulk Hogan Pink Shimmer Refractor #12,"58,545.00 VND",https://www.ebay.com/itm/376123887291,https://i.ebayimg.com/images/g/1FAAAeSwqBdn7aLs/s-l140.jpg,"Sold  Apr 7, 2025"
2025 Topps Chrome WWE Hulk Hogan Refractor #12,"25,759.80 VND",https://www.ebay.com/itm/376123887275,https://i.ebayimg.com/images/g/ryAAAeSwkNtn7aNS/s-l140.jpg,"Sold  Apr 7, 2025"
2025 Topps Chrome WWE Hulk Hogan #EMB-HH Embedded Refractor,"78,060.00 VND",https://www.ebay.com/itm/135641155363,https://i.ebayimg.com/images/g/ykMAAOSw6vZn3XJI/s-l140.jpg,"Sold  Apr 4, 2025"
2025 Topps Chrome WWE Hulk Hogan Blue Refractor /150 #12,"25,759.80 VND",https://www.ebay.com/itm/176961985156,https://i.ebayimg.com/images/g/4sUAAeSw0Qhnyzsv/s-l140.jpg,"Sold  Apr 4, 2025"
"Submariner And Hulk Tales To Astonish, Lot  85, 86, 87, 88, 89","2,081,339.80 VND",https://www.ebay.com/itm/267208926195,https://i.ebayimg.com/images/g/o34AAeSwW6Jn7qiQ/s-l140.jpg,"Sold  Apr 10, 2025"
"Submariner And Hulk Tales To Astonish, Lot  80, 81, 82, 83, 84","2,107,620.00 VND",https://www.ebay.com/itm/267208908105,https://i.ebayimg.com/images/g/8jcAAeSwmpVn7p9a/s-l140.jpg,"Sold  Apr 10, 2025"
Marvel Legends Captain America Brave New World Red Hulk 6” Deluxe Action Figure,"1,300,739.80 VND",https://www.ebay.com/itm/267204957618,https://i.ebayimg.com/images/g/q-4AAeSwd7Bn6NCH/s-l140.jpg,"Sold  Apr 10, 2025"
"Hasbro Marvel Legends Captain America: Brave New World Red Hulk 4"" Action Figure","442,079.80 VND",https://www.ebay.com/itm/326494735001,https://i.ebayimg.com/images/g/KG4AAOSwLeNn2ufX/s-l140.jpg,"Sold  Apr 7, 2025"
Marvel Studios Captain America Brave New World Titan Hero Red Hulk Action Figure,"779,299.00 VND",https://www.ebay.com/itm/156661674562,https://i.ebayimg.com/images/g/xtQAAOSwallnmkU5/s-l140.jpg,"Sold  Mar 28, 2025"
Marvel Legends KARNAK 6” Action Figure BAF Totally Awesome Hulk - NIB!,"403,049.80 VND",https://www.ebay.com/itm/116522741663,https://i.ebayimg.com/images/g/G1YAAOSwNTFn1xrO/s-l140.jpg,"Sold  Apr 10, 2025"
Marvel Legends KARNAK 6” Action Figure BAF Totally Awesome Hulk NEW,"214,665.00 VND",https://www.ebay.com/itm/356732723523,https://i.ebayimg.com/images/g/8QwAAeSwkMtnyQZS/s-l140.jpg,"Sold  Apr 9, 2025"
2015 Marvel Fleer Retro 1994 Suspended Animation Hulk  Card 6,"207,899.80 VND",https://www.ebay.com/itm/176774435886,https://i.ebayimg.com/images/g/kbgAAOSwC6NnWG7O/s-l140.jpg,"Sold  Apr 10, 2025"
2015 Marvel Fleer Retro 1994 Fleer Suspended Animation She-Hulk (Base) #18 0kg8,"238,343.20 VND",https://www.ebay.com/itm/256819827003,https://i.ebayimg.com/images/g/EdEAAeSw0YBnsgpT/s-l140.jpg,"Sold  Apr 6, 2025"
New Listing35mm Slide Lou Ferrigno The Incredible Hulk  Vtg 70s 80s TV Series Publicity #17,"624,480.00 VND",https://www.ebay.com/itm/226691925524,https://i.ebayimg.com/images/g/52cAAeSwFhdn9umn/s-l140.jpg,"Sold  Apr 10, 2025"
New Listing35mm Slide Lou Ferrigno The Incredible Hulk  Vtg 70s 80s TV Series Publicity #15,"624,480.00 VND",https://www.ebay.com/itm/226691926731,https://i.ebayimg.com/images/g/~aUAAeSwoXtn9upO/s-l140.jpg,"Sold  Apr 10, 2025"
New Listing35mm Slide Lou Ferrigno The Incredible Hulk  Vtg 70s 80s TV Series Publicity #18,"624,480.00 VND",https://www.ebay.com/itm/326525460614,https://i.ebayimg.com/images/g/6TUAAeSwqIRn9ulY/s-l140.jpg,"Sold  Apr 10, 2025"
New Listing35mm Slide Lou Ferrigno The Incredible Hulk  Vtg 70s 80s TV Series Publicity #12,"624,480.00 VND",https://www.ebay.com/itm/326525463052,https://i.ebayimg.com/images/g/nm0AAeSwDNVn9url/s-l140.jpg,"Sold  Apr 10, 2025"
New Listing35mm Slide Lou Ferrigno The Incredible Hulk  Vtg 70s 80s TV Series Publicity #14,"624,480.00 VND",https://www.ebay.com/itm/326525462410,https://i.ebayimg.com/images/g/-tUAAeSw6~Fn9uqA/s-l140.jpg,"Sold  Apr 10, 2025"
New Listing35mm Slide Lou Ferrigno The Incredible Hulk  Vtg 70s 80s TV Series Publicity #13,"624,480.00 VND",https://www.ebay.com/itm/326525462646,https://i.ebayimg.com/images/g/FSQAAeSwiyxn9uqz/s-l140.jpg,"Sold  Apr 10, 2025"
Sensational She Hulk #12 1990 Marvel Comics,"147,819.91 VND",https://www.ebay.com/itm/235497072800,https://i.ebayimg.com/images/g/IcMAAOSwyvlmBiYj/s-l140.jpg,"Sold  Apr 10, 2025"
Sensational She-Hulk #1 1989 Marvel Comics ,"554,324.67 VND",https://www.ebay.com/itm/235670873443,https://i.ebayimg.com/images/g/5zgAAOSwF9xmpTkW/s-l140.jpg,"Sold  Apr 9, 2025"
Sensational She-Hulk #42 1992 Marvel Comics,"184,774.89 VND",https://www.ebay.com/itm/235497072808,https://i.ebayimg.com/images/g/l88AAOSwI9dmBiYa/s-l140.jpg,"Sold  Apr 7, 2025"
Incredible Hulk #444 - 1968 series Marvel comics VF+ Full description below [x`,"139,467.20 VND",https://www.ebay.com/itm/356736678287,https://i.ebayimg.com/images/g/WgsAAeSwwwxn7xyu/s-l140.jpg,"Sold  Apr 10, 2025"
She-Hulk #10 - 2005 series Marvel comics VF+ Full description below [y;,"463,936.60 VND",https://www.ebay.com/itm/236032891260,https://i.ebayimg.com/images/g/g7gAAeSwMhhn7H2T/s-l140.jpg,"Sold  Apr 6, 2025"
Incredible Hulk #445 Newsstand - 1968 series Marvel comics VF [a%,"123,855.20 VND",https://www.ebay.com/itm/236000127356,https://i.ebayimg.com/images/g/Fy8AAeSw7w9n0Mxl/s-l140.jpg,"Sold  Apr 10, 2025"
Incredible Hulk #241 Newsstand - 1968 series Marvel comics Fine+ [w ,"255,516.40 VND",https://www.ebay.com/itm/236036859685,https://i.ebayimg.com/images/g/2VoAAeSwH7Fn7xvQ/s-l140.jpg,"Sold  Apr 7, 2025"
Incredible Hulk #284 Newsstand - 1968 series Marvel comics VF minus [n*,"186,043.00 VND",https://www.ebay.com/itm/396316882199,https://i.ebayimg.com/images/g/gggAAeSw9ptn02tb/s-l140.jpg,"Sold  Apr 6, 2025"
Incredible Hulk #267 Newsstand - 1968 series Marvel comics VF minus [i*,"200,354.00 VND",https://www.ebay.com/itm/396316890767,https://i.ebayimg.com/images/g/l3AAAeSwlYZn02vK/s-l140.jpg,"Sold  Apr 3, 2025"
Red She-Hulk #61  MARVEL Comics 2013 VF/NM,"182,140.00 VND",https://www.ebay.com/itm/334697989736,https://i.ebayimg.com/images/g/CRMAAOSwHKtjvWXa/s-l140.jpg,"Sold  Sep 16, 2024"
She-Hulk #13  MARVEL Comics 2023 VF/NM,"78,060.00 VND",https://www.ebay.com/itm/335246329042,https://i.ebayimg.com/images/g/g1IAAOSwHxNlwo6a/s-l140.jpg,"Sold  Sep 16, 2024"
Incredible Hulk  #402  MARVEL Comics 1993 VF+,"130,100.00 VND",https://www.ebay.com/itm/335387180210,https://i.ebayimg.com/images/g/p9IAAOSw5WxmPgOK/s-l140.jpg,"Sold  Sep 21, 2024"
Incredible Hulk #393  MARVEL Comics 1992 VF/NM,"208,160.00 VND",https://www.ebay.com/itm/334675558598,https://i.ebayimg.com/images/g/Z5sAAOSwy6VjpQUL/s-l140.jpg,"Sold  Apr 4, 2025"
