Title,Price,Link,Image Link,Sold Date
Panini C173 Score Ligue 1 2022-23 Base RC Rookie #75 - Ibrahima Koné,"42,092.57 VND",https://www.ebay.com/itm/256087773539,https://i.ebayimg.com/images/g/PyQAAOSwwetkbyrD/s-l500.jpg,"Sold  Jul 18, 2023"
Panini C173 Score Ligue 1 2022-23 Base RC Rookie #75 - Ibrahima Koné,"42,092.57 VND",https://www.ebay.com/itm/256087773539,https://i.ebayimg.com/images/g/PyQAAOSwwetkbyrD/s-l500.jpg,"Sold  Jul 18, 2023"
Panini C173 Score Ligue 1 2022-23 Base RC Rookie #75 - Ibrahima Koné,"42,092.57 VND",https://www.ebay.com/itm/256087773539,https://i.ebayimg.com/images/g/PyQAAOSwwetkbyrD/s-l500.jpg,"Sold  Jul 18, 2023"
Panini C173 Score Ligue 1 2022-23 Base RC Rookie #75 - Ibrahima Koné,"42,092.57 VND",https://www.ebay.com/itm/256087773539,https://i.ebayimg.com/images/g/PyQAAOSwwetkbyrD/s-l500.jpg,"Sold  Jul 18, 2023"
MANU KONE /25 AUTO RELIC-MOONRISE TOPPS MIDNIGHT BUNDESLIGA 2023-24 MK PSA 9,"720,376.17 VND",https://www.ebay.com/itm/135501407644,https://i.ebayimg.com/images/g/l0kAAOSwoyhniOnd/s-l500.jpg,"Sold  Jan 26, 2025"
Topps Bundesliga Finest 2021 22 Auto Autograph Auto Kouadio Manu Kone Base,"353,125.58 VND",https://www.ebay.com/itm/388013902430,https://i.ebayimg.com/images/g/PogAAeSwsmFnwhx4/s-l140.jpg,"Sold  Mar 7, 2025"
IBRAHIMA KONATE LIVERPOOL TEAM SET TOPPS 2022-23 PREMIER LEAGUE /50,"70,625.12 VND",https://www.ebay.com/itm/135490645619,https://i.ebayimg.com/images/g/RCMAAOSwTSRnf~ug/s-l140.jpg,"Sold  Jan 19, 2025"
MANU KONE MIDNIGHT TOPPS 2023-24 BUNDESLIGA MONCHENGLADBACH AUTO /99,"211,875.35 VND",https://www.ebay.com/itm/135486881997,https://i.ebayimg.com/images/g/y-cAAOSwSjxnfDMw/s-l140.jpg,"Sold  Jan 19, 2025"
Topps Match Attax UEFA EURO 2024 Blue Crystal Parallel Cards PART 1 Pick,"39,550.06 VND to 140,967.73 VND",https://www.ebay.com/itm/405190534707,https://i.ebayimg.com/images/g/4QkAAOSwkb5m7qMJ/s-l140.jpg,"Sold  Mar 23, 2025"
2021-22 Prizm Premier League Soccer Ibrahima Konate Red Ice Rookie Card #80,"141,250.23 VND",https://www.ebay.com/itm/365049119697,https://i.ebayimg.com/images/g/YTQAAOSwZm5mr~vW/s-l140.jpg,"Sold  Feb 5, 2025"
