Title,Price,Link,Image Link,Sold Date
ILLIA ZABARNYI MILOS KERKEZ PANINI IMPECCABLE SOCCER 23/99 DOUBLE PATCH ID-IM,"296,625.48 VND",https://www.ebay.com/itm/135639072527,https://i.ebayimg.com/images/g/OkwAAOSwFVxnya-R/s-l140.jpg,"Sold  Mar 30, 2025"
ILLIA ZABARNYI MILOS KERKEZ PANINI IMPECCABLE SOCCER 23/99 DOUBLE PATCH ID-IM,"706,251.15 VND",https://www.ebay.com/itm/135603287647,https://i.ebayimg.com/images/g/OkwAAOSwFVxnya-R/s-l140.jpg,"Sold  Mar 16, 2025"
2023-24 Panini Impeccable Premier League SC Illia Zabarnyi Rookie Metal 12/22 RC,"257,592.15 VND",https://www.ebay.com/itm/375998673349,https://i.ebayimg.com/images/g/tM0AAOSwYr5nsQaY/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Impeccable Premier League SC Illia Zabarnyi Rookie Metal 8/22 RC,"257,592.15 VND",https://www.ebay.com/itm/375998673369,https://i.ebayimg.com/images/g/ohgAAOSw4NBnsQYh/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Immaculate Soccer Illia Zabarnyi Rookie Remarkable Patch #/99,"51,312.15 VND",https://www.ebay.com/itm/205390100642,https://i.ebayimg.com/images/g/Q5gAAeSwoz1n61qM/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Immaculate Soccer Illia Zabarnyi Rookie Remarkable Patch #/99,"51,312.15 VND",https://www.ebay.com/itm/205390100642,https://i.ebayimg.com/images/g/Q5gAAeSwoz1n61qM/s-l500.jpg,"Sold  Apr 5, 2025"
ILLIA ZABARNYI 2023-24 Panini Impeccable Premier League #134 RED ROOKIE /15,"996,541.59 VND",https://www.ebay.com/itm/286260534882,https://i.ebayimg.com/images/g/tvwAAOSw5G9ng5iQ/s-l140.jpg,"Sold  Jan 12, 2025"
ILLIA ZABARNYI 2023-24 Panini Impeccable Premier League #134 SAPPHIRE ROOKIE /25,"515,442.15 VND",https://www.ebay.com/itm/235850082172,https://i.ebayimg.com/images/g/RogAAOSwFMJnSS5-/s-l140.jpg,"Sold  Jan 10, 2025"
PANINI ADRENALYN XL PREMIER LEAGUE PLUS 2025 ILLIA ZABARNYI YELLOW #131/299,"330,629.84 VND",https://www.ebay.com/itm/396402233170,https://i.ebayimg.com/images/g/zw8AAOSw0IZn8AeA/s-l140.jpg,"Sold  Apr 4, 2025"
Panini Premier League 2025 - # 27 - ILLIA ZABARNYI - AFC Bournemouth ,"33,229.13 VND",https://www.ebay.com/itm/135449395221,https://i.ebayimg.com/images/g/gPwAAOSwE1pnYdsA/s-l140.jpg,"Sold  Apr 3, 2025"
23/24 PANINI OBSIDIAN SOCCER ILLIA ZABARNYI RC PURPLE FLOOD 04/25,"234,929.95 VND",https://www.ebay.com/itm/156728941826,https://i.ebayimg.com/images/g/oysAAOSwodFnZJLB/s-l140.jpg,"Sold  Mar 2, 2025"
Illia Zabarnyi 2023-24 Panini Impeccable Premier League RC Rookie Metal #/74,"77,097.15 VND",https://www.ebay.com/itm/205248537420,https://i.ebayimg.com/images/g/4nQAAOSwHZdnlGeB/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 ILLIA ZABARNYI 31/62 PANINI IMPECCABLE PREMIER LEAGUE ROOKIE RC #61,"206,022.15 VND",https://www.ebay.com/itm/156634287967,https://i.ebayimg.com/images/g/NYEAAOSw~fdngd22/s-l140.jpg,"Sold  Jan 26, 2025"
Illia Zabarnyi 2023-24 Panini Obsidian Soccer 172 Rookie Red Pulsar /49 Ukraine,"206,280.00 VND",https://www.ebay.com/itm/186885171182,https://i.ebayimg.com/images/g/TPoAAOSwgApngITF/s-l140.jpg,"Sold  Jan 21, 2025"
ILLIA ZABARNYI 2023-24 Panini Obsidian Soccer SP Silver ROOKIE /120,"32,231.25 VND",https://www.ebay.com/itm/396106859261,https://i.ebayimg.com/images/g/ascAAOSwHYFnfzeL/s-l140.jpg,"Sold  Jan 13, 2025"
