Title,Price,Link,Image Link,Sold Date
2021-22 Panini Prizm Premier League Signatures Isaac Hayden Newcastle United,"225,717.87 VND",https://www.ebay.com/itm/405146473151,https://i.ebayimg.com/images/g/qDIAAOSwbu5msJ7J/s-l500.jpg,"Sold  Mar 6, 2025"
2021-22 Panini Prizm Premier League Signatures Isaac Hayden Auto Autograph S-IH,"179,721.45 VND",https://www.ebay.com/itm/256854989975,https://i.ebayimg.com/images/g/nmgAAOSwoD5n0jDv/s-l140.jpg,"Sold  Mar 20, 2025"
2021 Panini Prizm Premier League Choice Silver Isaac Hayden Auto Autograph,"109,586.25 VND",https://www.ebay.com/itm/205384058556,https://i.ebayimg.com/images/g/bqQAAOSwxFln5rzo/s-l140.jpg,"Sold  Apr 5, 2025"
2021 Panini Prizm Premier League Isaac Hayden Signatures Prizm Choice Auto #S-IH,"141,817.50 VND",https://www.ebay.com/itm/376042131126,https://i.ebayimg.com/images/g/glAAAeSwV09nx30M/s-l140.jpg,"Sold  Mar 9, 2025"
2020-21 Panini Impeccable Premier League Ruby & Gold 1/2 Isaac Hayden #62,"386,775.00 VND",https://www.ebay.com/itm/335837667731,https://i.ebayimg.com/images/g/pMQAAeSwvgZnwjEn/s-l140.jpg,"Sold  Mar 9, 2025"
2021-22 Panini Prizm Premier League Isaac Hayden Blue Mojo #43,"77,355.00 VND",https://www.ebay.com/itm/405596280817,https://i.ebayimg.com/images/g/1VQAAeSwjX9nw6wi/s-l140.jpg,"Sold  Mar 6, 2025"
PANINI MOSAIC PREMIER LEAGUE 2021/22 ISAAC HAYDEN NEWCASTLE SILVER PRIZM,"32,896.84 VND",https://www.ebay.com/itm/156641923700,https://i.ebayimg.com/images/g/ctYAAOSwrdpnYuNB/s-l140.jpg,"Sold  Feb 7, 2025"
Isaac Hayden 2021-22 Panini Prizm Premier League Auto #S-IH New Castle United,"50,280.75 VND",https://www.ebay.com/itm/355987425838,https://i.ebayimg.com/images/g/Qm0AAOSwge9mzLv5/s-l140.jpg,"Sold  Feb 2, 2025"
Panini Donruss Elite Premier League 21/22 - Isaac Hayden Rookie Card,"32,896.84 VND",https://www.ebay.com/itm/315676541751,https://i.ebayimg.com/images/g/RsIAAOSwoQdmwTNr/s-l140.jpg,"Sold  Jan 11, 2025"
PANINI PRIZM PREMIER LEAGUE-2020-21- #231-NEWCASTLE UNITED-ISAAC HAYDEN,"32,896.84 VND",https://www.ebay.com/itm/176624611752,https://i.ebayimg.com/images/g/s5EAAOSwZKdhhlgH/s-l140.jpg,"Sold  Jan 9, 2025"
2020-21 Impeccable PL Soccer Blue Isaac Hayden Newcastle United 22/35,"25,759.80 VND",https://www.ebay.com/itm/365487495040,https://i.ebayimg.com/images/g/gvIAAOSwH2Nn5Y98/s-l140.jpg,"Sold  Apr 3, 2025"
Match Attax 2018/19 EXTRA - Newcastle United Isaac Hayden (Update Card) No. U54,"33,357.64 VND",https://www.ebay.com/itm/205150618631,https://i.ebayimg.com/images/g/m8cAAOSwbXdnU~XT/s-l140.jpg,"Sold  Mar 26, 2025"
2021-22 ISAAC HAYDEN 74/99 JERSEY PANINI IMPECCABLE PREMIER LEAGUE ILLUSTRIOUS,"233,919.80 VND",https://www.ebay.com/itm/155226111868,https://i.ebayimg.com/images/g/T~4AAOSwcH1jVfNT/s-l140.jpg,"Sold  Jan 24, 2025"
Isaac Hayden #231 2020-21 Panini Prizm Pink Cracked Ice Newcastle United,"41,371.80 VND",https://www.ebay.com/itm/276643957381,https://i.ebayimg.com/images/g/Vo4AAOSwrFVhDODS/s-l140.jpg,"Sold  Jan 21, 2025"
Panini Prizm EPL 2022 #S-IH Isaac Hayden Newcastle Choice Auto Autograph,"199,812.26 VND",https://www.ebay.com/itm/126881266569,https://i.ebayimg.com/images/g/1fAAAOSwkWNnhUy-/s-l140.jpg,"Sold  Jan 14, 2025"
