Title,Price,Link,Image Link,Sold Date
ISI PALAZON 2023 SELECT SELECT STARS LA LIGA GOLD PRIZM /10 🔥,"180,237.15 VND",https://www.ebay.com/itm/387748054131,https://i.ebayimg.com/images/g/oXEAAOSw3IZnWzA6/s-l500.jpg,"Sold  Apr 6, 2025"
ISI PALAZON 2023 SELECT SELECT STARS LA LIGA GOLD PRIZM /10 🔥,"180,237.15 VND",https://www.ebay.com/itm/387748054131,https://i.ebayimg.com/images/g/oXEAAOSw3IZnWzA6/s-l140.jpg,"Sold  Apr 6, 2025"
Panini Fifa Select - Rayo Vallecano - Isi Palazon /49,"28,250.05 VND",https://www.ebay.com/itm/116529967881,https://i.ebayimg.com/images/g/ovYAAeSwN4Zn3l13/s-l140.jpg,"Sold  Mar 29, 2025"
Panini Fifa Select - Rayo Vallecano - Isi Palazon /49,"28,250.05 VND",https://www.ebay.com/itm/116529967881,https://i.ebayimg.com/images/g/ovYAAeSwN4Zn3l13/s-l500.jpg,"Sold  Mar 29, 2025"
2023-24 Panini Select La Liga #46 Isi Palazon Terrace Blue Prizm Rayo Vallecano,"102,882.15 VND",https://www.ebay.com/itm/166859409328,https://i.ebayimg.com/images/g/EmwAAOSwUnNmjC49/s-l140.jpg,"Sold  Mar 6, 2025"
2023-24 Select La Liga Pink Mojo Prism #46 Isi Palazon /115  Rayo Vallecano,"32,231.25 VND",https://www.ebay.com/itm/116263341094,https://i.ebayimg.com/images/g/YqcAAOSwI71moAM1/s-l140.jpg,"Sold  Mar 5, 2025"
2023-24 PANINI SELECT LA LIGA ISI PALAZON PRIZM SELECT STARS PEACOCK PRIZM,"83,801.25 VND",https://www.ebay.com/itm/205309848156,https://i.ebayimg.com/images/g/CJkAAOSwwlZnui2o/s-l140.jpg,"Sold  Mar 4, 2025"
2023 Select La Liga Isi Palazon Stars Pink #1/25,"51,570.00 VND",https://www.ebay.com/itm/126914006223,https://i.ebayimg.com/images/g/xtkAAOSwBCdnnTTF/s-l140.jpg,"Sold  Feb 5, 2025"
2023 Select La Liga Isi Palazon Orange Prizm Terrace #/49,"25,527.15 VND",https://www.ebay.com/itm/126914006219,https://i.ebayimg.com/images/g/mC0AAOSw2fJnnTPy/s-l140.jpg,"Sold  Feb 5, 2025"
Isi Palazon 2023-24 Panini Select La Liga Soccer Terrace Winter Camo 37/99,"25,785.00 VND",https://www.ebay.com/itm/376037477444,https://i.ebayimg.com/images/g/crYAAOSwlgJnxTau/s-l140.jpg,"Sold  Mar 7, 2025"
ISI PALAZON #265 RAYO VALLECANO 2024-25 CHROME PANINI ADRENALYN XL LA LIGA 24/25,"42,092.57 VND",https://www.ebay.com/itm/335786693219,https://i.ebayimg.com/images/g/fBMAAOSwLq5nl3Wb/s-l140.jpg,"Sold  Feb 18, 2025"
