Title,Price,Link,Image Link,Sold Date
Ivan Rakitic 2020 Topps Living Set UEFA Champions League #199 ,"1,288,992.15 VND",https://www.ebay.com/itm/196952480024,https://i.ebayimg.com/images/g/KQMAAOSw9S5niTlR/s-l140.jpg,"Sold  Apr 1, 2025"
Ivan Rakitic 2020 Topps Living Set UEFA Champions League #199 ,"1,288,992.15 VND",https://www.ebay.com/itm/133801281012,https://i.ebayimg.com/images/g/UOUAAOSwpHZg2c65/s-l140.jpg,"Sold  Jan 16, 2025"
2023 Topps Chrome UEFA UCC Ivan Rakitic Pink Lava Refractor #137,"25,527.15 VND",https://www.ebay.com/itm/126955411123,https://i.ebayimg.com/images/g/RBkAAeSwlWpno7ah/s-l140.jpg,"Sold  Feb 26, 2025"
2023 Topps Chrome UEFA UCC Ivan Rakitic Pink Lava Refractor #137,"25,527.15 VND",https://www.ebay.com/itm/126922958086,https://i.ebayimg.com/images/g/RBkAAeSwlWpno7ah/s-l140.jpg,"Sold  Feb 10, 2025"
Topps 23/24 Chrome UEFA Club Competitions 66/225 Ivan Rakitic,"28,250.05 VND",https://www.ebay.com/itm/116531763328,https://i.ebayimg.com/images/g/uEUAAOSw8ndn4DHY/s-l500.jpg,"Sold  Apr 2, 2025"
2023 Topps Chrome Sapphire UEFA Ivan Rakitic Refractor Black #6/10,"270,742.50 VND",https://www.ebay.com/itm/376104359480,https://i.ebayimg.com/images/g/G98AAeSwDsJn5btP/s-l140.jpg,"Sold  Apr 1, 2025"
2022 Select La Liga Ivan Rakitic Jumbo Swatches Patch #JS-IR,"242,121.15 VND",https://www.ebay.com/itm/376098682619,https://i.ebayimg.com/images/g/HvcAAeSwvu5n4xR2/s-l140.jpg,"Sold  Mar 30, 2025"
2018-19 Panini National Treasures Soccer #15 Ivan Rakitic 41/50 Croatia,"373,882.50 VND",https://www.ebay.com/itm/236013816427,https://i.ebayimg.com/images/g/LnIAAOSw5pln3HbD/s-l140.jpg,"Sold  Mar 30, 2025"
IVAN RAKITIC 2015-2016 SELECT SOCCER STARS /99 ST-IR CARD-PATCH-READY T0 GRADE,"128,667.15 VND",https://www.ebay.com/itm/297127986793,https://i.ebayimg.com/images/g/2MkAAOSwFspny79I/s-l140.jpg,"Sold  Mar 28, 2025"
2023-24 Topps UEFA IVAN RAKITIC 004/150 Black and White Icy Sevilla #137,"25,527.15 VND",https://www.ebay.com/itm/306178319976,https://i.ebayimg.com/images/g/GEIAAOSwHrpn08xV/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Topps Chrome Uapan UEFA Ivan Rakitic Neon Green Mojo Refractor #16/99,"36,614.70 VND",https://www.ebay.com/itm/127000885326,https://i.ebayimg.com/images/g/Pu0AAeSwxM9n2bhV/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Topps UEFA Ivan Rakitic Black and White Icy #133/150,"32,231.25 VND",https://www.ebay.com/itm/126998907502,https://i.ebayimg.com/images/g/gKYAAeSwtW1n2Ilz/s-l140.jpg,"Sold  Mar 22, 2025"
Panini World Cup 2018 Adrenalyn XL - Ivan Rakitic Croatia No. 76,"33,229.13 VND",https://www.ebay.com/itm/196886176704,https://i.ebayimg.com/images/g/d8gAAOSwQydnWBT2/s-l140.jpg,"Sold  Mar 21, 2025"
Topps UEFA Champions League Chrome 2023 24 Ivan Rakitic FC Sevilla Gold To 50,"84,750.14 VND",https://www.ebay.com/itm/388067332568,https://i.ebayimg.com/images/g/yJ4AAeSwaSJn0KIs/s-l140.jpg,"Sold  Mar 18, 2025"
2020-21 Panini Chronicles Certified La Liga Ivan Rakitic PLAYER WORN Patch /500,"77,097.15 VND",https://www.ebay.com/itm/396297042882,https://i.ebayimg.com/images/g/gm4AAOSwEpVnzOcr/s-l140.jpg,"Sold  Mar 16, 2025"
2019-20 Panini Chronicles Panini La Liga Ivan Rakitic #422,"25,527.15 VND",https://www.ebay.com/itm/235952109553,https://i.ebayimg.com/images/g/esoAAeSwP8Fnqdr8/s-l140.jpg,"Sold  Mar 10, 2025"
Ivan Rakitic 2022-23 Panini Select La Liga Select Memorabilia Relic Sevilla,"206,537.85 VND",https://www.ebay.com/itm/256839506154,https://i.ebayimg.com/images/g/5tUAAOSwq1VnwQRG/s-l140.jpg,"Sold  Mar 9, 2025"
Ivan Rakitic 2023-24 Topps Chrome UEFA Violet Speckle Refractor 213/299,"32,231.25 VND",https://www.ebay.com/itm/376040266240,https://i.ebayimg.com/images/g/ImcAAOSw6jlnxozH/s-l140.jpg,"Sold  Mar 8, 2025"
2018 Panini World Cup Prizm IVAN RAKITIC Purple Prizm Croatia # 22/99,"389,353.50 VND",https://www.ebay.com/itm/284967649069,https://i.ebayimg.com/images/g/wgoAAOSwnE5iuDu7/s-l140.jpg,"Sold  Mar 8, 2025"
2021 Panini Mosaic UEFA EURO #AM-IR Ivan Rakitic Autographs Mosaic,"1,520,025.75 VND",https://www.ebay.com/itm/135593101372,https://i.ebayimg.com/images/g/FcsAAeSwonNnxLs7/s-l140.jpg,"Sold  Mar 8, 2025"
2016 Panini Prizm UEFA #181 Ivan Rakitic Silver Prizm PSA 10 Gem Mint ,"141,817.50 VND",https://www.ebay.com/itm/286368637839,https://i.ebayimg.com/images/g/eFcAAOSw-~9gkXRZ/s-l140.jpg,"Sold  Mar 7, 2025"
2016-17 PANINI SELECT SOCCER FIELD LEVEL SILVER PRIZM IVAN RAKITIC  #239,"25,785.00 VND",https://www.ebay.com/itm/176783595457,https://i.ebayimg.com/images/g/tPEAAOSwInlngUWX/s-l140.jpg,"Sold  Mar 7, 2025"
Ivan Rakitic 2016-17 Panini Aficionado Soccer Authentics /199 Relic Barcelona ,"257,592.15 VND",https://www.ebay.com/itm/196994413676,https://i.ebayimg.com/images/g/pL0AAOSwrARnpE~e/s-l140.jpg,"Sold  Mar 4, 2025"
IVAN RAKITIC 2016 SELECT NATIONAL PRIDE SOCCER Q3142,"25,785.00 VND",https://www.ebay.com/itm/276878049243,https://i.ebayimg.com/images/g/CGQAAeSwqwZns5rR/s-l140.jpg,"Sold  Feb 24, 2025"
2023-24 Topps Chrome UEFA Japan Ivan Rakitic Yellow Mojo /150 Sevilla #137,"25,527.15 VND",https://www.ebay.com/itm/405534128585,https://i.ebayimg.com/images/g/dNYAAeSwYbFnp3Of/s-l140.jpg,"Sold  Feb 16, 2025"
2016-17 Donruss Soccer Gold Production Line #31 Ivan Rakitic FC Barcelona,"51,312.15 VND",https://www.ebay.com/itm/256811272078,https://i.ebayimg.com/images/g/q5cAAOSwCFdnmO05/s-l140.jpg,"Sold  Feb 16, 2025"
2023 Topps Chrome UEFA Club Competitions Ivan Rakitic Color Match Refractor #/99,"58,016.25 VND",https://www.ebay.com/itm/126926606340,https://i.ebayimg.com/images/g/Q1oAAeSwovZnpm-a/s-l140.jpg,"Sold  Feb 12, 2025"
2023-24 Topps Chrome Japan Edition UEFA Ivan Rakitic Orange Refractor #22/25,"109,586.25 VND",https://www.ebay.com/itm/126924988452,https://i.ebayimg.com/images/g/e3sAAeSw6vVnpSLK/s-l140.jpg,"Sold  Feb 11, 2025"
