Title,Price,Link,Image Link,Sold Date
Topps Bundesliga International Stars 2024/25 Jae-Sung Lee/Hyun-Seok Hong /5 Rare,"155,375.25 VND",https://www.ebay.com/itm/276971732650,https://i.ebayimg.com/images/g/5vkAAOSwoDxn3~~K/s-l140.jpg,"Sold  Mar 30, 2025"
Topps Bundesliga International Stars 2024/25 Jae-Sung Lee / Hyun-Seok Hong 6/25,"28,250.05 VND",https://www.ebay.com/itm/276971853373,https://i.ebayimg.com/images/g/hCoAAOSw3JFn4AZK/s-l140.jpg,"Sold  Mar 30, 2025"
Topps Bundesliga International Stars 2024/25 Jae-Sung Lee / Hyun-Seok Hong 9/25,"56,500.09 VND",https://www.ebay.com/itm/276971850451,https://i.ebayimg.com/images/g/ciMAAOSwXJhn4AVo/s-l140.jpg,"Sold  Mar 30, 2025"
Topps Bundesliga International Stars 2024/25 Jae-Sung Lee/Hyun-Seok Hong /49,"32,896.84 VND",https://www.ebay.com/itm/197105094102,https://i.ebayimg.com/images/g/vbUAAeSwSoBn0xts/s-l140.jpg,"Sold  Mar 16, 2025"
2022/23 TOPPS TIER ONE BUNDESLIGA JAE-SUNG LEE 47/144 RELIC PATCH #MSR-LJS,"154,710.00 VND",https://www.ebay.com/itm/405321994224,https://i.ebayimg.com/images/g/vxQAAOSwLnZnJW5e/s-l140.jpg,"Sold  Mar 11, 2025"
2022/23 TOPPS TIER ONE BUNDESLIGA JAE-SUNG LEE 46/144 RELIC PATCH #MSR-LJS,"128,925.00 VND",https://www.ebay.com/itm/405321992620,https://i.ebayimg.com/images/g/4DAAAOSwYGFnJW4z/s-l140.jpg,"Sold  Mar 11, 2025"
2022/23 TOPPS TIER ONE BUNDESLIGA JAE-SUNG LEE 46/144 RELIC PATCH #MSR-LJS,"99,157.66 VND",https://www.ebay.com/itm/286334200042,https://i.ebayimg.com/images/g/LrcAAeSwpSxnsdll/s-l140.jpg,"Sold  Feb 23, 2025"
Jae-sung Lee 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"257,850.00 VND",https://www.ebay.com/itm/167287143808,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Jae-sung Lee 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"83,801.25 VND",https://www.ebay.com/itm/167284694265,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 TOPPS JADE BUNDESLIGA JAE-SUNG LEE AUTO #BA-JL GREEN MAINZ,"281,056.50 VND",https://www.ebay.com/itm/286222277967,https://i.ebayimg.com/images/g/lakAAOSwAyNnY7aB/s-l140.jpg,"Sold  Feb 6, 2025"
2023-24 TOPPS JADE BUNDESLIGA JAE-SUNG LEE AUTO #BA-JL GREEN MAINZ,"123,768.00 VND",https://www.ebay.com/itm/296924282785,https://i.ebayimg.com/images/g/TxEAAOSw3v5nehqv/s-l140.jpg,"Sold  Jan 12, 2025"
Jae-sung Lee - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #9,"64,204.65 VND",https://www.ebay.com/itm/226572471864,https://i.ebayimg.com/images/g/bk4AAeSwNcdnmuvK/s-l140.jpg,"Sold  Feb 1, 2025"
Jae-sung Lee - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #8,"64,204.65 VND",https://www.ebay.com/itm/235934222694,https://i.ebayimg.com/images/g/28gAAOSwI-dnmZjn/s-l140.jpg,"Sold  Jan 31, 2025"
Jae-sung Lee - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/235923206355,https://i.ebayimg.com/images/g/LWoAAOSwePtnjwm8/s-l140.jpg,"Sold  Jan 23, 2025"
Jae-sung Lee - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #1,"83,801.25 VND",https://www.ebay.com/itm/235921747104,https://i.ebayimg.com/images/g/m28AAOSwhhJnjbfv/s-l140.jpg,"Sold  Jan 22, 2025"
2022 Prizm World Cup Jae-sung Lee Red RC #122/399 #136,"32,231.25 VND",https://www.ebay.com/itm/126904586589,https://i.ebayimg.com/images/g/O98AAOSwKg1ngYMg/s-l140.jpg,"Sold  Jan 31, 2025"
2022 Prizm World Cup Jae-sung Lee Red RC #122/399 #136,"83,801.25 VND",https://www.ebay.com/itm/126876738184,https://i.ebayimg.com/images/g/O98AAOSwKg1ngYMg/s-l140.jpg,"Sold  Jan 15, 2025"
2022-23 Panini Select FIFA Terrace Purple Mojo Prizm Jae-Sung Jae-sung Lee #33,"128,925.00 VND",https://www.ebay.com/itm/305060768048,https://i.ebayimg.com/images/g/mnEAAOSwGxRk0K4-/s-l140.jpg,"Sold  Mar 26, 2025"
2023-24 Topps Chrome Bundesliga Jae-Sung Lee Red Refractor 1/5 #72 FSV Mainz,"270,742.50 VND",https://www.ebay.com/itm/156828221098,https://i.ebayimg.com/images/g/RGsAAOSwTTpn4cMj/s-l140.jpg,"Sold  Mar 29, 2025"
Jae-Sung Lee 23/24 Topps Midnight Bundesliga Auto CS-JL,"644,625.00 VND",https://www.ebay.com/itm/396340376743,https://i.ebayimg.com/images/g/V08AAeSw7odn3Fec/s-l140.jpg,"Sold  Mar 25, 2025"
2022 Panini Prizm World Cup Jae-sung Lee RC Blue Rookie #31/299,"40,998.15 VND",https://www.ebay.com/itm/126986370808,https://i.ebayimg.com/images/g/JKUAAeSwbbxnzzO2/s-l140.jpg,"Sold  Mar 15, 2025"
Jae-Sung Lee 2022-23 Select FIFA Purple Mojo #33 Korea Republic,"93,289.10 VND",https://www.ebay.com/itm/176186040851,https://i.ebayimg.com/images/g/6~8AAOSw3JplpxWz/s-l140.jpg,"Sold  Mar 14, 2025"
Topps Match Attax Bundesliga 24/25 Pixel Pitch Black Card 349 Jae-Sung Lee,"56,217.59 VND",https://www.ebay.com/itm/335676152217,https://i.ebayimg.com/images/g/RJ8AAOSwUYBnN3DV/s-l140.jpg,"Sold  Mar 11, 2025"
Jae-Sung Lee 2022-23 Panini Score FIFA -  Lasers #107 (RC) /5 PSA10,"1,521,315.00 VND",https://www.ebay.com/itm/186903866684,https://i.ebayimg.com/images/g/pJcAAOSwut1njZox/s-l140.jpg,"Sold  Mar 5, 2025"
Jae-sung Lee 2022 Panini Prizm FIFA World Cup Green Rookie #136 Korea Republic,"43,576.65 VND",https://www.ebay.com/itm/156742451111,https://i.ebayimg.com/images/g/yd4AAOSwzptm7PY3/s-l140.jpg,"Sold  Mar 3, 2025"
2024-25 Donruss Soccer - #49 Jae-sung Lee Purple /25,"77,097.15 VND",https://www.ebay.com/itm/365409499329,https://i.ebayimg.com/images/g/5psAAOSwvHJntjY3/s-l140.jpg,"Sold  Mar 2, 2025"
2024-25 panini Donruss Soccer jae-sung lee Gold /10 Korea Star! FIFA,"181,160.52 VND",https://www.ebay.com/itm/405554078221,https://i.ebayimg.com/images/g/BpIAAeSwqwZnspbz/s-l140.jpg,"Sold  Feb 23, 2025"
