Title,Price,Link,Image Link,Sold Date
2024-25 Panini Donruss FIFA Jaedyn Shaw USA Signature Series Auto,"257,592.15 VND",https://www.ebay.com/itm/167410903001,https://i.ebayimg.com/images/g/t88AAeSwZJBn5sIw/s-l140.jpg,"Sold  Mar 28, 2025"
2024-25 Panini Donruss FIFA Jaedyn shaw Signature Series Auto 2,"220,461.75 VND",https://www.ebay.com/itm/356613657360,https://i.ebayimg.com/images/g/u~4AAOSw7Wdnu~LC/s-l140.jpg,"Sold  Mar 3, 2025"
2024-25 Panini Donruss FIFA Jaedyn shaw Signature Series Auto 3,"220,461.75 VND",https://www.ebay.com/itm/356613657352,https://i.ebayimg.com/images/g/E94AAOSw-Llnu~Lw/s-l140.jpg,"Sold  Mar 3, 2025"
2024-25 Panini Donruss FIFA Jaedyn shaw Signature Series Auto 1,"193,387.50 VND",https://www.ebay.com/itm/356613576744,https://i.ebayimg.com/images/g/hQkAAOSwEKhnu~JG/s-l140.jpg,"Sold  Mar 3, 2025"
2024-25 Panini Donruss FIFA Jaedyn shaw Signature Series Auto,"399,667.50 VND",https://www.ebay.com/itm/205304334050,https://i.ebayimg.com/images/g/gEYAAOSw-x9nuZ8f/s-l140.jpg,"Sold  Feb 22, 2025"
2024-25 Donruss FIFA Soccer Jaedyn Shaw Auto Signature Series,"528,850.35 VND",https://www.ebay.com/itm/256805242196,https://i.ebayimg.com/images/g/ibMAAOSwoRtnonP6/s-l140.jpg,"Sold  Feb 11, 2025"
2024-25 Donruss FIFA Soccer Jaedyn Shaw Auto Signature Series,"419,006.25 VND",https://www.ebay.com/itm/276840763020,https://i.ebayimg.com/images/g/sjcAAOSwuQJnnTW4/s-l140.jpg,"Sold  Feb 5, 2025"
2024-25 Donruss FIFA Soccer Jaedyn Shaw Auto Signature Series,"979,830.00 VND",https://www.ebay.com/itm/156660801480,https://i.ebayimg.com/images/g/hrEAAOSwWiFnmZdH/s-l140.jpg,"Sold  Jan 29, 2025"
2024-25 Donruss Jaedyn Shaw Signature Series Auto #SS-JSH,"143,110.00 VND",https://www.ebay.com/itm/126993665692,https://i.ebayimg.com/images/g/T68AAeSwKoRn1IKn/s-l140.jpg,"Sold  Mar 19, 2025"
2024-25 Donruss Jaedyn Shaw Signature Series Auto #SS-JSH,"377,290.00 VND",https://www.ebay.com/itm/376047102461,https://i.ebayimg.com/images/g/O1QAAeSw7w9nyeUQ/s-l140.jpg,"Sold  Mar 11, 2025"
2024-25 Panini Donruss Optic Soccer No. 169 Jaedyn Shaw,"28,250.05 VND",https://www.ebay.com/itm/235996485486,https://i.ebayimg.com/images/g/4kwAAOSwOBtnzX8J/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss Soccer - #169 Jaedyn Shaw Optic,"33,262.65 VND",https://www.ebay.com/itm/365455229768,https://i.ebayimg.com/images/g/PFIAAOSwxC1n0OyX/s-l140.jpg,"Sold  Mar 14, 2025"
2024-25 Panini Donruss Soccer No. 8 Jaedyn Shaw Magicians Bronze,"56,217.59 VND",https://www.ebay.com/itm/316469180934,https://i.ebayimg.com/images/g/R0kAAOSwI0ZnzZya/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss Soccer No. 8 Jaedyn Shaw Magicians Silver,"56,217.59 VND",https://www.ebay.com/itm/316469183200,https://i.ebayimg.com/images/g/-FoAAOSwtqVnzZy5/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss FIFA Signature Series Auto Jaedyn Shaw USWNT SSP USA Rare,"255,271.50 VND",https://www.ebay.com/itm/365452647258,https://i.ebayimg.com/images/g/RwsAAOSw-QJnz5jz/s-l140.jpg,"Sold  Mar 15, 2025"
2024-25 Panini Donruss FIFA Signature Series Auto Jaedyn Shaw USWNT SSP,"419,006.25 VND",https://www.ebay.com/itm/396296304866,https://i.ebayimg.com/images/g/IBAAAOSwtBdnx1vY/s-l140.jpg,"Sold  Mar 15, 2025"
2024-25 Panini Donruss FIFA Signature Series Auto Jaedyn Shaw USWNT SSP,"348,097.50 VND",https://www.ebay.com/itm/365421667675,https://i.ebayimg.com/images/g/4EQAAOSwF6dnvSCX/s-l140.jpg,"Sold  Mar 1, 2025"
2024-25 Panini Donruss FIFA Signature Series Auto Jaedyn Shaw USWNT,"618,840.00 VND",https://www.ebay.com/itm/196998801844,https://i.ebayimg.com/images/g/ThEAAOSwtSBnpjxt/s-l140.jpg,"Sold  Feb 14, 2025"
"2024-25 Donruss Soccer #169 Jaedyn Shaw, United States","25,527.15 VND",https://www.ebay.com/itm/235929782020,https://i.ebayimg.com/images/g/L-wAAOSwRphnlRhY/s-l140.jpg,"Sold  Mar 15, 2025"
"2024-25 Donruss Soccer Magicians #8 Jaedyn Shaw, United States","32,231.25 VND",https://www.ebay.com/itm/296979069182,https://i.ebayimg.com/images/g/9cUAAOSwElVnmYUk/s-l140.jpg,"Sold  Feb 24, 2025"
"2024-25 Donruss Soccer Silver Foil #169 Jaedyn Shaw, United States","38,419.65 VND",https://www.ebay.com/itm/235930002180,https://i.ebayimg.com/images/g/Wq8AAOSwD59nlTvh/s-l140.jpg,"Sold  Feb 9, 2025"
"2024-25 Donruss Soccer Magicians #8 Jaedyn Shaw, United States","51,312.15 VND",https://www.ebay.com/itm/235930174855,https://i.ebayimg.com/images/g/CA0AAOSwOFZnlWj0/s-l140.jpg,"Sold  Jan 25, 2025"
"2024-25 Donruss Optic 169 Jaedyn Shaw, United States","77,799.80 VND",https://www.ebay.com/itm/135517129639,https://i.ebayimg.com/images/g/7LEAAOSwfWtnlOfW/s-l140.jpg,"Sold  Jan 25, 2025"
2024-25 JAEDYN SHAW 20/99 AUTO PANINI DONRUSS FIFA SIGNATURE SERIES BLUE,"953,787.15 VND",https://www.ebay.com/itm/156724711337,https://i.ebayimg.com/images/g/BpMAAOSwPmNnuCb5/s-l140.jpg,"Sold  Mar 13, 2025"
