Title,Price,Link,Image Link,Sold Date
2018 Panini Prizm World Cup Red Prizm /149 Jakub Blaszczykowski #147,"458,715.15 VND",https://www.ebay.com/itm/235944807224,https://i.ebayimg.com/images/g/Mi0AAeSwnjpno5D2/s-l500.jpg,"Sold  Apr 4, 2025"
2018 Panini Prizm World Cup Red Prizm /149 Jakub Blaszczykowski #147,"458,715.15 VND",https://www.ebay.com/itm/235944807224,https://i.ebayimg.com/images/g/Mi0AAeSwnjpno5D2/s-l140.jpg,"Sold  Apr 4, 2025"
2016 Panini Prizm UEFA Euro - Blue Prizm #140 Jakub Blaszczykowski /249,"76,839.30 VND",https://www.ebay.com/itm/365133072855,https://i.ebayimg.com/images/g/Nd8AAOSwQaBm7s9S/s-l140.jpg,"Sold  Mar 30, 2025"
2013-14 Topps Match Attax Bundesliga Jakub Blaszczykowski #L5,"35,841.15 VND",https://www.ebay.com/itm/235908430576,https://i.ebayimg.com/images/g/lDcAAOSwuvVngWwI/s-l140.jpg,"Sold  Mar 14, 2025"
2024 Topps Chrome UEFA Euro - Jakub Blaszczykowski - Cheat Code Gold  /50,"135,371.25 VND",https://www.ebay.com/itm/375998977479,https://i.ebayimg.com/images/g/imAAAeSwSNVnsTsr/s-l140.jpg,"Sold  Mar 3, 2025"
2018 Panini Prizm FIFA World Cup #147 Jakub Blaszczykowski Blue Prizm #/199,"123,252.30 VND",https://www.ebay.com/itm/126699863012,https://i.ebayimg.com/images/g/~kIAAOSwc5xm-0z7/s-l140.jpg,"Sold  Jan 23, 2025"
JAKUB BLASZCZYKOWSKI 2017 Panini SELECT SOCCER DIE CUT GREEN PRIZM 5/5 Q3423,"1,286,155.80 VND",https://www.ebay.com/itm/316134744318,https://i.ebayimg.com/images/g/Or8AAOSwLO9nhztQ/s-l140.jpg,"Sold  Jan 15, 2025"
2018 Panini World Cup Prizm Orange Green Wave Jakub Blaszczykowski - Poland,"12,892.50 VND",https://www.ebay.com/itm/226526042770,https://i.ebayimg.com/images/g/gLoAAOSwtVpmxU3Q/s-l140.jpg,"Sold  Jan 8, 2025"
Panini Adrenalyn Champions League 14/15 263 Jakub Blaszczykowski Fans Favourites,"78,817.63 VND",https://www.ebay.com/itm/292182877946,https://i.ebayimg.com/images/g/9QAAAOSwfK5fq9JJ/s-l140.jpg,"Sold  Mar 14, 2025"
2024 Topps UEFA Cheat Code Orange Jakub Blaszczykowski /25 #CC-14 Poland,"31,734.83 VND",https://www.ebay.com/itm/156729945794,https://i.ebayimg.com/images/g/LG8AAeSwQyRnu4KZ/s-l140.jpg,"Sold  Mar 6, 2025"
Panini Select Soccer 2017 18 Jakub Blaszczykowski Die Cut Pink /60 Polska Bvb,"127,125.21 VND",https://www.ebay.com/itm/387988805180,https://i.ebayimg.com/images/g/alkAAeSwCJ5nu4Bb/s-l140.jpg,"Sold  Mar 2, 2025"
2012-13 Panini Adrenalyn Champions League Limited Jakub Blaszczykowski,"58,016.25 VND",https://www.ebay.com/itm/267150897275,https://i.ebayimg.com/images/g/2qkAAOSwwc1nmPHK/s-l140.jpg,"Sold  Feb 16, 2025"
Jakub Blaszczykowski 2024 Topps Chrome UEFA Euro 026/125 Yellow Cheat Code,"83,801.25 VND",https://www.ebay.com/itm/375977595270,https://i.ebayimg.com/images/g/q84AAOSwnj9npZSV/s-l140.jpg,"Sold  Feb 11, 2025"
TOPPS CHROME UEFA EURO 2024 JAKUB BLASZCZYKOWSKI /125 YELLOW CHEAT CODE,"77,355.00 VND",https://www.ebay.com/itm/146363811057,https://i.ebayimg.com/images/g/nsMAAOSwnL9nnppb/s-l140.jpg,"Sold  Feb 6, 2025"
Topps Chrome UEFA Euro 2024 No. CC-14 Jakub Blaszczykowski Cheat Code,"84,467.64 VND",https://www.ebay.com/itm/335747763332,https://i.ebayimg.com/images/g/jmsAAOSwuptnbs18/s-l140.jpg,"Sold  Jan 14, 2025"
JAKUB BLASZCZYKOWSKI BORUSSIA DORTMUND ASIA TOPPS 2023-24 BUNDESLIGA AUTO /35,"779,701.27 VND",https://www.ebay.com/itm/135478745497,https://i.ebayimg.com/images/g/uQMAAOSw9IJndp52/s-l140.jpg,"Sold  Jan 12, 2025"
2024 Topps Chrome UEFA EURO Jakub Blaszczykowski Cheat Code Blue 47/150 #14 KT01,"3,867.75 VND",https://www.ebay.com/itm/396088585359,https://i.ebayimg.com/images/g/RboAAOSwVYJneNnv/s-l140.jpg,"Sold  Jan 11, 2025"
