Title,Price,Link,Image Link,Sold Date
Panini Mosaic Soccer 2021 22 La Liga Autograph Auto Jakub Jankto Getafe Czechia,"183,625.30 VND",https://www.ebay.com/itm/387878794304,https://i.ebayimg.com/images/g/7SMAAOSw~iBnjlKx/s-l140.jpg,"Sold  Feb 7, 2025"
Panini Mosaic Soccer 2021 22 La Liga Autograph Auto Jakub Jankto Getafe Czechia,"183,907.80 VND",https://www.ebay.com/itm/387843074088,https://i.ebayimg.com/images/g/7SMAAOSw~iBnjlKx/s-l140.jpg,"Sold  Jan 27, 2025"
2020-21 PANINI CHRONICLES SOCCER PRESTIGE JAKUB JANKTO AUTO /275 A48,"225,618.75 VND",https://www.ebay.com/itm/313661904088,https://i.ebayimg.com/images/g/hIoAAOSwwYthMyH5/s-l500.jpg,"Sold  Mar 29, 2025"
2020-21 Panini Mosaic Serie A Jakub Jankto Gold 5/10 Czech Cagliari Calcio,"180,495.00 VND",https://www.ebay.com/itm/365466977158,https://i.ebayimg.com/images/g/XBAAAOSwuiBn2M2E/s-l140.jpg,"Sold  Mar 22, 2025"
Panini Mosaic UEFA Euro 2020 Trading Card Czech Republic Jakub Jankto,"28,250.05 VND",https://www.ebay.com/itm/175527689985,https://i.ebayimg.com/images/g/MzsAAOSw-fVjlNxk/s-l140.jpg,"Sold  Mar 15, 2025"
2021-22 Panini Mosaic La Liga - Autographs Mosaic #AM-JJO Jakub Jankto (AU),"32,231.25 VND",https://www.ebay.com/itm/205326748500,https://i.ebayimg.com/images/g/SG0AAeSwezpnsVWh/s-l140.jpg,"Sold  Mar 8, 2025"
Panini Score Serie A 21-22 Jakub Jankto Autograph 066/199 Signatures,"334,947.15 VND",https://www.ebay.com/itm/256814979455,https://i.ebayimg.com/images/g/eEAAAOSwliNno8om/s-l140.jpg,"Sold  Feb 14, 2025"
2021 Panini Mosaic UEFA Euro 2020 Jakub Jankto #31,"51,312.15 VND",https://www.ebay.com/itm/256811077254,https://i.ebayimg.com/images/g/BFUAAOSwjQVkyCW1/s-l140.jpg,"Sold  Feb 11, 2025"
2020 Panini Select UEFA Euro CamoPrizm Jakub Jankto 14/49 Czech Republic #200,"32,231.25 VND",https://www.ebay.com/itm/387843597403,https://i.ebayimg.com/images/g/cGMAAOSwqHVnjtDE/s-l140.jpg,"Sold  Jan 27, 2025"
2020 Panini Select UEFA Euro Preview Tie-Dye Prizm /25 Jakub Jankto #200,"162,187.65 VND",https://www.ebay.com/itm/235872694637,https://i.ebayimg.com/images/g/zJkAAOSwmfZnX3lI/s-l140.jpg,"Sold  Jan 25, 2025"
2021 Panini Mosaic UEFA EURO Jakub Jankto Mosaic Gold Fluorescent SN,"515,442.15 VND",https://www.ebay.com/itm/186843515421,https://i.ebayimg.com/images/g/OS0AAOSwmuJnXmjj/s-l140.jpg,"Sold  Jan 14, 2025"
