Title,Price,Link,Image Link,Sold Date
2021 JAKUB MODER 18/49 PANINI IMMACULATE COLLECTION PREMIER LEAGUE ROOKIE RC#109,"515,442.15 VND",https://www.ebay.com/itm/155183476169,https://i.ebayimg.com/images/g/hOIAAOSwCK1jNPpP/s-l140.jpg,"Sold  Apr 7, 2025"
2021 JAKUB MODER 11/49 PANINI IMMACULATE COLLECTION PREMIER LEAGUE ROOKIE RC#109,"515,442.15 VND",https://www.ebay.com/itm/155546883867,https://i.ebayimg.com/images/g/QucAAOSwChVkWb72/s-l140.jpg,"Sold  Apr 7, 2025"
2022 Fifa World Cup Panini Sticker Qatar JAKUB MODER Poland POL14,"29,394.90 VND",https://www.ebay.com/itm/225211040032,https://i.ebayimg.com/images/g/sSIAAOSwRq9jTryn/s-l140.jpg,"Sold  Feb 12, 2025"
2022 Fifa World Cup Panini Sticker JAKUB MODER Poland POL 14 Purple Parallel,"273,210.00 VND",https://www.ebay.com/itm/146484346744,https://i.ebayimg.com/images/g/gLMAAeSwWeVn6XLI/s-l140.jpg,"Sold  Apr 6, 2025"
Jakub Moder Albion 2021-22 PRIZM PREMIER LEAGUE Emergent Rookie #23,"27,201.28 VND",https://www.ebay.com/itm/365469105392,https://i.ebayimg.com/images/g/0sMAAOSwb5hn2j~I/s-l140.jpg,"Sold  Apr 3, 2025"
Jakub Moder Rookie Press Proof Gold 329/349 2021-22 Panini Donruss Soccer,"77,355.00 VND",https://www.ebay.com/itm/296276190682,https://i.ebayimg.com/images/g/EswAAOSwU-1l4A00/s-l140.jpg,"Sold  Apr 6, 2025"
Jakub Moder 2021-22 Panini Mosaic FIFA World Cup Genesis RC SSP #48 Poland,"257,592.15 VND",https://www.ebay.com/itm/314938198690,https://i.ebayimg.com/images/g/7XsAAOSwmVxlRmZp/s-l140.jpg,"Sold  Mar 21, 2025"
21-22 Panini Mosaic World Cup Jakub Moder Blue Prizm /99 Poland Rc,"25,785.00 VND",https://www.ebay.com/itm/365419819109,https://i.ebayimg.com/images/g/A1YAAOSwIS1nu-cE/s-l140.jpg,"Sold  Mar 2, 2025"
2021-22 Panini Mosaic FIFA Jakub Moder FIFA Base Mosaic RC #48,"51,312.15 VND",https://www.ebay.com/itm/235862946683,https://i.ebayimg.com/images/g/kJYAAOSwYI1nVby6/s-l140.jpg,"Sold  Feb 9, 2025"
2021-22 Panini Donruss Optic World Cup Jakub Moder Red Rookie RC /149 #179,"128,667.15 VND",https://www.ebay.com/itm/176636852273,https://i.ebayimg.com/images/g/VPMAAOSwlgVl6Trz/s-l140.jpg,"Sold  Feb 8, 2025"
PANINI MOSIAC PREMIER LEAGUE SOCCER 2021-22 JAKUB MODER BRIGHTON PRIZM 07/88.,"56,489.52 VND",https://www.ebay.com/itm/156607529625,https://i.ebayimg.com/images/g/M4oAAOSwqedncDCx/s-l140.jpg,"Sold  Jan 17, 2025"
JAKUB MODER 2021-22 PANINI MOSAIC GENESIS!  Road To FIFA SSP! 🔥 Poland,"520,139.80 VND",https://www.ebay.com/itm/135036863451,https://i.ebayimg.com/images/g/vi8AAOSw0JNjYbLs/s-l140.jpg,"Sold  Apr 7, 2025"
Panini 2021-22 Prizm Premier League Soccer No. 191 Jakub Modern Rookie,"28,489.30 VND",https://www.ebay.com/itm/335430460190,https://i.ebayimg.com/images/g/tdQAAOSwiJpmY4WA/s-l140.jpg,"Sold  Sep 28, 2024"
2021-22 PANINI Chronicles Jakub Moder #294 Optic Rookie Ticket Orange Ice /23,"1,040,539.80 VND",https://www.ebay.com/itm/355867029166,https://i.ebayimg.com/images/g/91EAAOSwJ-5mdxA5/s-l140.jpg,"Sold  Feb 17, 2025"
Jakub Moder Panini National Treasures Poland Numbered Rookie RC /99,"227,629.49 VND",https://www.ebay.com/itm/395638588338,https://i.ebayimg.com/images/g/UkoAAOSwz89m1LWt/s-l140.jpg,"Sold  Feb 13, 2025"
Jakub Moder RC Rookie - 2021-22 Panini Mosaic EPL - Blue /99,"142,446.49 VND",https://www.ebay.com/itm/226556801047,https://i.ebayimg.com/images/g/E8MAAOSwMxdnjt4J/s-l140.jpg,"Sold  Jan 21, 2025"
