Title,Price,Link,Image Link,Sold Date
Jan Oblak /30 Red Crystals Panini Obsidian Soccer Int 2023-24 Atletico Madrid,"415,364.12 VND",https://www.ebay.com/itm/156646490898,https://i.ebayimg.com/images/g/9P8AAOSwn4JnjmRB/s-l140.jpg,"Sold  Mar 30, 2025"
Jan Oblak /30 Red Crystals Panini Obsidian Soccer Int 2023-24 Atletico Madrid,"515,700.00 VND",https://www.ebay.com/itm/156646858218,https://i.ebayimg.com/images/g/rOIAAOSwJHdnjrEm/s-l140.jpg,"Sold  Apr 1, 2025"
JAN OBLAK 2024 TOPPS CHROME UEFA EURO COLOR MATCH 51/99,"51,570.00 VND",https://www.ebay.com/itm/396364646913,https://i.ebayimg.com/images/g/9RUAAOSwiexn0I6y/s-l140.jpg,"Sold  Apr 2, 2025"
JAN OBLAK 2024 TOPPS CHROME UEFA EURO COLOR MATCH 51/99,"25,527.15 VND",https://www.ebay.com/itm/396309323530,https://i.ebayimg.com/images/g/9RUAAOSwiexn0I6y/s-l140.jpg,"Sold  Mar 18, 2025"
JAN OBLAK 2024 TOPPS CHROME UEFA EURO COLOR MATCH /99 Q3249,"25,785.00 VND",https://www.ebay.com/itm/276799501376,https://i.ebayimg.com/images/g/4iIAAOSwSNBndHZi/s-l140.jpg,"Sold  Jan 7, 2025"
2024 Topps Uefa Club Competition Ultimate Stage Autograph Jan Oblak,"213,241.95 VND",https://www.ebay.com/itm/365483766739,https://i.ebayimg.com/images/g/tLQAAOSwKqRn42K8/s-l140.jpg,"Sold  Mar 30, 2025"
2024 Topps Uefa Club Competition Ultimate Stage Autograph Jan Oblak,"193,387.50 VND",https://www.ebay.com/itm/365440081456,https://i.ebayimg.com/images/g/wMUAAOSwCv5nx7lK/s-l140.jpg,"Sold  Mar 9, 2025"
2019-20 Topps Chrome Sapphire UEFA Champions League #81 Jan Oblak,"43,576.65 VND",https://www.ebay.com/itm/315709201301,https://i.ebayimg.com/images/g/8XMAAeSwHvFn4DN4/s-l140.jpg,"Sold  Feb 26, 2025"
2018-19 Topps Chrome UEFA Champions League #32 Jan Oblak,"43,576.65 VND",https://www.ebay.com/itm/315709874928,https://i.ebayimg.com/images/g/1LYAAeSwtllnr4NN/s-l140.jpg,"Sold  Feb 21, 2025"
2023-24 Topps UEFA Club Competitions Jan Oblak Ultimate Stage Auto,"167,602.50 VND",https://www.ebay.com/itm/226645849424,https://i.ebayimg.com/images/g/tKoAAOSwXq1njcBM/s-l140.jpg,"Sold  Mar 18, 2025"
2023-24 Topps UEFA Club Competitions Jan Oblak Ultimate Stage Auto,"207,053.55 VND",https://www.ebay.com/itm/226555412233,https://i.ebayimg.com/images/g/tKoAAOSwXq1njcBM/s-l140.jpg,"Sold  Jan 24, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 JAN OBLAK #114,"32,231.25 VND",https://www.ebay.com/itm/286394429952,https://i.ebayimg.com/images/g/83oAAOSwvi5nzQoB/s-l140.jpg,"Sold  Mar 13, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 JAN OBLAK #114,"109,586.25 VND",https://www.ebay.com/itm/286362856037,https://i.ebayimg.com/images/g/h-oAAOSwLOdnvory/s-l140.jpg,"Sold  Mar 2, 2025"
