Title,Price,Link,Image Link,Sold Date
2023-24 Panini Obsidian Soccer Jarrad Branthwaite /49 🔥,"25,527.15 VND",https://www.ebay.com/itm/376036678406,https://i.ebayimg.com/images/g/M0IAAeSwSmlnxMky/s-l140.jpg,"Sold  Mar 7, 2025"
2023-24 Panini Obsidian Soccer Jarrad Branthwaite 09/49 Everton,"58,016.25 VND",https://www.ebay.com/itm/205245005123,https://i.ebayimg.com/images/g/bnsAAOSwewtnlD8T/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Obsidian Soccer Jarrad Branthwaite 22/30 Everton,"128,925.00 VND",https://www.ebay.com/itm/205245001190,https://i.ebayimg.com/images/g/L6UAAOSw0vBnlD3j/s-l140.jpg,"Sold  Jan 31, 2025"
Jarrad Branthwaite - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/297063102888,https://i.ebayimg.com/images/g/eQIAAeSw~E5nwVTs/s-l140.jpg,"Sold  Mar 1, 2025"
Jarrad Branthwaite - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/235966262396,https://i.ebayimg.com/images/g/4IsAAeSw~ORntprG/s-l140.jpg,"Sold  Feb 22, 2025"
Jarrad Branthwaite - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/235961898905,https://i.ebayimg.com/images/g/VAQAAeSwPNBnsq87/s-l140.jpg,"Sold  Feb 19, 2025"
Jarrad Branthwaite - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/226600318156,https://i.ebayimg.com/images/g/ehAAAeSwTgBnsVPz/s-l140.jpg,"Sold  Feb 18, 2025"
Jarrad Branthwaite - 2023-24 Immaculate Soccer Int'l - 3X Box Player BREAK #7,"64,789.80 VND",https://www.ebay.com/itm/226642110928,https://i.ebayimg.com/images/g/WZYAAeSwOPxn0P7C/s-l140.jpg,"Sold  Mar 14, 2025"
2021 Mosaic Premier League Reactive Gold Prizm Jarrad Branthwaite #165 Rookie RC,"25,527.15 VND",https://www.ebay.com/itm/387909663242,https://i.ebayimg.com/images/g/Io4AAOSwB0tnqAwq/s-l140.jpg,"Sold  Feb 15, 2025"
2021 Mosaic Premier League Reactive Gold Prizm Jarrad Branthwaite #165 Rookie RC,"125,057.25 VND",https://www.ebay.com/itm/235896692998,https://i.ebayimg.com/images/g/SKoAAOSw4kpndqw~/s-l140.jpg,"Sold  Jan 18, 2025"
2023-24 JARRAD BRANTHWAITE 049/120 PANINI OBSIDIAN PREMIER LEAGUE,"154,452.15 VND",https://www.ebay.com/itm/156588337485,https://i.ebayimg.com/images/g/WqAAAOSwYz1nYOSL/s-l140.jpg,"Sold  Mar 13, 2025"
2023-24 JARRAD BRANTHWAITE 39/62 PANINI IMPECCABLE PREMIER LEAGUE,"231,807.15 VND",https://www.ebay.com/itm/156641264575,https://i.ebayimg.com/images/g/qzQAAOSwSC1nibcl/s-l140.jpg,"Sold  Jan 29, 2025"
2023-24 Impeccable Premier League Jarrad Branthwaite Patch Auto /99,"399,667.50 VND",https://www.ebay.com/itm/226537416933,https://i.ebayimg.com/images/g/MEEAAOSw1IRngUYe/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Impeccable Premier Jarrad Branthwaite Elegance Patch Auto/99 Everton ZZ1,"241,465.60 VND",https://www.ebay.com/itm/396119135863,https://i.ebayimg.com/images/g/toUAAOSwLAlnhB6e/s-l140.jpg,"Sold  Jan 19, 2025"
2023/24 Panini Impeccable EPL - Jarrad Branthwaite Elegance Auto /99,"390,039.80 VND",https://www.ebay.com/itm/167435305068,https://i.ebayimg.com/images/g/INEAAOSwjdhn89yj/s-l500.jpg,"Sold  Apr 7, 2025"
2023 Impeccable Jarrad Branthwaite Elegance Jersey Auto #66/99,"351,270.00 VND",https://www.ebay.com/itm/376080189547,https://i.ebayimg.com/images/g/KUUAAeSwSPBn2b1m/s-l140.jpg,"Sold  Mar 23, 2025"
2023/24 Panini Impeccable EPL - Jarrad Branthwaite Elegance Auto /10,"650,500.00 VND",https://www.ebay.com/itm/335835708566,https://i.ebayimg.com/images/g/sJUAAeSweDhnwM3z/s-l140.jpg,"Sold  Feb 28, 2025"
2023-24 Panini Impeccable SC Jarrad Branthwaite Extravagance Materials Auto /99,"351,270.00 VND",https://www.ebay.com/itm/376107149162,https://i.ebayimg.com/images/g/qIoAAOSwLltnuIRc/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Impeccable SC Jarrad Branthwaite Extravagance Materials Auto /99,"195,150.00 VND",https://www.ebay.com/itm/376068813882,https://i.ebayimg.com/images/g/W10AAOSwu1Rn1AX~/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable SC Jarrad Branthwaite Extravagance Materials Auto /99,"273,210.00 VND",https://www.ebay.com/itm/376068813883,https://i.ebayimg.com/images/g/-hoAAOSwZ9ln0~7K/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable Jarrad Branthwaite Patch Auto /25,"274,733.42 VND",https://www.ebay.com/itm/167370864822,https://i.ebayimg.com/images/g/LysAAeSwHPJnxTHe/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable EPL EVERTON Jarrad Branthwaite Relic Auto /99,"1,274,980.00 VND",https://www.ebay.com/itm/405571349123,https://i.ebayimg.com/images/g/2uUAAeSwa5Nnue4i/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Panini Impeccable SC Jarrad Branthwaite Extravagance Materials Auto /99,"403,310.00 VND",https://www.ebay.com/itm/376013545198,https://i.ebayimg.com/images/g/qIoAAOSwLltnuIRc/s-l140.jpg,"Sold  Feb 28, 2025"
2023-24 Panini Impeccable SC Jarrad Branthwaite Extravagance Materials Auto /99,"403,310.00 VND",https://www.ebay.com/itm/376013545213,https://i.ebayimg.com/images/g/awUAAOSwDGhnuIP5/s-l140.jpg,"Sold  Feb 28, 2025"
JARRAD BRANTHWAITE 2023-24 IMMACULATE SOCCER 1x Case 6x Hobby Box PYP BREAK 2104,"51,779.80 VND",https://www.ebay.com/itm/356725355780,https://i.ebayimg.com/images/g/xJ0AAOSwAzFn6pGz/s-l140.jpg,"Sold  Apr 5, 2025"
JARRAD BRANTHWAITE 2023-24 IMMACULATE SOCCER 1x Case 6x Hobby Box PYP BREAK 2096,"78,060.00 VND",https://www.ebay.com/itm/356717957457,https://i.ebayimg.com/images/g/igkAAOSw6yNn5yEJ/s-l140.jpg,"Sold  Apr 2, 2025"
JARRAD BRANTHWAITE 2023-24 IMMACULATE SOCCER 1x Case 6x Hobby Box PYP BREAK 2086,"117,090.00 VND",https://www.ebay.com/itm/356705870775,https://i.ebayimg.com/images/g/qGYAAOSwdm5n4byU/s-l140.jpg,"Sold  Mar 29, 2025"
JARRAD BRANTHWAITE 2023-24 IMMACULATE SOCCER 1x Case 6x Hobby Box PYP BREAK 2072,"39,030.00 VND",https://www.ebay.com/itm/356700784397,https://i.ebayimg.com/images/g/830AAOSw415n2GkH/s-l140.jpg,"Sold  Mar 23, 2025"
JARRAD BRANTHWAITE 2023-24 IMMACULATE SOCCER 1x Case 6x Hobby Box PYP BREAK 2053,"84,565.00 VND",https://www.ebay.com/itm/356651889506,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 15, 2025"
JARRAD BRANTHWAITE 2023-24 IMMACULATE SOCCER 1x Case 6x Hobby Box PYP BREAK 2034,"64,789.80 VND",https://www.ebay.com/itm/356620743196,https://i.ebayimg.com/images/g/yzQAAOSwWsVnwkKI/s-l140.jpg,"Sold  Mar 5, 2025"
JARRAD BRANTHWAITE 2023-24 IMMACULATE SOCCER 1x Case 6x Hobby Box PYP BREAK 2032,"65,050.00 VND",https://www.ebay.com/itm/356605438811,https://i.ebayimg.com/images/g/~oIAAOSwaxpnvOOy/s-l140.jpg,"Sold  Mar 1, 2025"
JARRAD BRANTHWAITE 2023-24 IMMACULATE SOCCER 1x Case 6x Hobby Box PYP BREAK 2018,"64,789.80 VND",https://www.ebay.com/itm/356583754589,https://i.ebayimg.com/images/g/tMYAAOSwsvFns7yy/s-l140.jpg,"Sold  Feb 22, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #9,"84,565.00 VND",https://www.ebay.com/itm/236012609889,https://i.ebayimg.com/images/g/iPkAAOSwI2Vn22it/s-l140.jpg,"Sold  Mar 26, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #8,"64,789.80 VND",https://www.ebay.com/itm/236011379026,https://i.ebayimg.com/images/g/Y~kAAOSw28pn2idW/s-l140.jpg,"Sold  Mar 23, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #7,"110,585.00 VND",https://www.ebay.com/itm/235998517761,https://i.ebayimg.com/images/g/PZQAAOSwlg9nz4sB/s-l140.jpg,"Sold  Mar 17, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #6,"64,789.80 VND",https://www.ebay.com/itm/235979820160,https://i.ebayimg.com/images/g/hu8AAOSwKkNnv8uE/s-l140.jpg,"Sold  Mar 5, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #5,"84,565.00 VND",https://www.ebay.com/itm/235975262754,https://i.ebayimg.com/images/g/l8UAAOSw6iJnvShB/s-l140.jpg,"Sold  Mar 3, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"84,565.00 VND",https://www.ebay.com/itm/235972577265,https://i.ebayimg.com/images/g/EV4AAOSwQf5nuojH/s-l140.jpg,"Sold  Feb 27, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #3,"64,789.80 VND",https://www.ebay.com/itm/235967826561,https://i.ebayimg.com/images/g/TiMAAOSw89Jnt96t/s-l140.jpg,"Sold  Feb 25, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"110,585.00 VND",https://www.ebay.com/itm/235961806345,https://i.ebayimg.com/images/g/Md8AAOSw3W1nsphc/s-l140.jpg,"Sold  Feb 23, 2025"
Jarrad Branthwaite Everton 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"84,565.00 VND",https://www.ebay.com/itm/235957560849,https://i.ebayimg.com/images/g/9yIAAOSw6opnrqLv/s-l140.jpg,"Sold  Feb 20, 2025"
