Title,Price,Link,Image Link,Sold Date
2020-21 Impeccable PL Soccer Javier Manquillo Match-Worn Patch 17/99,"110,585.00 VND",https://www.ebay.com/itm/365487493399,https://i.ebayimg.com/images/g/UKIAAOSwhLBn5Y8c/s-l500.jpg,"Sold  Apr 3, 2025"
2020-21 Impeccable PL Soccer Javier Manquillo Match-Worn Dual Patch 58/99,"110,585.00 VND",https://www.ebay.com/itm/365487494046,https://i.ebayimg.com/images/g/bDcAAOSwg01n5Y9F/s-l500.jpg,"Sold  Apr 3, 2025"
2020 JAVIER MANQUILLO 94/99 JERSEY PANINI IMMACULATE COLLECTION ROOKIE RC,"233,919.80 VND",https://www.ebay.com/itm/156139845974,https://i.ebayimg.com/images/g/SD4AAOSwh6FhRTpc/s-l140.jpg,"Sold  Feb 2, 2025"
2021 JAVIER MANQUILLO 57/99 JERSEY PANINI IMMACULATE COLLECTION REMARKABLE,"233,919.80 VND",https://www.ebay.com/itm/156223213501,https://i.ebayimg.com/images/g/q1oAAOSw5VNiZ1GR/s-l140.jpg,"Sold  Feb 2, 2025"
2020-21 JAVIER MANQUILLO 02/20 JERSEY PANINI IMPECCABLE PREMIER LEAGUE ,"337,999.80 VND",https://www.ebay.com/itm/156141385582,https://i.ebayimg.com/images/g/QQ8AAOSwqbBhcNeU/s-l140.jpg,"Sold  Feb 2, 2025"
2020-21 JAVIER MANQUILLO 08/20 JERSEY PANINI IMPECCABLE PREMIER LEAGUE,"337,999.80 VND",https://www.ebay.com/itm/156223664258,https://i.ebayimg.com/images/g/b-cAAOSwyatixmxv/s-l140.jpg,"Sold  Feb 2, 2025"
2020 Immaculate Soccer RC JAVIER MANQUILLO Signature Moves Booklet AUTO /51,"1,184,820.75 VND",https://www.ebay.com/itm/315227025324,https://i.ebayimg.com/images/g/1OsAAOSwfzpjDacg/s-l140.jpg,"Sold  Feb 1, 2025"
2019-20 PANINI IMPECCABLE PREMIER LEAGUE JAVIER MANQUILLO CLUB HISTORY AUTO 1/92,"631,732.50 VND",https://www.ebay.com/itm/365452489403,https://i.ebayimg.com/images/g/HQYAAOSw9hJnz4TX/s-l140.jpg,"Sold  Mar 15, 2025"
2020 Panini Immaculate Jersey Auto Card : Javier Manquillo #06/51,"934,118.00 VND",https://www.ebay.com/itm/354330628481,https://i.ebayimg.com/images/g/OCQAAOSwmopjR5RP/s-l140.jpg,"Sold  Apr 2, 2025"
2019-20 Panini Chronicles Donruss Mosaic Card : Javier Manquillo #116,"77,799.80 VND",https://www.ebay.com/itm/353811348678,https://i.ebayimg.com/images/g/GgwAAOSw98FhuCG0/s-l140.jpg,"Sold  Mar 5, 2025"
