Title,Price,Link,Image Link,Sold Date
2020-21 Panini Prizm Premier League Kaboom Jay Rodriguez #5,"2,532,602.70 VND",https://www.ebay.com/itm/335791961504,https://i.ebayimg.com/images/g/iRcAAOSw25JnnRlm/s-l140.jpg,"Sold  Apr 1, 2025"
2020-21 Panini Prizm Premier League Kaboom Jay Rodriguez #5,"1,289,250.00 VND",https://www.ebay.com/itm/396222965909,https://i.ebayimg.com/images/g/8dwAAeSwrKJntMT8/s-l140.jpg,"Sold  Feb 19, 2025"
2020 Panini Prizm Premier League Jay Rodriguez Kaboom SSP #5,"1,192,814.10 VND",https://www.ebay.com/itm/375991334494,https://i.ebayimg.com/images/g/2r8AAeSwzzxnrQ93/s-l140.jpg,"Sold  Feb 17, 2025"
2020-21 Panini Prizm Premier League Kaboom Jay Rodriguez #5 PSA 9 MINT,"1,933,617.15 VND",https://www.ebay.com/itm/267143761268,https://i.ebayimg.com/images/g/DK8AAOSw4jhnn-JF/s-l140.jpg,"Sold  Feb 15, 2025"
2020-21 Panini Prizm Premier League - Kaboom #5 Jay Rodriguez PSA 10,"2,578,500.00 VND",https://www.ebay.com/itm/335724486618,https://i.ebayimg.com/images/g/TUoAAOSw-6hnWgWm/s-l140.jpg,"Sold  Feb 15, 2025"
2021-22 Panini Prizm Premier League Soccer Jay Rodriguez /49,"56,500.09 VND",https://www.ebay.com/itm/396112002619,https://i.ebayimg.com/images/g/DEYAAOSwYU1nYsiy/s-l140.jpg,"Sold  Jan 17, 2025"
2021-22 JAY RODRIGUEZ 111/159 PANINI PRIZM PREMIER LEAGUE MOJO,"51,312.15 VND",https://www.ebay.com/itm/156224693788,https://i.ebayimg.com/images/g/KU0AAOSwJwdjEXJv/s-l140.jpg,"Sold  Mar 22, 2025"
2021-22 JAY RODRIGUEZ /25 PANINI PRIZM PREMIER LEAGUE ORANGE,"25,785.00 VND",https://www.ebay.com/itm/176851193512,https://i.ebayimg.com/images/g/4n4AAOSwAwVlzkyp/s-l140.jpg,"Sold  Feb 23, 2025"
2020 Jay Rodriguez Panini Prizm Premier League Kaboom Card #5 PSA 9 Mint,"2,191,725.00 VND",https://www.ebay.com/itm/396302367558,https://i.ebayimg.com/images/g/6I0AAeSwVk5nznIP/s-l140.jpg,"Sold  Mar 20, 2025"
Jay Rodriguez - 2020 Panini Prizm Premier League Kaboom!  PSA 9,"2,417,085.90 VND",https://www.ebay.com/itm/175986225920,https://i.ebayimg.com/images/g/Um4AAOSwSyZi8dJN/s-l140.jpg,"Sold  Feb 13, 2025"
Panini Immaculate Collection Soccer 2020 No. 130 Jay Rodriguez 90/99,"166,477.94 VND",https://www.ebay.com/itm/335779747911,https://i.ebayimg.com/images/g/-rwAAOSwf7BmNgPp/s-l140.jpg,"Sold  Feb 11, 2025"
Panini Immaculate Collection Soccer 2020 No. 130 Jay Rodriguez 90/99,"166,477.94 VND",https://www.ebay.com/itm/335779747911,https://i.ebayimg.com/images/g/-rwAAOSwf7BmNgPp/s-l500.jpg,"Sold  Feb 11, 2025"
2019-20 Panini Chronicles Premier League Prizm Update Jay Rodriguez #309,"25,527.15 VND",https://www.ebay.com/itm/235887243172,https://i.ebayimg.com/images/g/ZNgAAeSwTsRnvgF3/s-l140.jpg,"Sold  Jan 28, 2025"
PANINI PRIZM PREMIER LEAGUE SOCCER 20/21 JAY RODRIGUEZ BURNLEY SILVER ICE 07/23.,"106,333.21 VND",https://www.ebay.com/itm/156607308535,https://i.ebayimg.com/images/g/2McAAOSwfqRncFC~/s-l140.jpg,"Sold  Jan 12, 2025"
