Title,Price,Link,Image Link,Sold Date
Jayden Bogle Sheffield United 2023-24 Panini Immaculate 1X Case 6X Box Break #3,"64,789.80 VND",https://www.ebay.com/itm/235967831533,https://i.ebayimg.com/images/g/7xUAAOSw3jlnt98-/s-l140.jpg,"Sold  Feb 25, 2025"
Jayden Bogle Sheffield United 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"64,789.80 VND",https://www.ebay.com/itm/235961809054,https://i.ebayimg.com/images/g/MOMAAOSwhsVnspjk/s-l140.jpg,"Sold  Feb 23, 2025"
Jayden Bogle Sheffield United 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"64,789.80 VND",https://www.ebay.com/itm/235957562224,https://i.ebayimg.com/images/g/TkoAAOSwI4dnrqN1/s-l140.jpg,"Sold  Feb 20, 2025"
JAYDEN BOGLE Sheffield United Terrace 2023-24 Panini Select EPL,"33,357.64 VND",https://www.ebay.com/itm/315575798471,https://i.ebayimg.com/images/g/ebcAAOSwoFFmnOmi/s-l140.jpg,"Sold  Sep 14, 2024"
JAYDEN BOGLE Sheffield United /175 Camo Prizm 2023-24 Panini Select EPL,"100,072.92 VND",https://www.ebay.com/itm/315623262266,https://i.ebayimg.com/images/g/7KMAAOSw15ZmrMAw/s-l140.jpg,"Sold  Jan 28, 2025"
JAYDEN BOGLE 2023 IMMACULATE ROOKIE SOCCER SHEFFIELD UNITED RC /60 Q3562,"32,231.25 VND",https://www.ebay.com/itm/276948147836,https://i.ebayimg.com/images/g/x60AAeSwGpZn1Jze/s-l140.jpg,"Sold  Mar 24, 2025"
Jayden Bogle #83 2023-24 Panini Select Premier League Camo Prizm /175,"25,527.15 VND",https://www.ebay.com/itm/356630573962,https://i.ebayimg.com/images/g/ldQAAOSwp0Nnqh~s/s-l140.jpg,"Sold  Mar 7, 2025"
Jayden Bogle 2023 Select Premier League Blue Prizm #83 RC Sheffield United,"20,370.15 VND",https://www.ebay.com/itm/296966552201,https://i.ebayimg.com/images/g/JxYAAOSwne1nllKF/s-l140.jpg,"Sold  Feb 5, 2025"
2023-24 Panini Select Premier League - Terrace Gold Prizm Jayden Bogle /10 (RC),"644,367.15 VND",https://www.ebay.com/itm/196899573817,https://i.ebayimg.com/images/g/iEIAAOSwf8RnYiLK/s-l140.jpg,"Sold  Jan 17, 2025"
2023-24 Select EPL #83 Jayden Bogle RC *GREEN ICE*- Sheffield United Rookie,"102,779.00 VND",https://www.ebay.com/itm/388211553795,https://i.ebayimg.com/images/g/6hcAAeSwM61n8uAl/s-l500.jpg,"Sold  Apr 6, 2025"
Jayden Bogle 2023-24 Immaculate Soccer Player Box Break #10,"25,759.80 VND",https://www.ebay.com/itm/376081263457,https://i.ebayimg.com/images/g/2HMAAOSwdWtn2lVS/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Select EPL - JAYDEN BOGLE - Orange Ice /145 - RC - Sheffield,"51,779.80 VND",https://www.ebay.com/itm/186946222515,https://i.ebayimg.com/images/g/yQkAAOSwCX1nq4DS/s-l140.jpg,"Sold  Feb 20, 2025"
2023 Panini Select EPL Jayden Bogle Gold RC /10 Sheffield United,"533,410.00 VND",https://www.ebay.com/itm/196945542117,https://i.ebayimg.com/images/g/p5UAAOSw7OdnJR7v/s-l140.jpg,"Sold  Jan 19, 2025"
LEEDS UNITED: JAYDEN BOGLE SIGNED 6x4 ACTION PHOTO+COA,"166,454.62 VND",https://www.ebay.com/itm/297154707739,https://i.ebayimg.com/images/g/IK8AAOSw8Jhn5RaU/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Immaculate Jayden Bogle Rookie RC Silver 35/40 Leeds United,"84,565.00 VND",https://www.ebay.com/itm/365464665774,https://i.ebayimg.com/images/g/svMAAOSw0TFn13R7/s-l140.jpg,"Sold  Mar 21, 2025"
Jayden Bogle - PANINI ADRENALYN XL 2024 - BASE No.305 Sheffield United,"33,024.06 VND",https://www.ebay.com/itm/276269891090,https://i.ebayimg.com/images/g/7-QAAOSwFa9lmiMh/s-l140.jpg,"Sold  Jan 26, 2025"
2023-24 PANINI IMMACULATE COLLECTION RC #228 JAYDEN BOGLE 48/60,"25,759.80 VND",https://www.ebay.com/itm/388029369193,https://i.ebayimg.com/images/g/UCYAAOSwfcNnxk-G/s-l140.jpg,"Sold  Mar 8, 2025"
Signed Jayden Bogle Leeds United 2024/25 Shirt COA,"3,335,430.42 VND",https://www.ebay.com/itm/316254535524,https://i.ebayimg.com/images/g/Sv0AAOSwRklnFOKt/s-l140.jpg,"Sold  Mar 2, 2025"
PANINI SELECT 2023-2024 JAYDEN BOGLE SHEFIELD UNITED PARALLEL 08/25.,"156,780.91 VND",https://www.ebay.com/itm/156698458986,https://i.ebayimg.com/images/g/mhYAAOSwARtnrkH9/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 Panini Select PL Jayden Bogle Red Wave Prizm /149 Rookie Terrace #83,"25,759.80 VND",https://www.ebay.com/itm/365374864412,https://i.ebayimg.com/images/g/X-kAAOSwuwxnns3G/s-l140.jpg,"Sold  Feb 6, 2025"
