Title,Price,Link,Image Link,Sold Date
/99 Jermain Defoe 2022-23 Topps Finest UEFA Champions League Auto Autograph ,"525,168.36 VND",https://www.ebay.com/itm/267191882537,https://i.ebayimg.com/images/g/iPEAAeSwSPBn2AAk/s-l140.jpg,"Sold  Apr 6, 2025"
Topps Match Attax 2010 World Cup- Limited Edition Jermain Defoe England,"33,229.13 VND",https://www.ebay.com/itm/353627717645,https://i.ebayimg.com/images/g/h98AAOSw89thGth0/s-l140.jpg,"Sold  Jan 2, 2025"
JERMAIN DEFOE 2022-23 Topps Finest UEFA Blue Refractor Auto #/150 ~Tottenham~,"644,367.15 VND",https://www.ebay.com/itm/315850265320,https://i.ebayimg.com/images/g/nU0AAOSwRShnDcMP/s-l140.jpg,"Sold  Mar 23, 2025"
2024 TOPPS CHROME MANIA MLS SOCCER GOLD TRAILBLAZERS AUTO JERMAIN DEFOE /99,"257,850.00 VND",https://www.ebay.com/itm/236012668135,https://i.ebayimg.com/images/g/8b0AAOSweLZn23gz/s-l140.jpg,"Sold  Mar 22, 2025"
2023 JERMAIN DEFOE 18/99 AUTO TOPPS FINEST UEFA CHAMPIONS LEAGUE NEON GREEN,"515,442.15 VND",https://www.ebay.com/itm/156777196586,https://i.ebayimg.com/images/g/dYAAAOSwm8VnyAKc/s-l140.jpg,"Sold  Mar 9, 2025"
2024 Topps Chrome MLS Soccer Jermain Defoe Trailblazers Autographs 20/99,"296,527.50 VND",https://www.ebay.com/itm/376022812491,https://i.ebayimg.com/images/g/j5YAAOSwPmNnva38/s-l140.jpg,"Sold  Mar 6, 2025"
MATCH ATTAX WORLD CUP 2010 JERMAIN DEFOE LIMITED EDITION CARD ,"66,125.97 VND",https://www.ebay.com/itm/391739948812,https://i.ebayimg.com/images/g/EDkAAOSwB-1Y2rll/s-l140.jpg,"Sold  Mar 2, 2025"
TOPPS THE LOST ROOKIE 2024 CHAMPIONS LEAGUE JERMAIN DEFOE TOTTENHAM PREORDER,"151,137.75 VND",https://www.ebay.com/itm/116413000239,https://i.ebayimg.com/images/g/oXoAAOSwvjJnUyr2/s-l140.jpg,"Sold  Feb 21, 2025"
TOPPS LOST ROOKIE 2024 CHAMPIONS LEAGUE PARALLEL JERMAIN DEFOE TOTTENHAM /5,"1,694,720.26 VND",https://www.ebay.com/itm/116481245840,https://i.ebayimg.com/images/g/rNkAAeSwCdtnsQKa/s-l140.jpg,"Sold  Feb 16, 2025"
2022-23 Topps Finest UEFA Auto Jermain Defoe Tottenham Hotspur,"453,354.67 VND",https://www.ebay.com/itm/405464195520,https://i.ebayimg.com/images/g/828AAOSw8JlnfgDh/s-l140.jpg,"Sold  Feb 8, 2025"
2023 JERMAIN DEFOE TOPPS FINEST UEFA CHAMPIONS LEAGUE REFRACTOR AUTO AUTOGRAPH,"206,022.15 VND",https://www.ebay.com/itm/335787490111,https://i.ebayimg.com/images/g/aPMAAOSwvARnmE5Z/s-l140.jpg,"Sold  Jan 31, 2025"
2024 Topps The Lost Rookie Jermain Defoe Base Tottenham Hotspurs UEFA CL,"126,842.71 VND",https://www.ebay.com/itm/396089764184,https://i.ebayimg.com/images/g/Q9YAAOSwrKBneUhc/s-l140.jpg,"Sold  Jan 30, 2025"
2022-23 Topps Finest UEFA Autograph Neon Green Wave Jermain Defoe #A-JD 89/99,"99,272.25 VND",https://www.ebay.com/itm/296938758202,https://i.ebayimg.com/images/g/fwIAAOSwWXdnX3eg/s-l140.jpg,"Sold  Jan 18, 2025"
