Title,Price,Link,Image Link,Sold Date
2022 Panini Prizm World Cup Jesus Manuel Corona Blue Pulsar 4/49 Mexico,"25,785.00 VND",https://www.ebay.com/itm/365417068237,https://i.ebayimg.com/images/g/mtEAAOSwNaBnunqT/s-l140.jpg,"Sold  Mar 1, 2025"
2022 Panini Prizm World Cup Jesus Manuel Corona Purple Mojo 40/49 Porto Mexico,"154,710.00 VND",https://www.ebay.com/itm/365365632926,https://i.ebayimg.com/images/g/UhYAAOSwviFnluSY/s-l140.jpg,"Sold  Feb 2, 2025"
2022 Panini Prizm World Cup Jesus Manuel Corona Blue Mojo 25/75 Porto Mexico,"25,785.00 VND",https://www.ebay.com/itm/365365631124,https://i.ebayimg.com/images/g/Us8AAOSwaGJnluQh/s-l140.jpg,"Sold  Feb 2, 2025"
2022 Panini Prizm World Cup Jesus Manuel Corona White Sparkle Rewards SSP Mexico,"257,850.00 VND",https://www.ebay.com/itm/365459289326,https://i.ebayimg.com/images/g/qbgAAOSwwY1n03li/s-l140.jpg,"Sold  Mar 18, 2025"
2022 Panini Prizm World Cup Qatar Green Wave Prizm Jesus Manuel Corona #148,"110,359.80 VND to 151,615.80 VND",https://www.ebay.com/itm/256769893199,https://i.ebayimg.com/images/g/yN4AAOSwCUpnh9Cs/s-l140.jpg,"Sold  Feb 16, 2025"
2022 Panini FIFA World Cup Qatar Stickers Mexico Jesus Manuel Corona #MEX12,"71,424.45 VND",https://www.ebay.com/itm/335751213339,https://i.ebayimg.com/images/g/4-wAAeSwKN9nw3rT/s-l140.jpg,"Sold  Feb 20, 2025"
JESUS MANUEL CORONA ~ 2022 Prizm FIFA World Cup #148 Green Wave Prizm PWE,"48,733.65 VND",https://www.ebay.com/itm/176809207893,https://i.ebayimg.com/images/g/4gEAAOSw-zRjkULi/s-l140.jpg,"Sold  Feb 2, 2025"
2022 Panini Prizm FIFA World Cup Qatar Jesus Manuel Corona Red Mojo 17 /99 #148,"773,292.15 VND",https://www.ebay.com/itm/125731156172,https://i.ebayimg.com/images/g/SEsAAOSw7e5jzJ7o/s-l140.jpg,"Sold  Jan 19, 2025"
2022 Panini Prizm World Cup Jesus Manuel Corona Pink #148,"25,527.15 VND",https://www.ebay.com/itm/375910913295,https://i.ebayimg.com/images/g/KWEAAOSwarpnfZ~C/s-l140.jpg,"Sold  Jan 12, 2025"
JESUS MANUEL CORONA 2022 PRIZM FIFA WORLD CUP GOLD BREAKAWAY /10 Q1856,"1,173,475.35 VND",https://www.ebay.com/itm/276802028397,https://i.ebayimg.com/images/g/mRsAAOSwnbRndy1M/s-l140.jpg,"Sold  Jan 9, 2025"
