Title,Price,Link,Image Link,Sold Date
Joao Cancelo 2024-25 Donruss FIFA Signature Series Auto Dragon Scale 11/99[kzg22,"322,312.50 VND",https://www.ebay.com/itm/376116630278,https://i.ebayimg.com/images/g/LtsAAOSw1hdn60nV/s-l140.jpg,"Sold  Apr 5, 2025"
Joao Cancelo 2024-25 Donruss FIFA Signature Series Dragon Scale Auto 39/99,"322,312.50 VND",https://www.ebay.com/itm/356718509129,https://i.ebayimg.com/images/g/GBIAAOSwAfln5RfS/s-l140.jpg,"Sold  Apr 3, 2025"
Joao Cancelo 2024-25 Donruss FIFA Signature Series Dragon Scale Auto 18/99[fen33,"244,957.50 VND",https://www.ebay.com/itm/376053925272,https://i.ebayimg.com/images/g/L3kAAOSwQkBnzQK9/s-l140.jpg,"Sold  Mar 13, 2025"
Joao Cancelo 2024-25 Panini Donruss FIFA Signature Series Auto Dragon Scale /99,"296,527.50 VND",https://www.ebay.com/itm/256839764888,https://i.ebayimg.com/images/g/cocAAOSwpCZnw0ec/s-l140.jpg,"Sold  Mar 9, 2025"
2025 Panini Donruss FIFA Soccer Joao Cancelo #SS-JC Singature Series Auto,"126,346.50 VND",https://www.ebay.com/itm/365485923585,https://i.ebayimg.com/images/g/VdQAAOSw~CNn5L3X/s-l140.jpg,"Sold  Mar 29, 2025"
2024-25 Panini Donruss Soccer Joao Cancelo Signature Series Blue Auto /99,"130,214.25 VND",https://www.ebay.com/itm/256821779975,https://i.ebayimg.com/images/g/3XYAAOSwe65ns-HE/s-l140.jpg,"Sold  Feb 24, 2025"
2024-25 Panini Donruss FIFA Soccer Joao Cancelo #SS-JC Singature Series Auto,"77,355.00 VND",https://www.ebay.com/itm/326446140897,https://i.ebayimg.com/images/g/5kEAAeSwJsJnsVKh/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Immaculate Soccer Joao Cancelo Dual Patch Autograph /25,"344,918.36 VND",https://www.ebay.com/itm/205358954037,https://i.ebayimg.com/images/g/8N0AAeSwWTFn1-td/s-l140.jpg,"Sold  Mar 27, 2025"
2023-24 Panini Immaculate Soccer Joao Cancelo Dual patch auto Portugal Barca /25,"528,592.50 VND",https://www.ebay.com/itm/297063023004,https://i.ebayimg.com/images/g/8lEAAeSwuxdnv8vU/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Panini Immaculate Soccer Joao Cancelo 1/1 dual patch nike logo rare,"12,476,320.42 VND",https://www.ebay.com/itm/226628140940,https://i.ebayimg.com/images/g/GM8AAeSwZgVnxe5x/s-l140.jpg,"Sold  Mar 8, 2025"
