Title,Price,Link,Image Link,Sold Date
2023-24 Impeccable Premier League Joao Gomes Ruby Rookie Metal RC #3/22,"180,495.00 VND",https://www.ebay.com/itm/126955093100,https://i.ebayimg.com/images/g/yosAAeSw2whnuP4q/s-l140.jpg,"Sold  Feb 26, 2025"
2023-24 Impeccable Premier League Joao Gomes Ruby Rookie Metal RC #19/22,"180,495.00 VND",https://www.ebay.com/itm/376013954903,https://i.ebayimg.com/images/g/o4oAAeSws-pnuP2U/s-l140.jpg,"Sold  Feb 26, 2025"
2023-24 Panini Impeccable Premier League Joao Gomes Rookie Metal 68/74,"51,312.15 VND",https://www.ebay.com/itm/196961170020,https://i.ebayimg.com/images/g/670AAOSwfb9ng-5a/s-l140.jpg,"Sold  Jan 26, 2025"
Joao Gomes RC 2023-24 Panini Select Premier League Soccer Mezzanine Zebra 15/25,"155,999.25 VND",https://www.ebay.com/itm/376056689227,https://i.ebayimg.com/images/g/JY0AAOSwZGNnznCN/s-l140.jpg,"Sold  Mar 14, 2025"
Joao Gomes RC 2023-24 Panini Select Premier League Soccer Mezzanine Zebra 18/25,"141,817.50 VND",https://www.ebay.com/itm/376056665549,https://i.ebayimg.com/images/g/AoYAAOSwXOBnzm7o/s-l140.jpg,"Sold  Mar 14, 2025"
2023-24 Panini Impeccable Joao Gomes Rookie RC Metal 7/74 Wolverhampton Portugal,"192,027.60 VND",https://www.ebay.com/itm/365490427115,https://i.ebayimg.com/images/g/jDQAAOSwcCFn507m/s-l140.jpg,"Sold  Apr 2, 2025"
2023-24 Panini Impeccable Joao Gomes Rookie RC Gold 7/10 Brazil Wolverhampton,"696,555.40 VND",https://www.ebay.com/itm/365442242694,https://i.ebayimg.com/images/g/CqQAAOSwHehnyQN5/s-l140.jpg,"Sold  Mar 10, 2025"
2023-24 Panini Impeccable Joao Gomes Rookie RC Gold 7/10 Brazil Wolverhampton,"533,410.00 VND",https://www.ebay.com/itm/365417140657,https://i.ebayimg.com/images/g/0voAAOSwugtnuoPZ/s-l140.jpg,"Sold  Feb 27, 2025"
2023-24 Panini Impeccable Joao Gomes Rookie RC Gold 7/10 Brazil Wolverhampton,"429,330.00 VND",https://www.ebay.com/itm/365395468570,https://i.ebayimg.com/images/g/YhwAAOSwjThnrVqJ/s-l140.jpg,"Sold  Feb 17, 2025"
2023-24 Panini Impeccable Joao Gomes Rookie RC Gold 7/10 Brazil Wolverhampton,"520,400.00 VND",https://www.ebay.com/itm/365373247238,https://i.ebayimg.com/images/g/eEcAAOSwjKtnnXrV/s-l140.jpg,"Sold  Feb 7, 2025"
