Title,Price,Link,Image Link,Sold Date
JOE ARIBO 2022-23 Topps Match Attax UEFA CHROME #CR20 Rangers FC,"38,677.50 VND",https://www.ebay.com/itm/375760279317,https://i.ebayimg.com/images/g/25YAAOSwdQ1nJnYw/s-l500.jpg,"Sold  Mar 28, 2025"
2022-23 Topps Match Attax UEFA Joe Aribo Diamond #384 Glasgow Rangers,"25,785.00 VND",https://www.ebay.com/itm/126826584003,https://i.ebayimg.com/images/g/9LIAAOSwYaVnWlbo/s-l140.jpg,"Sold  Mar 15, 2025"
2022-23 Panini Impeccable Premier League Joe Aribo #129 RC Rookie Gold 2/2,"515,442.15 VND",https://www.ebay.com/itm/306135932782,https://i.ebayimg.com/images/g/NCAAAeSwtU1nu~MF/s-l140.jpg,"Sold  Feb 28, 2025"
2022-23 Panini Prizm Premier League White Sparkle Prizm Joe Aribo #212,"83,801.25 VND",https://www.ebay.com/itm/235924543093,https://i.ebayimg.com/images/g/wmwAAOSwyHNnkENz/s-l140.jpg,"Sold  Jan 31, 2025"
Topps Match Attax Champions League 22/23 No. 384 Joe Aribo First Edition,"56,217.59 VND",https://www.ebay.com/itm/234669131696,https://i.ebayimg.com/images/g/lKQAAOSwrMFjA8O9/s-l140.jpg,"Sold  Mar 2, 2025"
Joe Aribo SSP RC White Sparkle Prizm - 22/23 Panini Premier League Prizm Rookie,"498,104.65 VND",https://www.ebay.com/itm/356368060779,https://i.ebayimg.com/images/g/uyoAAOSwKAFnWtIX/s-l140.jpg,"Sold  Jan 25, 2025"
2022-23 Panini Select JOE ARIBO 8/25 Rookie RC White Cracked Ice Terrace #85,"32,525.00 VND",https://www.ebay.com/itm/387818006094,https://i.ebayimg.com/images/g/zzMAAOSw-MdnhEA~/s-l140.jpg,"Sold  Jan 17, 2025"
Topps Match Attax 2022-2023 - Joe Aribo Rangers FC No. 384,"33,357.64 VND",https://www.ebay.com/itm/205202841170,https://i.ebayimg.com/images/g/ceQAAOSwDGhnd7sp/s-l140.jpg,"Sold  Feb 27, 2025"
2022-23 Immaculate Collection Joe Aribo RC Rookie Red /8 Southampton LK184,"39,030.00 VND",https://www.ebay.com/itm/316250540602,https://i.ebayimg.com/images/g/RpwAAOSwas9nrBvC/s-l140.jpg,"Sold  Feb 16, 2025"
Joe Aribo (Southampton) hand signed 2025 Panini XL Adrenalyn Card Rare !,"33,024.06 VND",https://www.ebay.com/itm/256786466832,https://i.ebayimg.com/images/g/-BUAAOSw6txnirkh/s-l140.jpg,"Sold  Jan 27, 2025"
Joe Aribo Signed A4 Rangers Photo Autograph Southampton ,"333,242.82 VND",https://www.ebay.com/itm/326399568474,https://i.ebayimg.com/images/g/K-MAAOSw8Ztnf8Po/s-l140.jpg,"Sold  Jan 19, 2025"
Joe Aribo 2022-23 Panini Obsidian Southampton #92 RC Pulsar /25,"32,525.00 VND",https://www.ebay.com/itm/387811137799,https://i.ebayimg.com/images/g/0mwAAOSwx8pngT67/s-l140.jpg,"Sold  Jan 15, 2025"
2022-23 Panini Obsidian Joe Aribo RC Electric Etch Refractor 068/115 #92 KT01,"3,903.00 VND",https://www.ebay.com/itm/396087844030,https://i.ebayimg.com/images/g/db0AAOSwWddneI5Y/s-l140.jpg,"Sold  Jan 10, 2025"
2022-23 Panini Prizm Premier Choice #212 Joe Aribo Red Blue Purple /15,"58,545.00 VND",https://www.ebay.com/itm/276822965348,https://i.ebayimg.com/images/g/GDcAAOSwQwpnd24Y/s-l140.jpg,"Sold  Jan 25, 2025"
