Title,Price,Link,Image Link,Sold Date
Joel Matip++++Schalke 04++++World Cup++++rare card+++autographed,"28,250.05 VND",https://www.ebay.com/itm/356714605418,https://i.ebayimg.com/images/g/LIgAAOSwgPVn5aE4/s-l140.jpg,"Sold  Apr 6, 2025"
Topps Now Champions League 2018-19 Liverpool Starting XI Joel Matip PR 73,"1,289,250.00 VND",https://www.ebay.com/itm/326430915358,https://i.ebayimg.com/images/g/Z5EAAOSw5ZJno-aB/s-l140.jpg,"Sold  Mar 15, 2025"
2014 Panini Adrenalyn XL World Cup - 63 - Joel Matip - One to Watch,"61,867.60 VND",https://www.ebay.com/itm/292182888295,https://i.ebayimg.com/images/g/vVgAAOSwRetfq1K0/s-l140.jpg,"Sold  Jan 12, 2025"
Joel Matip+++FC Liverpool+++FC Schalke 04++++World Cup+++autographed++++rare card,"28,250.05 VND",https://www.ebay.com/itm/356435865868,https://i.ebayimg.com/images/g/6-wAAOSwX9hneZTz/s-l140.jpg,"Sold  Jan 11, 2025"
Merlin Premier League 2017 - # 138 - JOEL MATIP - Liverpool ,"49,702.88 VND",https://www.ebay.com/itm/134749963777,https://i.ebayimg.com/images/g/HNkAAOSw~QRlEsda/s-l140.jpg,"Sold  Apr 7, 2025"
Autograph - Joel Matip (FC Schalke 04) - 2014/2015 - new in winter break,"78,345.57 VND",https://www.ebay.com/itm/144043440655,https://i.ebayimg.com/images/g/KCMAAOSwe0tcjiav/s-l140.jpg,"Sold  Apr 2, 2025"
2021-22 Topps Liverpool Team Set Title Winners Joel Matip Joël Matip #43 /750,"370,524.80 VND",https://www.ebay.com/itm/116344989940,https://i.ebayimg.com/images/g/Nn0AAOSwWPJm~XOS/s-l140.jpg,"Sold  Mar 28, 2025"
Hand Signed AK Autograph Card *JOEL MATIP* Schalke 04 14/15 2014/2015 Cameroon,"142,161.60 VND",https://www.ebay.com/itm/285633720946,https://i.ebayimg.com/images/g/TB0AAOSwxYxUunXV/s-l140.jpg,"Sold  Mar 19, 2025"
2023-24 Futera Unique NOSTALGIA Joel Matip 05/15 Green VICTORY VC29 DW7,"87,167.00 VND",https://www.ebay.com/itm/388063194924,https://i.ebayimg.com/images/g/vlMAAOSw9YVnz5Jz/s-l140.jpg,"Sold  Mar 15, 2025"
TOPPS LIVERPOOL CHROME 2024 JOEL MATIP LIVERPOOL PARALLEL 14/50.,"56,707.99 VND",https://www.ebay.com/itm/156732592020,https://i.ebayimg.com/images/g/YUMAAOSwmEVnvJzz/s-l140.jpg,"Sold  Mar 8, 2025"
JOEL MATIP LIVERPOOL SOCCERSTARZ 23/24 RED BASE #SOC1412,"65,047.40 VND",https://www.ebay.com/itm/286186941001,https://i.ebayimg.com/images/g/-XsAAOSwFdpnSF1B/s-l140.jpg,"Sold  Mar 5, 2025"
Joel Matip Player Worn Patch 2015/16 Schalke Liverpool /310,"1,134,159.76 VND",https://www.ebay.com/itm/146408333129,https://i.ebayimg.com/images/g/I8AAAOSwVJFnujH-/s-l140.jpg,"Sold  Mar 1, 2025"
2024 Futera Unique Nostalgia Joel Matip Sapphire Victory Quad Jersey #5/9,"351,270.00 VND",https://www.ebay.com/itm/126924965189,https://i.ebayimg.com/images/g/j4sAAeSwNGNnpR5A/s-l140.jpg,"Sold  Feb 11, 2025"
Topps Match Attax CL Road to Madrid 18/19 Liverpool FC 12 Joel Matip,"28,489.30 VND",https://www.ebay.com/itm/175116222433,https://i.ebayimg.com/images/g/qQ8AAOSwqcFh5qoq/s-l140.jpg,"Sold  Jan 23, 2025"
2024 Topps Chrome Liverpool /99 Heroes Of Madrid Joel Matip #78,"207,899.80 VND",https://www.ebay.com/itm/335448416724,https://i.ebayimg.com/images/g/ngAAAOSwEyFmcpyn/s-l140.jpg,"Sold  Jan 10, 2025"
