Title,Price,Link,Image Link,Sold Date
1982 Johan Cruyff Card 82' World Cup Catalunya Barcelona Netherlands Ajax,"618,840.00 VND",https://www.ebay.com/itm/395553658689,https://i.ebayimg.com/images/g/74IAAOSwaPNmojvs/s-l140.jpg,"Sold  Jan 15, 2025"
1982 Johan Cruyff Card 82' World Cup Catalunya Barcelona Netherlands Ajax,"618,840.00 VND",https://www.ebay.com/itm/395553658689,https://i.ebayimg.com/images/g/74IAAOSwaPNmojvs/s-l500.jpg,"Sold  Jan 15, 2025"
MINT RARE! Johan CRUYFF #89 - World Cup Story Sticker PANINI 1990 - Munich 74 x,"183,625.30 VND",https://www.ebay.com/itm/335887903672,https://i.ebayimg.com/images/g/iaAAAOSwEsBncnMW/s-l140.jpg,"Sold  Apr 4, 2025"
1974 Panini World Cup Story - Johan Cruyff - Sticker - READ,"515,442.15 VND",https://www.ebay.com/itm/127020062852,https://i.ebayimg.com/images/g/l2kAAOSwm8Zn50xP/s-l140.jpg,"Sold  Mar 31, 2025"
1974 Bassett World Cup Stars Johan Cruyff (Name Misspelled as Johann) Rookie RC,"144,138.15 VND",https://www.ebay.com/itm/256866036682,https://i.ebayimg.com/images/g/TH0AAeSwSPBn3dAB/s-l140.jpg,"Sold  Mar 29, 2025"
Johan Cruyff - 1978 German Penny-Bild card - rare item - scene from World Cup 74,"1,031,142.15 VND",https://www.ebay.com/itm/224630046055,https://i.ebayimg.com/images/g/YjYAAOSwzk5hVlHH/s-l140.jpg,"Sold  Mar 25, 2025"
1974 75 Ediciones Sanber La Liga Johan Cruyff Pack/Wrapper w Card Set Barcelona,"593,055.00 VND",https://www.ebay.com/itm/394093634237,https://i.ebayimg.com/images/g/KAkAAOSwrblikala/s-l140.jpg,"Sold  Mar 14, 2025"
1968-69 Vanderhout Soccer #17 Johan Cruyff SGC 1 Rookie RC,"2,682,341.87 VND",https://www.ebay.com/itm/146169455833,https://i.ebayimg.com/images/g/8owAAOSwFTBnIPIC/s-l140.jpg,"Sold  Mar 5, 2025"
1968 Vanderhout Soccer Johan Cruyff Ajax ROOKIE #17 PSA 4 VGEX,"7,090,617.15 VND",https://www.ebay.com/itm/267171564882,https://i.ebayimg.com/images/g/iP0AAOSwmZ5nd~N~/s-l140.jpg,"Sold  Mar 4, 2025"
Match Attax Attack 2010 World Cup Johan Cruyff Holland International Legend Card,"66,125.97 VND",https://www.ebay.com/itm/266806222167,https://i.ebayimg.com/images/g/RXgAAOSwMddc-Doo/s-l140.jpg,"Sold  Mar 2, 2025"
1974 Bergmann World Cup Johan Cruyff Rookie RC,"480,890.25 VND",https://www.ebay.com/itm/235956665719,https://i.ebayimg.com/images/g/avoAAeSwIX1nrdS-/s-l140.jpg,"Sold  Feb 24, 2025"
Johan Cruyff Soccer Malawi 2011 K 120 RARE SCARCE Perforated Stamp,"102,882.15 VND",https://www.ebay.com/itm/335826328055,https://i.ebayimg.com/images/g/p9EAAOSwHhtnugZ1/s-l140.jpg,"Sold  Feb 22, 2025"
Sun Soccercards 1978-79 X 19 Cards All Different- Johan Cruyff - S. Matthews,"106,333.21 VND",https://www.ebay.com/itm/135551586287,https://i.ebayimg.com/images/g/YTgAAOSwk7tnpItH/s-l140.jpg,"Sold  Feb 20, 2025"
1995-96 Johan Cruyff PSA 6 Mundicromo Las Fichas De La Liga FC Barcelona #56,"1,418,175.00 VND",https://www.ebay.com/itm/365399688526,https://i.ebayimg.com/images/g/UaEAAOSwKmhnr7sF/s-l140.jpg,"Sold  Feb 15, 2025"
1974 Bassett World Cup Stars Johan Cruyff #46 PSA 8 Rookie RC,"1,201,581.00 VND",https://www.ebay.com/itm/235943740876,https://i.ebayimg.com/images/g/0zMAAeSwLgBnoqjB/s-l140.jpg,"Sold  Feb 12, 2025"
Topps MATCH ATTAX World Cup 2010 - JOHAN CRUYFF - International Legend Card.,"49,511.40 VND",https://www.ebay.com/itm/356153720447,https://i.ebayimg.com/images/g/A-8AAOSwxydnDrYU/s-l140.jpg,"Sold  Feb 3, 2025"
"JOHAN CRUYFF, NETHERLANDS. WORLD CUP 1972 COLLECTION CARD. NO PANINI/NO TOPPS","141,250.23 VND",https://www.ebay.com/itm/305794967600,https://i.ebayimg.com/images/g/kawAAOSw4B9m7dt8/s-l140.jpg,"Sold  Jan 26, 2025"
1979 Finnish Sportscaster soccer #1301 Johan Cruyff FC Barcelona,"141,817.50 VND",https://www.ebay.com/itm/256781186509,https://i.ebayimg.com/images/g/xKUAAOSwDEtndn-F/s-l140.jpg,"Sold  Jan 19, 2025"
2023 World Soccer Stars 3R Sticker #196 JOHAN CRUYFF FC Barcelona Netherlands,"256,560.75 VND",https://www.ebay.com/itm/364646744301,https://i.ebayimg.com/images/g/PzwAAOSwtfJli3pp/s-l140.jpg,"Sold  Jan 18, 2025"
Johan Cruyff 1979 Venorlandus World of Sport Flik-Cards Our Heroes #19 Soccer,"773,292.15 VND",https://www.ebay.com/itm/196764963172,https://i.ebayimg.com/images/g/lb4AAOSwzFJnIpOl/s-l140.jpg,"Sold  Jan 15, 2025"
Panini FIFA 1974 GERMANY World Cup Story Sticker JOHAN CRUYFF 89 NEW NETHERLANDS,"824,862.15 VND",https://www.ebay.com/itm/134557313529,https://i.ebayimg.com/images/g/6oMAAOSweDtmOC8K/s-l140.jpg,"Sold  Jan 15, 2025"
1994 PANINI WORLD CUP STORY #89 JOHAN CRUYFF PSA 8 NM-MT NETHERLANDS LEGEND,"1,031,142.15 VND",https://www.ebay.com/itm/226471960744,https://i.ebayimg.com/images/g/r~8AAOSwJlFmyROl/s-l140.jpg,"Sold  Jan 11, 2025"
Match Magazine - 1986 World Cup Wonders Card - Johan CRUYFF - Holland - #21,"264,171.58 VND",https://www.ebay.com/itm/126047469552,https://i.ebayimg.com/images/g/fb4AAOSwSilk1RuL/s-l140.jpg,"Sold  Jan 9, 2025"
JOHAN CRUYFF Netherlands 1979 World Of Sport Soccer Card PSA 9,"1,804,950.00 VND",https://www.ebay.com/itm/387648943768,https://i.ebayimg.com/images/g/VoAAAOSwojpnRL1S/s-l140.jpg,"Sold  Jan 6, 2025"
