Title,Price,Link,Image Link,Sold Date
2020-21 Panini Prizm John Egan Bronze Breakaway 22/25 Sheffield United,"47,876.80 VND",https://www.ebay.com/itm/365429630407,https://i.ebayimg.com/images/g/s5EAAOSw-rBnwRUe/s-l140.jpg,"Sold  Mar 4, 2025"
2020-21 Panini Prizm John Egan Bronze Breakaway 22/25 Sheffield United,"65,310.20 VND",https://www.ebay.com/itm/365395451298,https://i.ebayimg.com/images/g/dGQAAOSwY~9nrVcw/s-l140.jpg,"Sold  Feb 17, 2025"
2020-21 Panini Prizm John Egan Bronze Breakaway 22/25 Sheffield United,"45,535.00 VND",https://www.ebay.com/itm/365362489256,https://i.ebayimg.com/images/g/EzYAAOSwUW1nlEkM/s-l140.jpg,"Sold  Jan 31, 2025"
John Egan #258 Adrenalyn XL 2019-20 Premier League Panini RC Trading Card,"49,511.40 VND",https://www.ebay.com/itm/295243495291,https://i.ebayimg.com/images/g/6-UAAOSwTldjNFCm/s-l140.jpg,"Sold  Mar 22, 2025"
Panini Premier League Adrenalyn XL 2019/20 - John Egan Sheffield Utd No. 258,"33,229.13 VND",https://www.ebay.com/itm/196886175792,https://i.ebayimg.com/images/g/BMAAAOSw9VNnWBVM/s-l140.jpg,"Sold  Feb 3, 2025"
Panini 2024 John Egan Orange Parallel Premier League Sticker 528 Sheffield Utd,"166,145.65 VND",https://www.ebay.com/itm/226009214194,https://i.ebayimg.com/images/g/cO4AAOSwP0xl0kzh/s-l140.jpg,"Sold  Feb 1, 2025"
Panini Adrenalyn XL PLUS Premier League 2024 John Egan Captain No. 298,"33,229.13 VND",https://www.ebay.com/itm/305792362619,https://i.ebayimg.com/images/g/~wwAAOSwwwhm7Bis/s-l140.jpg,"Sold  Jan 8, 2025"
John Egan Signed Index Card Auto - Basketball,"130,100.00 VND",https://www.ebay.com/itm/146342458587,https://i.ebayimg.com/images/g/QKwAAOSwiHNm8I9X/s-l500.jpg,"Sold  Mar 18, 2025"
John Egan Signed 12x8 Photo Display Sheffield United Autograph Memorabilia,"1,000,395.62 VND",https://www.ebay.com/itm/296577494782,https://i.ebayimg.com/images/g/ND0AAOSwsQliNQlc/s-l140.jpg,"Sold  Mar 29, 2025"
PANINI ADRENALYN XL 2019-20- #258-SHEFFIELD UNITED-JOHN EGAN,"33,024.06 VND",https://www.ebay.com/itm/186726058137,https://i.ebayimg.com/images/g/FGAAAOSwPG9f3kbY/s-l140.jpg,"Sold  Mar 15, 2025"
"(Jg9691) Panini Adrenalyn XL,SHEFFIELD UNITED,JOHN EGAN,2020/21 #194","66,715.28 VND",https://www.ebay.com/itm/373393799960,https://i.ebayimg.com/images/g/~yoAAOSwTzpf2g7p/s-l140.jpg,"Sold  Mar 4, 2025"
GB STAMPS FIRST DAY COVER SIGNED JAG DIRECTOR JOHN EGAN,"143,437.85 VND",https://www.ebay.com/itm/335806815227,https://i.ebayimg.com/images/g/8lMAAOSwrG5nqjI6/s-l140.jpg,"Sold  Feb 20, 2025"
