Title,Price,Link,Image Link,Sold Date
2021-22 Panini Prizm Premier League Choice Tiger Stripes Prizm John McGinn #129,"147,232.35 VND",https://www.ebay.com/itm/335827814735,https://i.ebayimg.com/images/g/uMoAAeSwO8Bnuyu4/s-l500.jpg,"Sold  Apr 6, 2025"
2021-22 Panini Prizm Premier League Choice Tiger Stripes Prizm John McGinn #129,"147,232.35 VND",https://www.ebay.com/itm/335827814735,https://i.ebayimg.com/images/g/uMoAAeSwO8Bnuyu4/s-l140.jpg,"Sold  Apr 6, 2025"
2021-22 Panini Prizm Premier League Signatures John McGinn #S-JMG Auto,"256,560.75 VND",https://www.ebay.com/itm/256783959719,https://i.ebayimg.com/images/g/XqoAAOSwzGJlzhsw/s-l140.jpg,"Sold  Jan 30, 2025"
2021-22 Panini Prizm Premier League - Signatures #S-JMG John McGinn,"48,991.50 VND",https://www.ebay.com/itm/296925344872,https://i.ebayimg.com/images/g/K2YAAOSwWodneuNL/s-l140.jpg,"Sold  Jan 10, 2025"
Panini Mosaic 2021 UEFA Euro Em No. 17 John Mcginn Men Of Mastery Mosaic,"41,868.70 VND",https://www.ebay.com/itm/235960302240,https://i.ebayimg.com/images/g/-scAAOSwebtnWW57/s-l140.jpg,"Sold  Feb 20, 2025"
Panini Mosaic 2021 UEFA Euro Em No. 17 John Mcginn Men Of Mastery Mosaic,"41,868.70 VND",https://www.ebay.com/itm/235960302240,https://i.ebayimg.com/images/g/-scAAOSwebtnWW57/s-l500.jpg,"Sold  Feb 20, 2025"
John McGinn 2023-24 Panini Prizm Premier League Soccer Tiger Stripe Choice SSP,"109,586.25 VND",https://www.ebay.com/itm/376064699726,https://i.ebayimg.com/images/g/ZlAAAOSwbglnwpM-/s-l140.jpg,"Sold  Mar 17, 2025"
John McGinn 2023-24 Panini Prizm Premier League Soccer Tiger Stripe Choice SSP,"65,751.75 VND",https://www.ebay.com/itm/376032673260,https://i.ebayimg.com/images/g/ZlAAAOSwbglnwpM-/s-l140.jpg,"Sold  Mar 5, 2025"
2021 Mosaic Premier League John McGinn #127 Nebula Choice 1/1 PSA 9,"6,446,250.00 VND",https://www.ebay.com/itm/356612999106,https://i.ebayimg.com/images/g/6KsAAOSwkLlnv4f6/s-l140.jpg,"Sold  Apr 5, 2025"
2023 Panini Select Premier League Mezzanine Winter Camo Prizm 56/110 John McGinn,"38,677.50 VND",https://www.ebay.com/itm/335871934374,https://i.ebayimg.com/images/g/arcAAeSw2Rln3KBQ/s-l140.jpg,"Sold  Mar 29, 2025"
