Title,Price,Link,Image Link,Sold Date
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l500.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l500.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
23/24 Panini ADRENALYN XL Premier League 2024 CARDS #244 - #468+ Limited Edition,"41,536.41 VND to 197,713.32 VND",https://www.ebay.com/itm/175874837600,https://i.ebayimg.com/images/g/GZgAAOSwrcxlEWcX/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Adrenalyn XL Premier League 2024 Base Cards #190 - #369 Buy 4 get 10 Free,"32,896.84 VND to 98,025.93 VND",https://www.ebay.com/itm/314828251698,https://i.ebayimg.com/images/g/6v8AAOSwilpkzjM9/s-l140.jpg,"Sold  Feb 28, 2025"
Panini Premier League Adrenalyn XL 2024 23/24 (251-468) **Please Select Cards**,"33,229.13 VND",https://www.ebay.com/itm/195921185580,https://i.ebayimg.com/images/g/XIcAAOSwlUZkznwH/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Premier League Adrenalyn XL 2024 2023/24 Base Cards #190 - #369,"32,896.84 VND to 124,609.24 VND",https://www.ebay.com/itm/325741142234,https://i.ebayimg.com/images/g/vcAAAOSwrTtku9Zk/s-l140.jpg,"Sold  Apr 4, 2025"
