Title,Price,Link,Image Link,Sold Date
JORGE CARRASCAL 2024 DONRUSS FIFA KIT KINGS ROOKIE PATCH SOCCER RC Q3562,"70,908.75 VND",https://www.ebay.com/itm/116511661792,https://i.ebayimg.com/images/g/jrQAAeSwaAlnzHcy/s-l140.jpg,"Sold  Mar 8, 2025"
JORGE CARRASCAL 2024 DONRUSS FIFA KIT KINGS ROOKIE PATCH SOCCER RC Q3562,"70,908.75 VND",https://www.ebay.com/itm/276866205437,https://i.ebayimg.com/images/g/I2wAAeSwDkRnrjzF/s-l140.jpg,"Sold  Feb 20, 2025"
Jorge Carrascal 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"25,527.15 VND",https://www.ebay.com/itm/167287143955,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Jorge Carrascal 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"25,527.15 VND",https://www.ebay.com/itm/167284699492,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Panini Prizm CONMEBOL Copa America - Choice Tiger Print #59 Jorge Carrascal,"416,059.80 VND",https://www.ebay.com/itm/297014102363,https://i.ebayimg.com/images/g/R10AAOSwkt5ndJKv/s-l140.jpg,"Sold  Feb 20, 2025"
2024 Panini Prizm CONMEBOL Copa America - Pulsar Prizm #59 Jorge Carrascal,"77,799.80 VND",https://www.ebay.com/itm/167135295546,https://i.ebayimg.com/images/g/0DEAAOSwYARnSWzd/s-l140.jpg,"Sold  Jan 24, 2025"
2024 Panini Prizm Copa America Jorge Carrascal Blue Wave RC #174/199,"32,525.00 VND",https://www.ebay.com/itm/126911539508,https://i.ebayimg.com/images/g/aZUAAOSwnbtnm-O1/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Panini Prizm Copa America Jorge Carrascal Blue Wave RC #108/199,"32,525.00 VND",https://www.ebay.com/itm/126911539476,https://i.ebayimg.com/images/g/iKQAAOSwzwFnm-P-/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Panini Prizm JORGE CARRASCAL 031/199 Rookie RC Red SP Colombia #59,"25,759.80 VND",https://www.ebay.com/itm/306151875469,https://i.ebayimg.com/images/g/ZwwAAOSwLMZnovxs/s-l140.jpg,"Sold  Mar 10, 2025"
2024 Panini Prizm JORGE CARRASCAL Rookie RC Pink Parallel SP Colombia #59,"25,759.80 VND",https://www.ebay.com/itm/306118189602,https://i.ebayimg.com/images/g/OaUAAOSwu4Bnovy-/s-l140.jpg,"Sold  Feb 24, 2025"
2024 Panini Prizm JORGE CARRASCAL 031/199 Rookie RC Red SP Colombia #59,"25,759.80 VND",https://www.ebay.com/itm/306118189433,https://i.ebayimg.com/images/g/ZwwAAOSwLMZnovxs/s-l140.jpg,"Sold  Feb 24, 2025"
2024 Panini Prizm JORGE CARRASCAL Rookie RC Pink Parallel SP Colombia #59,"25,759.80 VND",https://www.ebay.com/itm/306090894193,https://i.ebayimg.com/images/g/OaUAAOSwu4Bnovy-/s-l140.jpg,"Sold  Feb 13, 2025"
2024 Panini Prizm JORGE CARRASCAL 031/199 Rookie RC Red SP Colombia #59,"25,759.80 VND",https://www.ebay.com/itm/306090891859,https://i.ebayimg.com/images/g/ZwwAAOSwLMZnovxs/s-l140.jpg,"Sold  Feb 13, 2025"
2024-25 Panini Donruss Soccer Kit Kings #Jorge Carrascal RC,"51,570.00 VND",https://www.ebay.com/itm/365424812182,https://i.ebayimg.com/images/g/aNQAAeSwq65nvr-4/s-l140.jpg,"Sold  Mar 3, 2025"
