Title,Price,Link,Image Link,Sold Date
2021-22 Panini Chronicles Premier League Origins AUTO #11 Jorginho 284/500,"356,090.85 VND",https://www.ebay.com/itm/356730920650,https://i.ebayimg.com/images/g/zZUAAOSwDY1n5-ks/s-l500.jpg,"Sold  Apr 7, 2025"
2021-22 Panini Chronicles Premier League Origins AUTO #11 Jorginho /500,"257,592.15 VND",https://www.ebay.com/itm/116345424227,https://i.ebayimg.com/images/g/euAAAOSwgSZm~iVa/s-l140.jpg,"Sold  Feb 14, 2025"
Jorginho 2023-24 Topps Merlin Heritage UEFA Club Collections Auto #030,"128,925.00 VND",https://www.ebay.com/itm/376117165888,https://i.ebayimg.com/images/g/OTIAAOSw9kJn63E1/s-l140.jpg,"Sold  Apr 5, 2025"
Jorginho 2023-24 Topps Merlin Heritage UEFA Club Collections Auto #030,"141,817.50 VND",https://www.ebay.com/itm/376117093433,https://i.ebayimg.com/images/g/E3oAAOSwt6dn62rg/s-l140.jpg,"Sold  Apr 5, 2025"
Jorginho 2023-24 Topps Merlin Heritage UEFA Club Collections Auto #030,"154,710.00 VND",https://www.ebay.com/itm/376117048836,https://i.ebayimg.com/images/g/aeUAAOSwbSZn62dY/s-l140.jpg,"Sold  Apr 5, 2025"
Jorginho 2023-24 Topps Merlin Heritage UEFA Club Collections Auto #030,"116,032.50 VND",https://www.ebay.com/itm/376117018807,https://i.ebayimg.com/images/g/20YAAOSwr3Rn62YC/s-l140.jpg,"Sold  Apr 5, 2025"
Jorginho 2022-23 Topps Museum Collection UEFA Meaningful Patch 126/250 [dbI93,"154,710.00 VND",https://www.ebay.com/itm/376102034441,https://i.ebayimg.com/images/g/TfoAAOSw6Rtn1N-p/s-l140.jpg,"Sold  Mar 31, 2025"
Jorginho 2022-23 Topps Museum Collection UEFA Meaningful Patch 126/250 [dbI93,"109,586.25 VND",https://www.ebay.com/itm/376070065793,https://i.ebayimg.com/images/g/TfoAAOSw6Rtn1N-p/s-l140.jpg,"Sold  Mar 19, 2025"
JORGINHO 2024 DONRUSS OPTIC FIFA SOCCER RED PRIZM ITALY #23 299/299 Q1969,"38,677.50 VND",https://www.ebay.com/itm/276906790846,https://i.ebayimg.com/images/g/yYwAAeSwSq1nwMO9/s-l140.jpg,"Sold  Mar 6, 2025"
JORGINHO 2024 DONRUSS OPTIC FIFA SOCCER RED PRIZM ITALY #23 /299 Q1969,"25,785.00 VND",https://www.ebay.com/itm/276906790872,https://i.ebayimg.com/images/g/Ti0AAeSwRQBnwMMQ/s-l140.jpg,"Sold  Mar 6, 2025"
Jorginho - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"128,925.00 VND",https://www.ebay.com/itm/297063121612,https://i.ebayimg.com/images/g/7lUAAeSwLhlnwWF5/s-l140.jpg,"Sold  Mar 1, 2025"
Jorginho - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"83,801.25 VND",https://www.ebay.com/itm/226615321588,https://i.ebayimg.com/images/g/YecAAeSwr7Bnu-ZT/s-l140.jpg,"Sold  Feb 26, 2025"
Jorginho - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/235966279095,https://i.ebayimg.com/images/g/wFUAAeSwZbtntp3S/s-l140.jpg,"Sold  Feb 22, 2025"
Jorginho - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/226601907348,https://i.ebayimg.com/images/g/P-QAAeSwtmNnsrLj/s-l140.jpg,"Sold  Feb 19, 2025"
Jorginho - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/235960539136,https://i.ebayimg.com/images/g/RWYAAeSw-yZnsVei/s-l140.jpg,"Sold  Feb 18, 2025"
Jorginho - 2023-24 Immaculate Soccer Int'l - 3X Box Player BREAK #7,"64,789.80 VND",https://www.ebay.com/itm/236000305635,https://i.ebayimg.com/images/g/5n8AAeSw8ixn0QGu/s-l140.jpg,"Sold  Mar 14, 2025"
Jorginho - 2023-24 Immaculate Soccer Int'l - 3X Box Player BREAK #6,"246,669.60 VND",https://www.ebay.com/itm/235997337341,https://i.ebayimg.com/images/g/iVMAAeSwxEtnzlur/s-l140.jpg,"Sold  Mar 12, 2025"
Jorginho 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"26,816.40 VND",https://www.ebay.com/itm/167287143894,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Jorginho 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"25,527.15 VND",https://www.ebay.com/itm/167284699587,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
Jorginho - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #8,"64,204.65 VND",https://www.ebay.com/itm/235934235336,https://i.ebayimg.com/images/g/TcUAAOSw4ORnmZ04/s-l140.jpg,"Sold  Jan 31, 2025"
Jorginho - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/226564100653,https://i.ebayimg.com/images/g/pi4AAeSwLjNnlF1y/s-l140.jpg,"Sold  Jan 27, 2025"
Jorginho - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/296953085716,https://i.ebayimg.com/images/g/1R0AAOSw0oZnjbwW/s-l140.jpg,"Sold  Jan 22, 2025"
Jorginho 2024-25 Donruss Soccer Hobby + Int - 4X Box Player BREAK #10,"64,204.65 VND",https://www.ebay.com/itm/297066499232,https://i.ebayimg.com/images/g/WSQAAeSwzZlnwSat/s-l140.jpg,"Sold  Mar 2, 2025"
JORGINHO 2019 PANINI PRIZM PREMIER LEAGUE SOCCER PURPLE /99 Q0M-297,"25,785.00 VND",https://www.ebay.com/itm/276814597642,https://i.ebayimg.com/images/g/~LIAAOSwJuZnhC60/s-l140.jpg,"Sold  Jan 19, 2025"
JORGINHO 1 2019 PANINI PRIZM PREMIER LEAGUE SOCCER BLUE #24 /199 Q0M-297,"39,708.90 VND",https://www.ebay.com/itm/276814598420,https://i.ebayimg.com/images/g/LwAAAOSw89RnhC6M/s-l140.jpg,"Sold  Jan 19, 2025"
JORGINHO 2019 PANINI PRIZM PREMIER LEAGUE SOCCER BLUE #24 /199 Q0M-297,"70,908.75 VND",https://www.ebay.com/itm/276814598635,https://i.ebayimg.com/images/g/WdUAAOSwD91nhC5D/s-l140.jpg,"Sold  Jan 19, 2025"
JORGINHO 2021 PANINI PRIZM PREMIER LEAGUE SOCCER PURPLE MOJO #249 Q2849,"25,785.00 VND",https://www.ebay.com/itm/276803207011,https://i.ebayimg.com/images/g/a2cAAOSw8JNneF-P/s-l140.jpg,"Sold  Jan 13, 2025"
2019-20 Topps Finest UCL Soccer Red Refractor Jorginho Chelsea FC AUTO 3/5,"528,592.50 VND",https://www.ebay.com/itm/365487482124,https://i.ebayimg.com/images/g/gaEAAOSwEmZn5Yyz/s-l140.jpg,"Sold  Apr 3, 2025"
2019-20 Topps Finest UCL Soccer Geen Refractor Jorginho Chelsea FC AUTO 74/99,"154,710.00 VND",https://www.ebay.com/itm/365487482700,https://i.ebayimg.com/images/g/LmMAAOSwzsln5Y3s/s-l140.jpg,"Sold  Apr 3, 2025"
2019-20 Topps Finest UCL Soccer Orange Refractor Jorginho Chelsea FC AUTO 20/25,"232,065.00 VND",https://www.ebay.com/itm/388156753364,https://i.ebayimg.com/images/g/6OgAAOSwKtZn5Yz4/s-l140.jpg,"Sold  Apr 3, 2025"
2019-20 Topps Finest UCL Soccer Gold Refractor Jorginho Chelsea FC AUTO 8/50,"132,019.20 VND",https://www.ebay.com/itm/388156758498,https://i.ebayimg.com/images/g/wLcAAOSwAztn5Y1p/s-l140.jpg,"Sold  Apr 3, 2025"
2019-20 Topps Finest UCL Soccer Green Wave Jorginho Chelsea FC AUTO 98/99,"58,016.25 VND",https://www.ebay.com/itm/388156765547,https://i.ebayimg.com/images/g/Ti8AAOSwtMFn5Y4l/s-l140.jpg,"Sold  Apr 3, 2025"
2019-20 Topps Finest UCL Soccer Refractor Jorginho Chelsea FC AUTO,"83,801.25 VND",https://www.ebay.com/itm/388156766043,https://i.ebayimg.com/images/g/QHsAAOSw-p1n5Y43/s-l140.jpg,"Sold  Apr 3, 2025"
2024 Topps Uefa Club Competition Ultimate Stage Autograph Jorginho,"141,817.50 VND",https://www.ebay.com/itm/365483766194,https://i.ebayimg.com/images/g/CTQAAOSw3Jpn42Kv/s-l140.jpg,"Sold  Mar 30, 2025"
2024 Topps Uefa Club Competition Ultimate Stage Autograph Jorginho,"195,150.00 VND",https://www.ebay.com/itm/365440081205,https://i.ebayimg.com/images/g/8x4AAOSw9sBnx7k9/s-l140.jpg,"Sold  Mar 9, 2025"
Jorginho 2023-24 Topps Chrome UEFA UCC Global Attraction Auto /199 Arsenal,"386,775.00 VND",https://www.ebay.com/itm/256859756659,https://i.ebayimg.com/images/g/0wIAAOSwbIVn1iy9/s-l140.jpg,"Sold  Mar 23, 2025"
Jorginho 2023-24 Topps Chrome UEFA UCC Global Attraction Auto /199 Arsenal,"221,170.00 VND",https://www.ebay.com/itm/256780957912,https://i.ebayimg.com/images/g/CroAAOSwJuZngpTb/s-l140.jpg,"Sold  Jan 19, 2025"
Jorginho 2024-25 Panini Donruss FIFA Kit Kings Memorabilia Relic Italy,"139,239.00 VND",https://www.ebay.com/itm/396320908030,https://i.ebayimg.com/images/g/R9AAAeSw-6Bn1Obb/s-l140.jpg,"Sold  Mar 19, 2025"
