Title,Price,Link,Image Link,Sold Date
2023-24 Topps Chrome Merlin UEFA Jorrel Hato RC Aqua Refractor #198/199,"64,462.50 VND",https://www.ebay.com/itm/376088098522,https://i.ebayimg.com/images/g/JvkAAeSwiKxn3cvy/s-l140.jpg,"Sold  Mar 26, 2025"
2023-24 Topps Chrome Merlin UEFA Jorrel Hato Vintage Refractor RC #6,"25,527.15 VND",https://www.ebay.com/itm/126900974756,https://i.ebayimg.com/images/g/HG8AAOSwZs9nlAhU/s-l140.jpg,"Sold  Jan 29, 2025"
2023-24 Topps Chrome Merlin UEFA Jorrel Hato Gold Atomic Refractor RC #5/50 #6,"167,602.50 VND",https://www.ebay.com/itm/126859672506,https://i.ebayimg.com/images/g/FRUAAOSwVtJndF1K/s-l140.jpg,"Sold  Jan 5, 2025"
2023-24 Merlin UEFA Merlin's Gamers Green Lightning Common JORREL HATO Rookie RC,"206,280.00 VND",https://www.ebay.com/itm/116511121307,https://i.ebayimg.com/images/g/vYMAAeSwU69ny~Go/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Merlin UEFA Merlin's Gamers Green Lightning Common JORREL HATO Rookie RC,"257,592.15 VND",https://www.ebay.com/itm/276695006269,https://i.ebayimg.com/images/g/DjgAAOSwgsJnFZZW/s-l140.jpg,"Sold  Jan 16, 2025"
JORREL HATO 2023-24 Panini Obsidian Soccer ORANGE Prizm ETCH SSP /40 Ajax Rookie,"502,807.50 VND",https://www.ebay.com/itm/205342854220,https://i.ebayimg.com/images/g/IHIAAOSwopBnYP9F/s-l140.jpg,"Sold  Mar 16, 2025"
JORREL HATO 2023-24 Panini Obsidian Soccer Silver Prizm ETCH /120 Ajax Rookie,"141,817.50 VND",https://www.ebay.com/itm/205209872583,https://i.ebayimg.com/images/g/bRkAAOSwdVlnfGrc/s-l140.jpg,"Sold  Jan 11, 2025"
2024 Topps UEFA Merlin Jorrel Hato Rookie #6 GREEN #17/99 REFRACTOR AJAX,"83,801.25 VND",https://www.ebay.com/itm/405560324268,https://i.ebayimg.com/images/g/XpIAAeSwCgFntSPe/s-l140.jpg,"Sold  Mar 14, 2025"
2024 Topps UEFA Merlin Jorrel Hato Rookie #6 GREEN MOJO #92/99 REFRACTOR AJAX,"77,355.00 VND",https://www.ebay.com/itm/116451462242,https://i.ebayimg.com/images/g/niUAAOSwF-5njR4E/s-l140.jpg,"Sold  Jan 20, 2025"
2023-24 Panini Immaculate Soccer Jorrel Hato RC SSP Silver #29/40 RC Rookie Ajax,"167,860.35 VND",https://www.ebay.com/itm/205329053499,https://i.ebayimg.com/images/g/UF0AAeSwH~pnw0n~/s-l140.jpg,"Sold  Mar 9, 2025"
