Title,Price,Link,Image Link,Sold Date
2022-23 Panini Select FIFA Terrace Gold Prizm /10 Juan Cuadrado #87,"451,237.50 VND",https://www.ebay.com/itm/256844709007,https://i.ebayimg.com/images/g/NZkAAeSwD15nyNMk/s-l140.jpg,"Sold  Mar 13, 2025"
2022-23 Panini Select FIFA Terrace Zebra Prizm /25 Juan Cuadrado #87,"206,280.00 VND",https://www.ebay.com/itm/286246834410,https://i.ebayimg.com/images/g/9IkAAOSwZJJneKUx/s-l140.jpg,"Sold  Jan 10, 2025"
"2018-2019, PANINI TREBLE SOCCER, DYNAMIC, AUTO RELIC, JUAN CUADRADO, 70/149","310,750.51 VND",https://www.ebay.com/itm/365472129542,https://i.ebayimg.com/images/g/Ey0AAOSwM3xmW~hr/s-l140.jpg,"Sold  Mar 30, 2025"
"2018-2019, PANINI TREBLE SOCCER, JERSEY & AUTOGRAPH, JUAN CUADRADO, 57/99","712,232.45 VND",https://www.ebay.com/itm/365514553027,https://i.ebayimg.com/images/g/~5sAAOSwcrJmXFy5/s-l140.jpg,"Sold  Apr 8, 2025"
"2018-2019, PANINI TREBLE SOCCER, JERSEY & AUTOGRAPH, JUAN CUADRADO, 57/99","341,871.58 VND",https://www.ebay.com/itm/365472138013,https://i.ebayimg.com/images/g/~5sAAOSwcrJmXFy5/s-l140.jpg,"Sold  Mar 30, 2025"
2021-22 Panini Donruss Road to Qatar Kit Kings Juan Cuadrado Patch,"78,060.00 VND",https://www.ebay.com/itm/167436659852,https://i.ebayimg.com/images/g/474AAeSw7Dpn9K2P/s-l500.jpg,"Sold  Apr 9, 2025"
2021-22 Panini Donruss Road to Qatar - Kit Kings #KK-JGC Juan Cuadrado (MEM),"77,799.80 VND",https://www.ebay.com/itm/356485479723,https://i.ebayimg.com/images/g/vyEAAOSwGjdnjZYn/s-l140.jpg,"Sold  Mar 19, 2025"
Juan Cuadrado 2018 National Treasures Match Worn / Auto /99 Columbia,"1,431,100.00 VND",https://www.ebay.com/itm/156672807548,https://i.ebayimg.com/images/g/e3AAAOSwAJxnojXz/s-l140.jpg,"Sold  Feb 16, 2025"
Juan Cuadrado 2018 National Treasures Match Worn / Auto /99 (JB),"280,755.80 VND",https://www.ebay.com/itm/126892798862,https://i.ebayimg.com/images/g/LHMAAOSwumVnjmRo/s-l140.jpg,"Sold  Jan 25, 2025"
2022 Topps Chrome Juventus Juan Cuadrado First Team Auto #FT-JC,"234,180.00 VND",https://www.ebay.com/itm/126911489879,https://i.ebayimg.com/images/g/BGwAAOSwvtRnm94B/s-l140.jpg,"Sold  Feb 4, 2025"
