Title,Price,Link,Image Link,Sold Date
Jule Brand 2023 Donruss FIFA Women's World Cup Field Vision Blue /99 RC Germany,"154,452.15 VND",https://www.ebay.com/itm/405247256632,https://i.ebayimg.com/images/g/ZEAAAOSw8-Rm8iYM/s-l140.jpg,"Sold  Mar 26, 2025"
Jule Brand 2023 Donruss FIFA Womens World Cup Field Vision #9 Germany Rookie RC.,"25,785.00 VND",https://www.ebay.com/itm/276462878962,https://i.ebayimg.com/images/g/eqwAAOSwCv1nsQUS/s-l140.jpg,"Sold  Feb 27, 2025"
Jule Brand 2022-23 Topps Chrome UEFA Women’s PINK PRISM /150 Auto RC B,"1,288,992.15 VND",https://www.ebay.com/itm/186852914364,https://i.ebayimg.com/images/g/jygAAOSwsx9nZtsm/s-l140.jpg,"Sold  Mar 25, 2025"
Jule Brand 2022-23 Topps Chrome UEFA Women’s PINK PRISM /150 Auto RC A,"1,288,992.15 VND",https://www.ebay.com/itm/186852914172,https://i.ebayimg.com/images/g/JToAAOSw6p1nZtrd/s-l140.jpg,"Sold  Mar 9, 2025"
2023 Panini Donruss FIFA Women's World Cup #212 Jule Brand RC Auto Germany,"515,442.15 VND",https://www.ebay.com/itm/297070022764,https://i.ebayimg.com/images/g/p4wAAeSw~wxnwoE7/s-l140.jpg,"Sold  Mar 25, 2025"
2023 Panini Donruss FIFA Women's World Cup Auto Jule Brand #212 Auto,"606,978.90 VND to 666,284.40 VND",https://www.ebay.com/itm/235875518800,https://i.ebayimg.com/images/g/pHIAAOSw2sFni0X0/s-l140.jpg,"Sold  Jan 12, 2025"
Panini Donruss FIFA Women's World Cup Auto RC Jule Brand Germany,"776,593.76 VND",https://www.ebay.com/itm/235912561420,https://i.ebayimg.com/images/g/xxYAAOSwMllnhSpL/s-l140.jpg,"Sold  Feb 11, 2025"
2023 Panini Donruss FIFA Women's World Cup - Autographs #212 Jule Brand (AU),"515,700.00 VND",https://www.ebay.com/itm/135187999424,https://i.ebayimg.com/images/g/7YEAAOSw~U9muBWm/s-l140.jpg,"Sold  Feb 10, 2025"
Panini Donruss FIFA Women's World Cup Auto RC Jule Brand Germany,"776,593.76 VND",https://www.ebay.com/itm/235912560821,https://i.ebayimg.com/images/g/~-8AAOSw~0VnhSoM/s-l140.jpg,"Sold  Jan 31, 2025"
Panini Donruss FIFA Women's World Cup Auto RC Jule Brand Germany,"776,593.76 VND",https://www.ebay.com/itm/235912561259,https://i.ebayimg.com/images/g/D9UAAOSwibRnhSoy/s-l140.jpg,"Sold  Jan 27, 2025"
2023 Panini Donruss FIFA Women's World Cup - Autographs #212 Jule Brand ,"386,775.00 VND",https://www.ebay.com/itm/186833250875,https://i.ebayimg.com/images/g/2kkAAOSwAsNnVncE/s-l140.jpg,"Sold  Jan 9, 2025"
2023 Panini Donruss World Cup Womens Jule Brand Auto Autograph Card,"270,742.50 VND",https://www.ebay.com/itm/365435436263,https://i.ebayimg.com/images/g/sykAAOSwXEtm3i1u/s-l140.jpg,"Sold  Mar 9, 2025"
2023 Panini Donruss World Cup Womens Jule Brand Auto Autograph Card,"162,445.50 VND",https://www.ebay.com/itm/365386574493,https://i.ebayimg.com/images/g/sykAAOSwXEtm3i1u/s-l140.jpg,"Sold  Feb 13, 2025"
