Title,Price,Link,Image Link,Sold Date
2022-23 Topps Chrome UEFA Women's Refractors #94 Kadidiatou Diani,"51,312.15 VND",https://www.ebay.com/itm/167252743171,https://i.ebayimg.com/images/g/SXkAAeSwn5xn3e8x/s-l140.jpg,"Sold  Mar 24, 2025"
2022 Topps Chrome UEFA Women's Gold Refractor 7/50 Kadidiatou Diani,"58,016.25 VND",https://www.ebay.com/itm/256856342856,https://i.ebayimg.com/images/g/VP0AAeSwSPBn02Np/s-l140.jpg,"Sold  Mar 22, 2025"
2023 Topps Chrome UEFA Womens CL - GOLAZO - **KADIDIATOU DIANI** #G-1,"185,332.27 VND",https://www.ebay.com/itm/375214353744,https://i.ebayimg.com/images/g/a~sAAOSwMcBlsvg7/s-l140.jpg,"Sold  Sep 3, 2024"
2023 DONRUSS FIFA WOMENS WORLD CUP KADIDIATOU DIANI SILVER PARALLEL #11,"74,776.50 VND",https://www.ebay.com/itm/386257859894,https://i.ebayimg.com/images/g/s-oAAOSwaW5lSFg9/s-l140.jpg,"Sold  Mar 24, 2025"
2021-22 TOPPS CHROME WOMENS CHAMPIONS LEAGUE GOAL MACHINES KADIDIATOU DIANI,"25,785.00 VND",https://www.ebay.com/itm/167241805182,https://i.ebayimg.com/images/g/rkoAAOSwmYVnfy3w/s-l140.jpg,"Sold  Mar 24, 2025"
Kadidiatou Diani 2022-23 Topps Chrome UEFA Women's Champions League #G-1 Golazo,"38,677.50 VND",https://www.ebay.com/itm/305888731894,https://i.ebayimg.com/images/g/OasAAOSw4-lnKvRV/s-l140.jpg,"Sold  Mar 24, 2025"
TOPPS CHROME UEFA WOMEN'S CL 22/23 KADIDIATOU DIANI PSG PURPLE PULSAR  220/299,"32,896.84 VND",https://www.ebay.com/itm/156765049746,https://i.ebayimg.com/images/g/eMoAAOSw4zBnyH0y/s-l140.jpg,"Sold  Mar 16, 2025"
Kadidiatou Diani 2023-24 Topps Chrome UEFA Womens Color Match Refractor /99 #11,"386,517.15 VND",https://www.ebay.com/itm/335608491034,https://i.ebayimg.com/images/g/LWIAAOSwQk5nBD9y/s-l140.jpg,"Sold  Feb 26, 2025"
TOPPS LIVING UCC SET - UEFA 2024 #663 KADIDIATOU DIANI OL LYIONNAIS PREORDER,"282,217.96 VND",https://www.ebay.com/itm/116086011607,https://i.ebayimg.com/images/g/magAAOSwR9hl4Out/s-l140.jpg,"Sold  Feb 23, 2025"
2023 Panini Donruss FIFA Women's World Cup Blue /99 Kadidiatou Diani #11,"92,568.15 VND",https://www.ebay.com/itm/186963717014,https://i.ebayimg.com/images/g/7k0AAeSwg4Jns4we/s-l140.jpg,"Sold  Feb 21, 2025"
