Title,Price,Link,Image Link,Sold Date
2022-23 Topps Finest UEFA Club Competitions Auto #A-KJ Kaio Jorge,"83,801.25 VND",https://www.ebay.com/itm/286435292319,https://i.ebayimg.com/images/g/kcwAAOSwQwNn4gWP/s-l140.jpg,"Sold  Mar 31, 2025"
2022-23 Topps Finest UEFA Club Competitions Auto #A-KJ Kaio Jorge,"83,801.25 VND",https://www.ebay.com/itm/286435292319,https://i.ebayimg.com/images/g/kcwAAOSwQwNn4gWP/s-l500.jpg,"Sold  Mar 31, 2025"
2022 Topps Finest UEFA UCC Kaio Jorge Auto #A-KJ,"64,462.50 VND",https://www.ebay.com/itm/126951275688,https://i.ebayimg.com/images/g/zzgAAeSwaGNntjuP/s-l140.jpg,"Sold  Feb 24, 2025"
2021 Topps Chrome UEFA UCL Kaio Jorge Auto #CA-KJ,"96,693.75 VND",https://www.ebay.com/itm/375993795193,https://i.ebayimg.com/images/g/KAwAAeSwr7BnrkzA/s-l140.jpg,"Sold  Feb 18, 2025"
Topps UEFA Champions League Chrome 2023 Auto Autograph Rookie Kaio Jorge RC,"198,032.82 VND",https://www.ebay.com/itm/388151379997,https://i.ebayimg.com/images/g/prEAAeSwxiFn4yZC/s-l500.jpg,"Sold  Apr 2, 2025"
Kaio Jorge /99 - 2022-23 Topps UEFA Club Competitions Blue Auto Juventus A-KJ,"155,375.25 VND",https://www.ebay.com/itm/356664560366,https://i.ebayimg.com/images/g/ljsAAeSwhu5n0zpp/s-l140.jpg,"Sold  Mar 23, 2025"
Topps UEFA Champions League Flagship 2023 Auto Autograph Rookie Kaio Jorge RC,"128,537.71 VND",https://www.ebay.com/itm/388066747930,https://i.ebayimg.com/images/g/OqUAAOSwNSNnjUeb/s-l140.jpg,"Sold  Mar 18, 2025"
Topps UEFA Champions League Flagship 2023 Auto Autograph Rookie Kaio Jorge RC,"226,000.37 VND",https://www.ebay.com/itm/388012983075,https://i.ebayimg.com/images/g/OqUAAOSwNSNnjUeb/s-l140.jpg,"Sold  Mar 7, 2025"
Topps UEFA Champions League Flagship 2023 Auto Autograph Rookie Kaio Jorge RC,"183,625.30 VND",https://www.ebay.com/itm/387954236989,https://i.ebayimg.com/images/g/OqUAAOSwNSNnjUeb/s-l140.jpg,"Sold  Feb 23, 2025"
Topps UEFA Champions League Flagship 2023 Auto Autograph Rookie Kaio Jorge RC,"100,287.66 VND",https://www.ebay.com/itm/387852879217,https://i.ebayimg.com/images/g/OqUAAOSwNSNnjUeb/s-l140.jpg,"Sold  Jan 30, 2025"
Topps UEFA Champions League Flagship 2023 Auto Autograph Rookie Kaio Jorge Juve,"146,900.24 VND",https://www.ebay.com/itm/387839902202,https://i.ebayimg.com/images/g/OqUAAOSwNSNnjUeb/s-l140.jpg,"Sold  Jan 26, 2025"
Topps UEFA Champions League Finest 2022 23 Auto Autograph Kaio Jorge Juve /99,"183,625.30 VND",https://www.ebay.com/itm/387839652458,https://i.ebayimg.com/images/g/ax8AAOSwOBlnjTC2/s-l140.jpg,"Sold  Jan 26, 2025"
2022 Topps UEFA Champions League Finest 23 Auto Autograph Rookie Kaio Jorge Juve,"155,375.25 VND",https://www.ebay.com/itm/387839649827,https://i.ebayimg.com/images/g/iXcAAOSwyHFnjTCW/s-l140.jpg,"Sold  Jan 26, 2025"
2022 Topps UEFA Champions League Chrome 23 Auto Autograph Rookie Kaio Jorge Juve,"169,500.28 VND",https://www.ebay.com/itm/387839628940,https://i.ebayimg.com/images/g/vc0AAOSwMYlnjS4j/s-l140.jpg,"Sold  Jan 26, 2025"
2021 Topps Chrome UEFA Champions League Kaio Jorge Auto RC Blue Refractor #/150,"70,908.75 VND",https://www.ebay.com/itm/127014160825,https://i.ebayimg.com/images/g/dHwAAeSwxoVn4w9M/s-l140.jpg,"Sold  Mar 30, 2025"
