Title,Price,Link,Image Link,Sold Date
2023-24 Topps UEFA Club Competitions #169 Kaoru Mitoma card,"38,419.65 VND",https://www.ebay.com/itm/276691169879,https://i.ebayimg.com/images/g/RBYAAOSwXKlnEdYB/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 Topps UEFA Club Competitions #169 Kaoru Mitoma Pink Sparkle card,"46,155.15 VND",https://www.ebay.com/itm/276514830830,https://i.ebayimg.com/images/g/3XEAAOSwKhlmcdzU/s-l140.jpg,"Sold  Jan 8, 2025"
2023 Panini Prizm Premier League 99 Kaoru Mitoma Breakaway Brighton Hove Albion,"33,262.65 VND",https://www.ebay.com/itm/355801193523,https://i.ebayimg.com/images/g/2-kAAOSw8fhmcIze/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Prizm Premier League Kaoru Mitoma Blue 176/299 Brighton Hove Albion,"128,667.15 VND",https://www.ebay.com/itm/156840712896,https://i.ebayimg.com/images/g/2a0AAeSwT8dn6Vti/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Select English Premier League Purple Mojo #205 Kaoru Mitoma,"64,462.50 VND",https://www.ebay.com/itm/167423969577,https://i.ebayimg.com/images/g/fc0AAeSwCbxn7dv7/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Select Premier League Purple Mojo Kaoru Mitoma #121,"90,247.50 VND",https://www.ebay.com/itm/356232319906,https://i.ebayimg.com/images/g/RN8AAOSw3gpnKl-l/s-l140.jpg,"Sold  Mar 11, 2025"
2023-24 Panini Prizm Premier League #99 Kaoru Mitoma,"51,312.15 VND",https://www.ebay.com/itm/197179674028,https://i.ebayimg.com/images/g/cREAAeSwhvZn8QrL/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Prizm Premier League #99 Kaoru Mitoma Orange Hyper,"51,312.15 VND",https://www.ebay.com/itm/296949142292,https://i.ebayimg.com/images/g/hawAAOSw2-pnirEB/s-l140.jpg,"Sold  Feb 15, 2025"
2023-24 Panini Select Premier League Mezzanine Red Ice Prizm Kaoru Mitoma #121,"44,865.90 VND",https://www.ebay.com/itm/335802957187,https://i.ebayimg.com/images/g/b0IAAeSw-5BnprcS/s-l140.jpg,"Sold  Mar 29, 2025"
2023-24 Panini Select Premier League Mezzanine Blue Prizm Kaoru Mitoma #121,"147,490.20 VND",https://www.ebay.com/itm/235957351266,https://i.ebayimg.com/images/g/i-AAAeSwdQVnrnRC/s-l140.jpg,"Sold  Mar 12, 2025"
2023 Panini Select Premier League Mezzanine Winter Camo Prizm /110 Kaoru Mitoma,"251,145.90 VND",https://www.ebay.com/itm/235994033631,https://i.ebayimg.com/images/g/cksAAeSwTuVnyw4k/s-l140.jpg,"Sold  Mar 12, 2025"
2023-24 Panini Select Premier League Mezzanine Red Prizm Kaoru Mitoma #121,"102,882.15 VND",https://www.ebay.com/itm/256792575200,https://i.ebayimg.com/images/g/HjsAAOSwIS1nkmFS/s-l140.jpg,"Sold  Mar 12, 2025"
2023 Panini Select Premier League Mezzanine Purple /149 Kaoru Mitoma #121 SP,"231,807.15 VND",https://www.ebay.com/itm/405614872004,https://i.ebayimg.com/images/g/aKMAAOSw2yRnorCB/s-l140.jpg,"Sold  Mar 6, 2025"
2023-24 Panini Select Premier League Orange Ice #/145  Kaoru Mitoma Card #121,"226,908.00 VND",https://www.ebay.com/itm/405465439041,https://i.ebayimg.com/images/g/Y7QAAOSw~MlnfrD3/s-l140.jpg,"Sold  Mar 1, 2025"
2022 Select Premier League #4 Kaoru Mitoma Unstoppable Prizm RC Brighton,"64,462.50 VND",https://www.ebay.com/itm/256869211057,https://i.ebayimg.com/images/g/qCQAAeSwSPBn4XaH/s-l140.jpg,"Sold  Mar 25, 2025"
2022 Select Premier League Kaoru Mitoma Unstoppable RC #4,"25,527.15 VND",https://www.ebay.com/itm/375939994544,https://i.ebayimg.com/images/g/imYAAOSwTMBnkAJK/s-l140.jpg,"Sold  Jan 26, 2025"
2022-23 Obsidian Soccer Electric Etch Silver #28 Kaoru Mitoma RC Rookie 26/115,"257,850.00 VND",https://www.ebay.com/itm/376077378725,https://i.ebayimg.com/images/g/89sAAOSwOx9n2IL4/s-l140.jpg,"Sold  Mar 24, 2025"
2022-23 Obsidian Soccer Electric Etch Silver #28 Kaoru Mitoma RC Rookie 41/115,"58,016.25 VND",https://www.ebay.com/itm/388103677635,https://i.ebayimg.com/images/g/jAEAAOSwuGJn2IMW/s-l140.jpg,"Sold  Mar 24, 2025"
2023-24 KAORU MITOMA 34/92 PANINI PRIZM PREMIER LEAGUE WHITE PINK,"412,302.15 VND",https://www.ebay.com/itm/156223215897,https://i.ebayimg.com/images/g/zogAAOSwcVJmTqpO/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 KAORU MITOMA 097/299 PANINI PRIZM PREMIER LEAGUE BLUE,"257,592.15 VND",https://www.ebay.com/itm/156134798241,https://i.ebayimg.com/images/g/x-cAAOSwhaNl~SJm/s-l140.jpg,"Sold  Mar 7, 2025"
2023 Panini Prizm Premier League Kaoru Mitoma Groovy #12 PSA 10,"850,905.00 VND",https://www.ebay.com/itm/126990028096,https://i.ebayimg.com/images/g/In0AAeSwwiFn0dkW/s-l140.jpg,"Sold  Mar 17, 2025"
2023 Prizm Premier League Kaoru Mitoma Groovy #12,"257,850.00 VND",https://www.ebay.com/itm/126865328165,https://i.ebayimg.com/images/g/F1QAAOSwrx9neHGI/s-l140.jpg,"Sold  Jan 8, 2025"
2022-23 Panini Select Premier League Kaoru Mitoma Pink Ice Prizm #121 SP,"51,312.15 VND",https://www.ebay.com/itm/267191089872,https://i.ebayimg.com/images/g/tE4AAeSwNSVn1u00/s-l140.jpg,"Sold  Mar 16, 2025"
2023-24 Panini Select Premier League Kaoru Mitoma Pink Cracked Ice Prizm,"51,312.15 VND",https://www.ebay.com/itm/135499156297,https://i.ebayimg.com/images/g/3BgAAOSwnVNnh0He/s-l140.jpg,"Sold  Mar 10, 2025"
2023-24 Panini Select Premier League #205 Kaoru Mitoma Pink Ice,"51,312.15 VND",https://www.ebay.com/itm/196921753425,https://i.ebayimg.com/images/g/zbkAAOSw9E1ndCoC/s-l140.jpg,"Sold  Jan 8, 2025"
2023-24 Panini Select Premier League #205 Kaoru Mitoma Camo #/175,"180,237.15 VND",https://www.ebay.com/itm/296815387457,https://i.ebayimg.com/images/g/61oAAOSwb8xnNSbT/s-l140.jpg,"Sold  Mar 11, 2025"
2023-24 Panini Select Premier League - Mezzanine #205 Kaoru Mitoma Pink Ice,"33,262.65 VND",https://www.ebay.com/itm/297032177957,https://i.ebayimg.com/images/g/DLMAAOSwuppntLVI/s-l140.jpg,"Sold  Mar 11, 2025"
2023-24 Select Premier League Kaoru Mitoma Red Ice Prizm #121 Brighton & Hove,"56,727.00 VND",https://www.ebay.com/itm/315956020222,https://i.ebayimg.com/images/g/2lcAAOSwnMdnNUlr/s-l140.jpg,"Sold  Mar 10, 2025"
2023-24 Select Premier League Kaoru Mitoma Mezzanine Red Ice Prizm #121 Brighton,"102,882.15 VND",https://www.ebay.com/itm/375862819966,https://i.ebayimg.com/images/g/yEwAAOSwM5xnW043/s-l140.jpg,"Sold  Mar 2, 2025"
2023-24 Topps Finest Kaoru Mitoma #48 20/75 UEFA CLUB COMPETITIONS Rose Gold,"141,817.50 VND",https://www.ebay.com/itm/267177728879,https://i.ebayimg.com/images/g/hFsAAOSwDpxnrCUG/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Topps Finest Kaoru Mitoma #48 063/150 UEFA CLUB COMPETITIONS Blue,"25,527.15 VND",https://www.ebay.com/itm/267156593936,https://i.ebayimg.com/images/g/dhwAAOSwCv5nrCZ5/s-l140.jpg,"Sold  Feb 16, 2025"
2023-24 Topps Finest Kaoru Mitoma #48 89/99 UEFA CLUB COMPETITIONS Green,"54,922.05 VND",https://www.ebay.com/itm/267156593575,https://i.ebayimg.com/images/g/JOoAAOSwD7NnrCZJ/s-l140.jpg,"Sold  Feb 16, 2025"
2023-24 Topps Finest Kaoru Mitoma #48 01/50 UEFA CLUB COMPETITIONS Rose Gold,"257,850.00 VND",https://www.ebay.com/itm/267156591186,https://i.ebayimg.com/images/g/vKIAAOSwnP5nrCRv/s-l140.jpg,"Sold  Feb 12, 2025"
Kaoru Mitoma 2023-24 Panini Prizm Premier League Soccer Groovy SSP [dbG97,"296,527.50 VND",https://www.ebay.com/itm/376032399445,https://i.ebayimg.com/images/g/HV8AAOSwnQdnwnNb/s-l140.jpg,"Sold  Mar 5, 2025"
Kaoru Mitoma 2023-24 Panini Prizm Premier League Soccer Groovy Case Hit SSP #12,"399,667.50 VND",https://www.ebay.com/itm/376011656447,https://i.ebayimg.com/images/g/UpMAAOSw8SJnt-M8/s-l140.jpg,"Sold  Feb 25, 2025"
2023 Select Premier League Kaoru Mitoma Pink Prizm Field #/99,"51,570.00 VND",https://www.ebay.com/itm/126936183505,https://i.ebayimg.com/images/g/MdIAAeSwWGlnq7sB/s-l140.jpg,"Sold  Feb 16, 2025"
2022 Select Premier League Kaoru Mitoma Pink RC Mezzanine #/99,"154,710.00 VND",https://www.ebay.com/itm/375976338075,https://i.ebayimg.com/images/g/2i4AAOSwbx9npSUA/s-l140.jpg,"Sold  Feb 11, 2025"
2023 Select Premier League Kaoru Mitoma Pink Mojo Prizm Field #66/325,"25,527.15 VND",https://www.ebay.com/itm/375959995370,https://i.ebayimg.com/images/g/lK8AAOSwp0Bnm-P3/s-l140.jpg,"Sold  Feb 4, 2025"
2022 Select Premier League Kaoru Mitoma Pink RC Mezzanine #/99,"144,653.85 VND",https://www.ebay.com/itm/375945267989,https://i.ebayimg.com/images/g/rE0AAOSwastnkqny/s-l140.jpg,"Sold  Jan 28, 2025"
2023 Select Premier League Kaoru Mitoma Orange Prizm Field #/75,"40,998.15 VND",https://www.ebay.com/itm/375939994547,https://i.ebayimg.com/images/g/u8UAAOSwlz9nkAJw/s-l140.jpg,"Sold  Jan 26, 2025"
2023 Select Premier League Kaoru Mitoma White Prizm Mezzanine #1/20,"469,287.00 VND",https://www.ebay.com/itm/126895300317,https://i.ebayimg.com/images/g/2toAAOSwc~RnkAHp/s-l140.jpg,"Sold  Jan 26, 2025"
2023 Select Premier League Kaoru Mitoma Camo Prizm Field #/175,"76,065.75 VND",https://www.ebay.com/itm/126885154385,https://i.ebayimg.com/images/g/jZQAAOSwhndniED3/s-l140.jpg,"Sold  Jan 20, 2025"
2023-24 KAORU MITOMA /25 PANINI IMPECCABLE PREMIER LEAGUE No.3-Brighton and Hove,"83,801.25 VND",https://www.ebay.com/itm/267146986003,https://i.ebayimg.com/images/g/u-wAAOSwY5RnhFXg/s-l140.jpg,"Sold  Feb 15, 2025"
2023-24 KAORU MITOMA /25 PANINI IMPECCABLE PREMIER LEAGUE No.3-Brighton and Hove,"309,420.00 VND",https://www.ebay.com/itm/267123373192,https://i.ebayimg.com/images/g/u-wAAOSwY5RnhFXg/s-l140.jpg,"Sold  Jan 19, 2025"
Select Soccer EPL 2023-24 Kaoru Mitoma Unstoppable Insert Blue Pulsar Brighton,"25,527.15 VND",https://www.ebay.com/itm/146486678440,https://i.ebayimg.com/images/g/KzEAAeSww8Rnqjgg/s-l500.jpg,"Sold  Apr 7, 2025"
Kaoru Mitoma 2023-24 Topps Chrome UEFA Blue Geometric Refractor 031/150,"25,785.00 VND",https://www.ebay.com/itm/376120793455,https://i.ebayimg.com/images/g/IngAAOSwOOBn7Lu1/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 Topps Chrome Merlin UEFA Kaoru Mitoma Blue Refractor #51/75,"109,586.25 VND",https://www.ebay.com/itm/127027583941,https://i.ebayimg.com/images/g/GuUAAeSwHaBn7D~f/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 Prizm Premier League KAORU MITOMA GROOVY #12 Case Hit Brighton PSA 10,"1,701,552.15 VND",https://www.ebay.com/itm/256882394189,https://i.ebayimg.com/images/g/wUEAAOSwHVpn5Mnm/s-l140.jpg,"Sold  Apr 6, 2025"
Kaoru Mitoma 2024 Topps Inception Soccer Star Quality 67/75[dbJ18,"128,151.45 VND",https://www.ebay.com/itm/376103133234,https://i.ebayimg.com/images/g/r5sAAOSwDmZn5TAP/s-l140.jpg,"Sold  Apr 1, 2025"
Kaoru Mitoma 2023-24 Topps Merlin Heritage UEFA Blue 13/25 [dbL39,"25,785.00 VND",https://www.ebay.com/itm/376099272624,https://i.ebayimg.com/images/g/mTkAAOSwLxBn42SZ/s-l140.jpg,"Sold  Mar 30, 2025"
Kaoru Mitoma 2023-24 Topps Merlin Heritage UEFA Purple 42/99 [dbM1,"25,785.00 VND",https://www.ebay.com/itm/376099239562,https://i.ebayimg.com/images/g/Cy4AAOSw~HJn42EF/s-l140.jpg,"Sold  Mar 30, 2025"
Kaoru Mitoma 2023-24 Topps Merlin Heritage UEFA Purple 39/99 [dbM1,"25,785.00 VND",https://www.ebay.com/itm/376099226241,https://i.ebayimg.com/images/g/bsgAAOSwBGJn418r/s-l140.jpg,"Sold  Mar 30, 2025"
2022-23 Select Premier League Kaoru Mitoma White Sparkle Rookie Card PSA 10 #196,"5,930,550.00 VND",https://www.ebay.com/itm/376110164234,https://i.ebayimg.com/images/g/hZ8AAeSwY2tn5N2Q/s-l140.jpg,"Sold  Mar 30, 2025"
Kaoru Mitoma 2023 Topps Merlin Soccer Heritage 26/49[dbJ19,"118,095.30 VND",https://www.ebay.com/itm/376096225833,https://i.ebayimg.com/images/g/ubgAAOSwuZVn4gGS/s-l140.jpg,"Sold  Mar 29, 2025"
TOPPS CHROME UEFA JAPANESE 2023-24 KAORU MITOMA 22/50 Gold MOJO REFRACTOR,"83,801.25 VND",https://www.ebay.com/itm/365474884974,https://i.ebayimg.com/images/g/yDYAAOSwf1xn3htH/s-l140.jpg,"Sold  Mar 28, 2025"
Kaoru Mitoma 2023-24 Topps Inception UEFA Star Quality Green 33/99 #63 Rare SP,"232,065.00 VND",https://www.ebay.com/itm/365474862301,https://i.ebayimg.com/images/g/5F4AAOSwadNn3heC/s-l140.jpg,"Sold  Mar 26, 2025"
2023-24 Topps Inception UEFA Club Competitions #63 Kaoru Mitoma Brighton,"77,097.15 VND",https://www.ebay.com/itm/365459483409,https://i.ebayimg.com/images/g/9WIAAOSwWNZn05Or/s-l140.jpg,"Sold  Mar 26, 2025"
2023-24 Topps Chrome UEFA Kaoru Mitoma Gold Geometric Refractor /50 #169,"128,667.15 VND",https://www.ebay.com/itm/365469052817,https://i.ebayimg.com/images/g/oRQAAOSwgFZn2jJv/s-l140.jpg,"Sold  Mar 25, 2025"
2024 KAORU MITOMA 10/15 TOPPS UEFA EUROPA LEAGUE JADE PURPLE,"515,442.15 VND",https://www.ebay.com/itm/156558773814,https://i.ebayimg.com/images/g/tXgAAOSwXMdnTSWQ/s-l140.jpg,"Sold  Mar 25, 2025"
2024 Topps Chrome UEFA Kaoru Mitoma Hobby Masters Case Hit Brighton Japan,"564,718.42 VND",https://www.ebay.com/itm/156824893347,https://i.ebayimg.com/images/g/ZaUAAeSwsvJn4G2h/s-l140.jpg,"Sold  Mar 25, 2025"
2022-23 Chronicles PL Soccer Blue #80 Kaoru Mitoma RC Rookie 59/99,"141,817.50 VND",https://www.ebay.com/itm/388103939162,https://i.ebayimg.com/images/g/FKkAAOSwzzFn2I~A/s-l140.jpg,"Sold  Mar 24, 2025"
2022-23 Impeccable PL Soccer Stainless Stars #10 Kaoru Mitoma RC W/ Coating /71,"244,957.50 VND",https://www.ebay.com/itm/376077537188,https://i.ebayimg.com/images/g/40oAAOSwmiBn2Joh/s-l140.jpg,"Sold  Mar 24, 2025"
KAORU MITOMA 2023 TOPPS FINEST UEFA PRIZED FUSION GREEN RED /30 PSA 9 Q0902,"417,717.00 VND",https://www.ebay.com/itm/276956200451,https://i.ebayimg.com/images/g/ZtkAAeSwmyBn2Iy9/s-l140.jpg,"Sold  Mar 24, 2025"
