Title,Price,Link,Image Link,Sold Date
2022 Panini Prizm Soccer World Cup Qatar No. 71 Kasper Dolberg,"28,250.05 VND",https://www.ebay.com/itm/316167636323,https://i.ebayimg.com/images/g/BTEAAOSwnRFkcfH0/s-l140.jpg,"Sold  Mar 25, 2025"
2022 Panini Prizm Soccer World Cup Qatar No. 71 Kasper Dolberg Silver Prizm,"77,970.13 VND",https://www.ebay.com/itm/316162144035,https://i.ebayimg.com/images/g/RRUAAOSwNbNlo7d9/s-l140.jpg,"Sold  Jan 31, 2025"
2021-22 Panini Mosaic Road To Qatar No. 156 Kasper Dolberg,"28,489.30 VND",https://www.ebay.com/itm/235884712312,https://i.ebayimg.com/images/g/8AwAAOSw8slmBDm-/s-l140.jpg,"Sold  Jan 31, 2025"
2021-22 Panini Mosaic Road To Qatar Number 156 Kasper Dolberg Red Green Prizm,"51,565.63 VND",https://www.ebay.com/itm/235917300293,https://i.ebayimg.com/images/g/bVIAAOSwgNlleiZh/s-l140.jpg,"Sold  Jan 31, 2025"
2020 Panini Mosaic Euro UEFA Em No. 39 Kasper Dolberg Prizm Refractor,"51,980.08 VND",https://www.ebay.com/itm/316159340263,https://i.ebayimg.com/images/g/pycAAOSw0Odirc2i/s-l140.jpg,"Sold  Jan 31, 2025"
2018 Panini Soccer Road To Russia No. Den 15 Kasper Dolberg,"28,250.05 VND",https://www.ebay.com/itm/316172840752,https://i.ebayimg.com/images/g/JE0AAOSwxmFnda-H/s-l140.jpg,"Sold  Jan 31, 2025"
Topps Match Attax Champions League Extra 22/23 Squad Zone SZ 5 Kasper Dolberg,"28,250.05 VND",https://www.ebay.com/itm/335787741159,https://i.ebayimg.com/images/g/NYgAAOSwEIlj~wLc/s-l140.jpg,"Sold  Jan 31, 2025"
2022 Panini Prizm FIFA World Cup Kasper Dolberg Blue Prizm 264/299 #71 KT01,"7,735.50 VND",https://www.ebay.com/itm/396358695111,https://i.ebayimg.com/images/g/fi4AAOSwEYRn4Ztf/s-l140.jpg,"Sold  Apr 2, 2025"
2021 Panini Mosaic UEFA Euro 2020 #39 Kasper Dolberg - Denmark Blue Mosaic /99,"51,312.15 VND",https://www.ebay.com/itm/306119799491,https://i.ebayimg.com/images/g/I64AAOSwLBNnnvrD/s-l140.jpg,"Sold  Feb 23, 2025"
2022 Fifa World Cup Panini Sticker Qatar KASPER DOLBERG Denmark DEN17,"38,677.50 VND",https://www.ebay.com/itm/374381663214,https://i.ebayimg.com/images/g/WzcAAOSwxl9jh~C0/s-l140.jpg,"Sold  Feb 12, 2025"
2020-21 Kasper Dolberg L7 ADRENALYN XL Ligue 1 Card Soccer #254 Panini,"28,250.05 VND",https://www.ebay.com/itm/255118684368,https://i.ebayimg.com/images/g/-vQAAOSwEGxhMKSP/s-l140.jpg,"Sold  Aug 19, 2024"
2020-21 Panini L6 ADRENALYN XL Ligue 1 Crack Card #460 Kasper Dolberg,"70,342.61 VND",https://www.ebay.com/itm/255117675482,https://i.ebayimg.com/images/g/VjIAAOSwsLlhL6C-/s-l140.jpg,"Sold  Aug 19, 2024"
Autograph Kasper Dolberg (RSC Anderlecht),"270,648.33 VND",https://www.ebay.com/itm/256855971360,https://i.ebayimg.com/images/g/7hAAAOSwPCxn0xJx/s-l140.jpg,"Sold  Mar 23, 2025"
2017 Revolution On the Rise Magna /49 Kasper Dolberg Rookie #OTR-13 PSA 9 POP 1,"650,239.80 VND",https://www.ebay.com/itm/266654845465,https://i.ebayimg.com/images/g/0rQAAOSwSddlv60v/s-l140.jpg,"Sold  Mar 8, 2025"
2018-19 Panini Donruss Optic Blue Auto /99 Kasper Dolberg #119 Rookie Auto RC,"780,339.80 VND",https://www.ebay.com/itm/145026954828,https://i.ebayimg.com/images/g/PuwAAOSwhOtkBq4n/s-l140.jpg,"Sold  Feb 13, 2025"
KASPER DOLBERG # AJAX / ANDERSLECHT / DENMARK - AUTOGRAPH CARD,"70,938.35 VND",https://www.ebay.com/itm/196989660683,https://i.ebayimg.com/images/g/VjYAAOSw8Y1noRVO/s-l140.jpg,"Sold  Feb 10, 2025"
Champions League EXTRA 22/23 SZ05 - Kasper Dolberg - Squad Zone - EMERALD FOIL,"39,600.12 VND",https://www.ebay.com/itm/295542333138,https://i.ebayimg.com/images/g/S8UAAOSwZI5kQO8I/s-l140.jpg,"Sold  Jan 31, 2025"
Kasper Dolberg ++ ++ TSG 1899 Hoffenheim ++ ++ Hand Signed ++ ++ Rare Card,"131,050.77 VND",https://www.ebay.com/itm/356461474157,https://i.ebayimg.com/images/g/2ssAAOSwuCpnhBvZ/s-l140.jpg,"Sold  Jan 19, 2025"
Kasper Dolberg - Denmark - Panini,"28,489.30 VND",https://www.ebay.com/itm/156622076109,https://i.ebayimg.com/images/g/KxkAAOSwDZ1ne-KG/s-l140.jpg,"Sold  Jan 13, 2025"
