Title,Price,Link,Image Link,Sold Date
2025 Donruss FIFA Soccer Kevin Castano Rated Rookie Optic,"25,527.15 VND",https://www.ebay.com/itm/156708612790,https://i.ebayimg.com/images/g/Eu8AAOSwllpnsk0T/s-l140.jpg,"Sold  Feb 23, 2025"
2025 Donruss FIFA Soccer  Kevin Castano Rated Rookie Diamond,"25,527.15 VND",https://www.ebay.com/itm/156708612792,https://i.ebayimg.com/images/g/S7UAAOSwnmBnsk0T/s-l140.jpg,"Sold  Feb 23, 2025"
"2024-25 Donruss Soccer The Rookies #13 Kevin Castano, Colombia","51,312.15 VND",https://www.ebay.com/itm/235930240431,https://i.ebayimg.com/images/g/3HAAAOSwallnlXxb/s-l140.jpg,"Sold  Feb 13, 2025"
"2024-25 Donruss Soccer Rookie Kings #1 Kevin Castano, Colombia","38,419.65 VND",https://www.ebay.com/itm/235930271011,https://i.ebayimg.com/images/g/eh4AAOSwYK5nlYL0/s-l140.jpg,"Sold  Feb 13, 2025"
Kevin Castano 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"58,274.10 VND",https://www.ebay.com/itm/167287143835,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Kevin Castano 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"25,527.15 VND",https://www.ebay.com/itm/167284711788,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
Kevin Castano - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/235923237672,https://i.ebayimg.com/images/g/Ud8AAOSwjZZnjxC5/s-l140.jpg,"Sold  Jan 23, 2025"
Kevin Castano - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/296953103469,https://i.ebayimg.com/images/g/s5wAAOSwpkRnjb7J/s-l140.jpg,"Sold  Jan 22, 2025"
Kevin Castano - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/226564106115,https://i.ebayimg.com/images/g/dRkAAOSwIt9nlF9Z/s-l140.jpg,"Sold  Jan 27, 2025"
24-25 Panini Donruss Rookie Kings  #1 Kevin Castano Pink 05/25 SP,"386,397.00 VND",https://www.ebay.com/itm/127002320476,https://i.ebayimg.com/images/g/f04AAOSwv~dn2slo/s-l140.jpg,"Sold  Apr 2, 2025"
24-25 Panini Donruss Rookie Kings - Gold 1/10 Kevin Castano,"91,330.20 VND",https://www.ebay.com/itm/226620086005,https://i.ebayimg.com/images/g/DEoAAeSwtOdnwVit/s-l140.jpg,"Sold  Mar 3, 2025"
2024-25 Panini Donruss Kevin Castano Rookie RC The Rookies Gold 3/10 Colombia,"435,835.00 VND",https://www.ebay.com/itm/365483692330,https://i.ebayimg.com/images/g/G~cAAOSwbntn41j~/s-l140.jpg,"Sold  Mar 30, 2025"
