Title,Price,Link,Image Link,Sold Date
2021 Topps FC Bayern Munchen Klara Buhl Auto #BWA-KB,"910,700.00 VND",https://www.ebay.com/itm/376133575005,https://i.ebayimg.com/images/g/6hIAAeSwuj1n8Dpw/s-l500.jpg,"Sold  Apr 9, 2025"
2022 Topps FC Bayern Munich Klara Buhl Aqua #9/10,"223,511.80 VND",https://www.ebay.com/itm/376133574989,https://i.ebayimg.com/images/g/7-QAAeSw1CJn8Dm2/s-l140.jpg,"Sold  Apr 9, 2025"
Topps Bayern Munich Team Set 2022-23 Klara Buhl Autograph SSP SP 13/20,"1,560,939.80 VND",https://www.ebay.com/itm/387837002695,https://i.ebayimg.com/images/g/ym0AAOSwnwJni~6a/s-l140.jpg,"Sold  Jan 20, 2025"
Topps Bayern Munich Team Set 2022-23 Klara Buhl RARE SSP SP 5/5 Red,"2,081,339.80 VND",https://www.ebay.com/itm/387836939360,https://i.ebayimg.com/images/g/du8AAOSwfr9ni~cu/s-l140.jpg,"Sold  Jan 20, 2025"
2023 Panini FIFA Women's World Cup Stickers #527 Klara Buhl Germany,"127,635.75 VND",https://www.ebay.com/itm/394759487482,https://i.ebayimg.com/images/g/jzIAAOSw2glkuryz/s-l140.jpg,"Sold  Mar 22, 2025"
2022 Chrome UEFA Women's Champions League Sapphire Edition Gold /50 Klara Buhl,"366,920.55 VND",https://www.ebay.com/itm/256823849287,https://i.ebayimg.com/images/g/lQkAAeSwdQVntbwu/s-l140.jpg,"Sold  Mar 17, 2025"
2023-24 Topps Chrome UEFA Women's Neon Green Prism Refractor #85 Klara Buhl /150,"116,032.50 VND",https://www.ebay.com/itm/315973965206,https://i.ebayimg.com/images/g/w0QAAeSwGnFnwRfG/s-l140.jpg,"Sold  Mar 7, 2025"
KLARA BUHL 2022 TOPPS CHROME UEFA ORANGE REFRACTOR /25 Q2073,"167,602.50 VND",https://www.ebay.com/itm/276889837776,https://i.ebayimg.com/images/g/SK4AAeSwzORnuN4M/s-l140.jpg,"Sold  Mar 3, 2025"
2022-23 Topps Chrome UEFA Women's Pink Prism /199 27 Klara Buhl,"52,601.40 VND",https://www.ebay.com/itm/135293077898,https://i.ebayimg.com/images/g/RboAAOSwJd1nBvBi/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 Topps Chrome Sapphire Edition UEFA Women's Klara Buhl Black #7/10,"286,220.00 VND",https://www.ebay.com/itm/127033491013,https://i.ebayimg.com/images/g/8xUAAeSwOhZn8Do2/s-l500.jpg,"Sold  Apr 9, 2025"
2023-24 TOPPS CHROME SAPPHIRE WOMENS UEFA CHAMPIONS LEAGUE KLARA BUHL #85,"26,020.00 VND",https://www.ebay.com/itm/235867940238,https://i.ebayimg.com/images/g/c3UAAOSwQ6lnWlhm/s-l140.jpg,"Sold  Apr 7, 2025"
2023-24 Topps Chrome Women's Sapphire Black #85 Klara Buhl #05/10 Bayern Munich,"403,310.00 VND",https://www.ebay.com/itm/205335092768,https://i.ebayimg.com/images/g/azEAAOSwTl1nyKj2/s-l140.jpg,"Sold  Mar 12, 2025"
2022-23 Topps Chrome Women's Sapphire Green #27 Klara Buhl #25/99 Bayern,"53,080.80 VND",https://www.ebay.com/itm/197054568605,https://i.ebayimg.com/images/g/IWAAAOSwEIlnvgIs/s-l140.jpg,"Sold  Mar 4, 2025"
2022-23 Topps Bayern Munchen Women's Blue Klara Buhl #48/99 Bayern,"25,759.80 VND",https://www.ebay.com/itm/196953197948,https://i.ebayimg.com/images/g/PR0AAOSwW-BnKg~g/s-l140.jpg,"Sold  Jan 21, 2025"
2023 Topps Team Set Bayern Munchen Klara Buhl Autograph Refractor Germany,"65,050.00 VND",https://www.ebay.com/itm/365455137863,https://i.ebayimg.com/images/g/LSQAAOSwI85n0OaP/s-l140.jpg,"Sold  Mar 16, 2025"
TOPPS AITANA BONMATI PLATINUM PARALLEL KLARA BUHL BAYERN MUNICH 54/99,"49,438.00 VND",https://www.ebay.com/itm/286240495683,https://i.ebayimg.com/images/g/2iwAAOSwxeBnbBob/s-l140.jpg,"Sold  Mar 14, 2025"
Topps Bayern Women Team Set 22-23 - Klara Buhl 11/25 Auto,"533,722.24 VND",https://www.ebay.com/itm/396184302833,https://i.ebayimg.com/images/g/-QoAAOSwwDhnVJmA/s-l140.jpg,"Sold  Feb 23, 2025"
Klara Buhl + Leroy Sane - Topps Bayern Munich Team Set 2022 - Gold /15,"370,360.87 VND",https://www.ebay.com/itm/226152157970,https://i.ebayimg.com/images/g/Zp4AAOSwL5pmSRQe/s-l140.jpg,"Sold  Feb 18, 2025"
2024 Topps Bayern Munich Forever Klara Buhl Auto # AUTOGRAPH WA-KB,"260,200.00 VND",https://www.ebay.com/itm/365375673407,https://i.ebayimg.com/images/g/JKMAAOSwT5dnn4kM/s-l140.jpg,"Sold  Feb 12, 2025"
