Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select FIFA Krasimir Balakov Silver Auto Sporting CP,"257,850.00 VND",https://www.ebay.com/itm/405367568039,https://i.ebayimg.com/images/g/KhwAAOSwi~1nPRhe/s-l140.jpg,"Sold  Mar 16, 2025"
2023-24 Panini Select FIFA - Krasimir Balakov - 1/1 AUTO - Sporting CP Legend!,"6,446,250.00 VND",https://www.ebay.com/itm/226600115294,https://i.ebayimg.com/images/g/pDwAAOSwytdnsSRI/s-l140.jpg,"Sold  Feb 15, 2025"
2023-24 Panini Immaculate Soccer Krasimir Balakov Ink Auto #/99 SP Sporting CP,"322,312.50 VND",https://www.ebay.com/itm/226632052616,https://i.ebayimg.com/images/g/6xsAAeSw7w9nyPH8/s-l140.jpg,"Sold  Mar 12, 2025"
2023-24 Immaculate Soccer - Krasimir Balakov Auto /99 Sporting CP,"644,625.00 VND",https://www.ebay.com/itm/306148572367,https://i.ebayimg.com/images/g/2wsAAeSwRtZnwqvk/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Panini Immaculate Soccer Krasimir Balakov Sporting CP Auto /99,"644,625.00 VND",https://www.ebay.com/itm/306151029694,https://i.ebayimg.com/images/g/Z18AAOSwi11nw83l/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Immaculate Soccer - Krasimir Balakov Auto /99 Sporting CP,"747,765.00 VND",https://www.ebay.com/itm/256836611071,https://i.ebayimg.com/images/g/KEQAAOSwQ71nwc0g/s-l140.jpg,"Sold  Mar 5, 2025"
2023-24 Panini Immaculate Collection Krasimir Balakov Auto /99 Sporting CP IA-KB,"286,220.00 VND",https://www.ebay.com/itm/235991764136,https://i.ebayimg.com/images/g/zXgAAOSwBaxnyPMY/s-l140.jpg,"Sold  Mar 11, 2025"
2023-24 Panini Immaculate Collection Krasimir Balakov Auto 13/99 Sporting CP,"390,039.80 VND",https://www.ebay.com/itm/197104547026,https://i.ebayimg.com/images/g/fXcAAOSwYnRn0t~h/s-l140.jpg,"Sold  Mar 15, 2025"
Krasimir Balakov 2023-24 Panini Select FIFA Silver Prizm Auto Sporting Portugal,"128,925.00 VND",https://www.ebay.com/itm/316255842501,https://i.ebayimg.com/images/g/5AUAAeSwKM9nrL88/s-l140.jpg,"Sold  Mar 3, 2025"
Krasimir Balakov 2023-24 Panini Select FIFA Signatures Auto Silver Sporting CP,"244,957.50 VND",https://www.ebay.com/itm/256801610777,https://i.ebayimg.com/images/g/yloAAOSwaQpnnRX0/s-l140.jpg,"Sold  Feb 9, 2025"
Krasimir Balakov - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/235979956531,https://i.ebayimg.com/images/g/YHQAAeSwEJlnwVJn/s-l140.jpg,"Sold  Mar 1, 2025"
