Title,Price,Link,Image Link,Sold Date
2018 Panini Prizm World Cup - #80 Kylian Mbappe PSA 9,"825,120.00 VND",https://www.ebay.com/itm/306144733815,https://i.ebayimg.com/images/g/pFYAAOSwRvhnwIrF/s-l140.jpg,"Sold  Apr 6, 2025"
2018 Prizm World Cup Kylian Mbappe HGA 9 ,"257,592.15 VND",https://www.ebay.com/itm/286450041567,https://i.ebayimg.com/images/g/4XUAAOSwkFVn6Xid/s-l140.jpg,"Sold  Apr 6, 2025"
2018 Panini Prizm World Cup Black Gold Wave #80 Kylian Mbappe BGS 9.5,"18,049,500.00 VND",https://www.ebay.com/itm/316021969996,https://i.ebayimg.com/images/g/6l0AAOSwvMtnTo-W/s-l140.jpg,"Sold  Mar 22, 2025"
2018 Panini Prizm World Cup Prizms Orange #80 Kylian Mbappe /65 BGS 9.5,"92,826,000.00 VND",https://www.ebay.com/itm/365409269942,https://i.ebayimg.com/images/g/oAAAAeSwsvJnth2S/s-l140.jpg,"Sold  Mar 19, 2025"
2018 Panini Prizm World Cup Kylian Mbappe New Era PSA 10,"1,288,992.15 VND",https://www.ebay.com/itm/187003259164,https://i.ebayimg.com/images/g/oekAAeSwDF9nwmbM/s-l140.jpg,"Sold  Mar 18, 2025"
2018 Panini Prizm World Cup Kylian Mbappe #80 PSA 10 RC Rookie,"2,062,800.00 VND",https://www.ebay.com/itm/316503557713,https://i.ebayimg.com/images/g/f~gAAeSw-pRn1yNW/s-l140.jpg,"Sold  Mar 18, 2025"
2018 Panini Prizm World Cup - Kylian Mbappe #80,"1,315,035.00 VND",https://www.ebay.com/itm/376055681725,https://i.ebayimg.com/images/g/2VEAAeSw3e9nzeqp/s-l140.jpg,"Sold  Mar 16, 2025"
2018 Panini Prizm World Cup - #80 Kylian Mbappe PSA 9,"825,120.00 VND",https://www.ebay.com/itm/306144737388,https://i.ebayimg.com/images/g/2bQAAOSw0gJnwIsM/s-l140.jpg,"Sold  Mar 14, 2025"
2022 Panini Prizm World Cup #101 Kylian Mbappe,"77,355.00 VND",https://www.ebay.com/itm/315774999674,https://i.ebayimg.com/images/g/MDUAAeSwWZNn8n4j/s-l140.jpg,"Sold  Mar 13, 2025"
2018 Panini Prizm World Cup - #80 Kylian Mbappe,"825,120.00 VND",https://www.ebay.com/itm/306144740432,https://i.ebayimg.com/images/g/nmYAAOSwhwRnwIto/s-l140.jpg,"Sold  Mar 13, 2025"
2022 Panini Prizm World Cup #101 Kylian Mbappe FRANCE PSA 9 MINT,"399,667.50 VND",https://www.ebay.com/itm/146429558794,https://i.ebayimg.com/images/g/PSoAAeSwLH9nx8UJ/s-l140.jpg,"Sold  Mar 11, 2025"
2018 Panini Purple Prizm World Cup Soccer #80 Kylian Mbappe RC 78/99 PSA 9,"45,897,300.00 VND",https://www.ebay.com/itm/388029005050,https://i.ebayimg.com/images/g/xykAAOSw7PBntP7O/s-l140.jpg,"Sold  Mar 10, 2025"
