Title,Price,Link,Image Link,Sold Date
2014 Panini Prizm World Cup Captains #18 Landon Donovan Red Prizm /149 PSA 10,"4,983,724.80 VND",https://www.ebay.com/itm/176901375096,https://i.ebayimg.com/images/g/8fMAAOSwmWpjIorf/s-l140.jpg,"Sold  Mar 30, 2025"
2014 Panini Prizm World Cup #70 Landon Donovan - Red Prizm /149 USA!,"902,475.00 VND",https://www.ebay.com/itm/126959902544,https://i.ebayimg.com/images/g/1-gAAOSwB0tnvI2d/s-l140.jpg,"Sold  Mar 3, 2025"
2014 Panini Prizm World Cup Captains Prizm #18 Landon Donovan USA,"129,182.85 VND",https://www.ebay.com/itm/267109803563,https://i.ebayimg.com/images/g/gWYAAOSwL2pnWv1M/s-l140.jpg,"Sold  Jan 5, 2025"
2002 Panini World Cup Landon Donovan #118 Rookie Card,"514,410.75 VND",https://www.ebay.com/itm/316561964340,https://i.ebayimg.com/images/g/0JYAAOSwjxFn5i0V/s-l140.jpg,"Sold  Mar 27, 2025"
2002 Panini World Cup Landon Donovan RC #118 USA PSA 8,"554,377.50 VND",https://www.ebay.com/itm/375979708814,https://i.ebayimg.com/images/g/tewAAeSwu09npnBE/s-l140.jpg,"Sold  Feb 12, 2025"
2010 Panini FIFA World Cup South Africa Landon Donovan #185,"251,145.90 VND",https://www.ebay.com/itm/335848094336,https://i.ebayimg.com/images/g/fRUAAeSwSPBnyc8M/s-l140.jpg,"Sold  Mar 26, 2025"
2010 Panini World Cup South Africa #185 Landon Donovan PSA 10,"2,578,500.00 VND",https://www.ebay.com/itm/315692890849,https://i.ebayimg.com/images/g/GqwAAOSwwjZmyBY0/s-l140.jpg,"Sold  Jan 5, 2025"
LANDON DONOVAN 2022 Panini National Treasures FIFA Archive Ink On Card Auto /49,"2,577,210.75 VND",https://www.ebay.com/itm/326489458535,https://i.ebayimg.com/images/g/~a8AAeSwzOBn1xqx/s-l140.jpg,"Sold  Mar 25, 2025"
LANDON DONOVAN 2022 National Treasures FIFA Archive Ink On Card Auto /99,"2,320,392.15 VND",https://www.ebay.com/itm/197130862919,https://i.ebayimg.com/images/g/LUUAAeSwnNtn3JLf/s-l140.jpg,"Sold  Mar 23, 2025"
LANDON DONOVAN 2022 Panini National Treasures FIFA Archive Ink On Card Auto /99,"2,578,500.00 VND",https://www.ebay.com/itm/235744230189,https://i.ebayimg.com/images/g/0sEAAOSw3IVm5fFU/s-l140.jpg,"Sold  Mar 4, 2025"
2021-22 LANDON DONOVAN AUTO PANINI MOSAIC PREMIER LEAGUE SCRIPTS SILVER,"773,292.15 VND",https://www.ebay.com/itm/155096813213,https://i.ebayimg.com/images/g/988AAOSw1EFi4I~O/s-l140.jpg,"Sold  Mar 20, 2025"
2021-22 LANDON DONOVAN AUTO PANINI PRIZM PREMIER LEAGUE CHOICE SILVER FLASHBACK,"438,087.15 VND",https://www.ebay.com/itm/156173626812,https://i.ebayimg.com/images/g/McIAAOSwtgpmIcrL/s-l140.jpg,"Sold  Mar 12, 2025"
2021-22 LANDON DONOVAN AUTO PANINI MOSAIC PREMIER LEAGUE SCRIPTS SILVER,"541,227.15 VND",https://www.ebay.com/itm/156223664418,https://i.ebayimg.com/images/g/tH8AAOSwn29ivmra/s-l140.jpg,"Sold  Mar 9, 2025"
2021-22 LANDON DONOVAN AUTO PANINI PRIZM PREMIER LEAGUE BREAKAWAY SILVER,"438,087.15 VND",https://www.ebay.com/itm/156142687059,https://i.ebayimg.com/images/g/7r4AAOSwa8RmBMeO/s-l140.jpg,"Sold  Jan 23, 2025"
2021-22 LANDON DONOVAN AUTO PANINI MOSAIC PREMIER LEAGUE SCRIPTS SILVER,"515,442.15 VND",https://www.ebay.com/itm/335763858760,https://i.ebayimg.com/images/g/C5AAAOSw4WVnf~-E/s-l140.jpg,"Sold  Jan 23, 2025"
2002 Panini World Cup Japanese Edition #149 Landon Donovan USA RC Rookie,"80,707.05 VND",https://www.ebay.com/itm/267183645578,https://i.ebayimg.com/images/g/y7oAAOSwkYtnvamK/s-l140.jpg,"Sold  Mar 16, 2025"
2002 Panini FIFA World Cup #118 Landon Donovan USA RC Rookie,"65,493.90 VND",https://www.ebay.com/itm/256850323947,https://i.ebayimg.com/images/g/5ucAAOSw9EFnvZ~J/s-l140.jpg,"Sold  Mar 16, 2025"
Landon Donovan ~ 2014 Panini Prizm World Cup #18/99 NET FINDERS  🇺🇸 USA ⚽️,"399,667.50 VND",https://www.ebay.com/itm/126970015421,https://i.ebayimg.com/images/g/erMAAOSwGclnw7s4/s-l140.jpg,"Sold  Mar 8, 2025"
Landon Donovan 2014 Panini Prizm World Cup NET FINDERS #/199🇺🇸 USA ⚽️,"296,527.50 VND",https://www.ebay.com/itm/126967617528,https://i.ebayimg.com/images/g/0fQAAOSwBqJnwhjD/s-l140.jpg,"Sold  Mar 7, 2025"
2014 Panini Prizm World Cup Soccer Landon Donovan PSA 10 Gem Mint #70 USA,"1,288,992.15 VND",https://www.ebay.com/itm/374339426118,https://i.ebayimg.com/images/g/nmAAAOSwuWpjZqOi/s-l140.jpg,"Sold  Mar 6, 2025"
2014 Panini Prizm World Cup Soccer #70 Landon Donovan PSA 10 GEM MINT ,"1,160,325.00 VND",https://www.ebay.com/itm/354458307725,https://i.ebayimg.com/images/g/3JQAAOSwrXZjnTQQ/s-l140.jpg,"Sold  Feb 14, 2025"
2021-22 LANDON DONOVAN 27/99 AUTO PANINI IMPECCABLE PREMIER LEAGUE AUTOGRAPHS,"902,217.15 VND",https://www.ebay.com/itm/156395551727,https://i.ebayimg.com/images/g/61gAAOSwLRJm26aK/s-l140.jpg,"Sold  Mar 6, 2025"
2021-22 LANDON DONOVAN AUTO PANINI REVOLUTION PREMIER LEAGUE AUTOGRAPHS,"515,442.15 VND",https://www.ebay.com/itm/156513978570,https://i.ebayimg.com/images/g/DGEAAOSwUxZnNAXV/s-l140.jpg,"Sold  Feb 26, 2025"
2022 Panini Eminence FIFA World Cup Landon Donovan Grand Signatures Auto USA /5,"2,849,242.50 VND",https://www.ebay.com/itm/365427653419,https://i.ebayimg.com/images/g/9McAAOSwHehnv9CR/s-l140.jpg,"Sold  Mar 3, 2025"
2022 Panini Eminence FIFA World Cup Landon Donovan #80 Autographs Auto USA /10,"2,978,167.50 VND",https://www.ebay.com/itm/365322343683,https://i.ebayimg.com/images/g/IbUAAOSwCVFneKkR/s-l140.jpg,"Sold  Jan 10, 2025"
2014 Panini Prizm FIFA World Cup Brazil Landon Donovan Captains Prizms #18,"141,817.50 VND",https://www.ebay.com/itm/376023737731,https://i.ebayimg.com/images/g/uHsAAeSw-hxnviPB/s-l140.jpg,"Sold  Mar 2, 2025"
2014 Panini Prizm FIFA World Cup Brazil Landon Donovan Net Finders Prizms #25,"25,527.15 VND",https://www.ebay.com/itm/126962049231,https://i.ebayimg.com/images/g/bVQAAeSwShdnviOi/s-l140.jpg,"Sold  Mar 2, 2025"
2014 Panini Prizm FIFA World Cup Brazil Stars Landon Donovan USA #39,"77,097.15 VND",https://www.ebay.com/itm/315426189494,https://i.ebayimg.com/images/g/0P0AAOSw6j5mZP~M/s-l140.jpg,"Sold  Jan 22, 2025"
2018 Panini Eminence Soccer Landon Donovan auto autograph USA LA Galaxy San Jose,"7,709,715.00 VND",https://www.ebay.com/itm/186931160894,https://i.ebayimg.com/images/g/dXwAAOSw94dnpOrd/s-l140.jpg,"Sold  Feb 22, 2025"
2018 Panini Eminence Soccer Landon Donovan auto autograph USA LA Galaxy San Jose,"7,709,715.00 VND",https://www.ebay.com/itm/186805588680,https://i.ebayimg.com/images/g/LH4AAOSwQmxnBf1~/s-l140.jpg,"Sold  Jan 26, 2025"
2021-22 Mosaic Premier League Landon Donovan Scripts Auto Mosaic Prizm,"515,442.15 VND",https://www.ebay.com/itm/387899736766,https://i.ebayimg.com/images/g/PMEAAOSw0kNnpU6p/s-l140.jpg,"Sold  Feb 22, 2025"
2021 Mosaic Premier League Landon Donovan Scripts Auto #SM-LDO,"399,667.50 VND",https://www.ebay.com/itm/126895263075,https://i.ebayimg.com/images/g/HmEAAOSwifVnj~2C/s-l140.jpg,"Sold  Jan 26, 2025"
2010 Panini Adrenalyn XL FIFA World Cup Champion Landon Donovan USA REFRACTOR,"25,527.15 VND",https://www.ebay.com/itm/135517908185,https://i.ebayimg.com/images/g/z68AAOSwTVlnlXiC/s-l140.jpg,"Sold  Feb 2, 2025"
2010 Panini Adrenalyn XL FIFA World Cup Champion Landon Donovan USA,"220,461.75 VND",https://www.ebay.com/itm/267123217819,https://i.ebayimg.com/images/g/AlkAAOSwOi5nePf2/s-l140.jpg,"Sold  Jan 19, 2025"
Landon Donovan 2022 Topps Allen & Ginter #184 Soccer Card,"48,217.95 VND",https://www.ebay.com/itm/315956376143,https://i.ebayimg.com/images/g/I1cAAOSwolFmwj8P/s-l140.jpg,"Sold  Jan 20, 2025"
Landon Donovan 2022 Topps Allen & Ginter #184 SOCCER Card,"46,155.15 VND",https://www.ebay.com/itm/256573414227,https://i.ebayimg.com/images/g/DMkAAOSwyDZmlT0i/s-l140.jpg,"Sold  Jan 20, 2025"
Landon Donovan 2022 Topps Allen & Ginter #184 SOCCER Card,"46,155.15 VND",https://www.ebay.com/itm/256573414163,https://i.ebayimg.com/images/g/iAwAAOSw8UhmlT1b/s-l140.jpg,"Sold  Jan 6, 2025"
2014 Prizm World Cup Stars Landon Donovan Silver Prizms Refractor USA WCS b,"154,452.15 VND",https://www.ebay.com/itm/176831145818,https://i.ebayimg.com/images/g/TcsAAOSwm3NjAtT6/s-l140.jpg,"Sold  Apr 1, 2025"
2014 Prizm World Cup Landon Donovan Captains BLUE Prizm #170/199 USA,"773,292.15 VND",https://www.ebay.com/itm/187075216014,https://i.ebayimg.com/images/g/ttMAAOSwSZln4XUN/s-l140.jpg,"Sold  Apr 1, 2025"
2014 PANINI PRIZM WORLD CUP LANDON DONOVAN BASE CARD PSA 10 GEM MINT,"680,032.00 VND",https://www.ebay.com/itm/297003691835,https://i.ebayimg.com/images/g/2r4AAOSwmkNnqj7y/s-l140.jpg,"Sold  Mar 31, 2025"
Landon Donovan—Rookie—2002 Panini World Cup—Korea/Japan Sticker—Black Back—PSA 8,"902,475.00 VND",https://www.ebay.com/itm/236001090343,https://i.ebayimg.com/images/g/-N4AAeSwXkNn0bSh/s-l140.jpg,"Sold  Mar 31, 2025"
