Title,Price,Link,Image Link,Sold Date
2021-22 Topps Chrome UEFA Women Champions League Leah Williamson Gold /50 PSA 9,"4,061,137.50 VND",https://www.ebay.com/itm/176965363074,https://i.ebayimg.com/images/g/p3YAAOSwNaBnrt9i/s-l500.jpg,"Sold  Apr 6, 2025"
2021-22 Topps Chrome UEFA Women's Champions League #38 Leah Williamson,"116,032.50 VND",https://www.ebay.com/itm/166935121341,https://i.ebayimg.com/images/g/PoUAAeSwj~dn6O-8/s-l140.jpg,"Sold  Jan 25, 2025"
2021-22 Topps Chrome UEFA Women Champions League Leah Williamson Gold /50 PSA 9,"4,061,137.50 VND",https://www.ebay.com/itm/176965363074,https://i.ebayimg.com/images/g/p3YAAOSwNaBnrt9i/s-l140.jpg,"Sold  Apr 6, 2025"
2021-22 Topps Chrome UEFA Women's Champions League #38 Leah Williamson gold /50,"3,094,200.00 VND",https://www.ebay.com/itm/306218904658,https://i.ebayimg.com/images/g/tqIAAOSws-l140n7ojB/s-l500.jpg,"Sold  Apr 4, 2025"
Leah Williamson - TOPPS Chrome UEFA WCL 2022/23,"131,255.06 VND",https://www.ebay.com/itm/276376606356,https://i.ebayimg.com/images/g/-BkAAOSwK85l73KS/s-l140.jpg,"Sold  Aug 24, 2024"
Leah Williamson 2022-23 Topps Chrome UEFA Women's #6 Blue Mojo Refractor /250,"644,367.15 VND",https://www.ebay.com/itm/305888776419,https://i.ebayimg.com/images/g/6eIAAOSw2EZnKv-P/s-l140.jpg,"Sold  Mar 10, 2025"
Leah Williamson (England) 2023 Panini Family/McDonalds Womens World Cup Sticker,"231,807.15 VND",https://www.ebay.com/itm/187016449376,https://i.ebayimg.com/images/g/~m4AAOSwOYlnxvcQ/s-l140.jpg,"Sold  Mar 9, 2025"
Leah Williamson sticker #35  England - 2022 Panini UEFA Women's Euro,"102,882.15 VND",https://www.ebay.com/itm/186035745284,https://i.ebayimg.com/images/g/7lYAAOSwUP5k2wmA/s-l140.jpg,"Sold  Mar 9, 2025"
2022 Chrome UEFA Women's Champions League Aqua Prism Refractor Leah Williamson,"70,908.75 VND",https://www.ebay.com/itm/135462067634,https://i.ebayimg.com/images/g/7UcAAOSwu6VnamPE/s-l140.jpg,"Sold  Mar 8, 2025"
Leah Williamson 2023 Donruss FIFA Womens World Cup SILVER #55 PSA 10 POP 1,"2,578,242.15 VND",https://www.ebay.com/itm/135057997538,https://i.ebayimg.com/images/g/WyQAAOSwE4ZmQtA8/s-l140.jpg,"Sold  Mar 4, 2025"
2023 Panini Donruss FIFA Women's World Cup National Landmarks Leah Williamson #6,"2,089,616.40 VND",https://www.ebay.com/itm/235948288792,https://i.ebayimg.com/images/g/cKEAAeSwwt5npluH/s-l140.jpg,"Sold  Mar 4, 2025"
Leah Williamson 2022-23 Topps Chrome UEFA Women's #6 Blue Mojo Refractor /250,"180,237.15 VND",https://www.ebay.com/itm/396161455467,https://i.ebayimg.com/images/g/r4YAAOSwUpdnmyV0/s-l140.jpg,"Sold  Mar 3, 2025"
2023 Donruss Womens World Cup Leah Williamson National Landmarks PSA 9,"1,138,923.45 VND",https://www.ebay.com/itm/387956865931,https://i.ebayimg.com/images/g/jPQAAeSwivtnssxV/s-l140.jpg,"Sold  Feb 23, 2025"
PANINI FIFA WOMEN'S WORLD CUP-2023- #213-ENGLAND-LEAH WILLIAMSON,"41,536.41 VND",https://www.ebay.com/itm/176621182850,https://i.ebayimg.com/images/g/bGMAAOSwtfFm9yoo/s-l140.jpg,"Sold  Feb 23, 2025"
2023 Donruss FIFA Women's World Cup #55 Leah Williamson 251/299 England,"257,592.15 VND",https://www.ebay.com/itm/176565843219,https://i.ebayimg.com/images/g/zFMAAOSw6CRm3b-w/s-l140.jpg,"Sold  Feb 19, 2025"
2023 Topps Chrome UEFA Womens | Leah Williamson Arsenal | Aqua Refractor!,"77,355.00 VND",https://www.ebay.com/itm/296950634392,https://i.ebayimg.com/images/g/zXIAAOSwqkRni8Nh/s-l140.jpg,"Sold  Jan 26, 2025"
Panini Adrenalyn XL World Cup 2023 #283 - Leah Williamson - Titan,"28,250.05 VND",https://www.ebay.com/itm/166483590183,https://i.ebayimg.com/images/g/s~AAAOSw8TFlcO2w/s-l140.jpg,"Sold  Jan 16, 2025"
Leah Williamson 2023 Donruss FIFA Womens World Cup RED /299 England,"128,667.15 VND",https://www.ebay.com/itm/405036414593,https://i.ebayimg.com/images/g/6PoAAOSwQnNma7id/s-l140.jpg,"Sold  Jan 15, 2025"
Panini World Cup 2023 Trading Card #283 - Leah Williamson - Titanium,"118,367.69 VND",https://www.ebay.com/itm/305045733091,https://i.ebayimg.com/images/g/ojkAAOSwTNlkw6V3/s-l140.jpg,"Sold  Jan 14, 2025"
2023 Panini Adrenalyn XL FIFA Women's World Cup Hero Leah Williamson #67,"73,229.40 VND",https://www.ebay.com/itm/335730287377,https://i.ebayimg.com/images/g/o7oAAOSwkHxnXnMA/s-l140.jpg,"Sold  Jan 10, 2025"
