Title,Price,Link,Image Link,Sold Date
2023 Panini Donruss FIFA Women's World Cup Star Status Orange 6/49 Lena Oberdorf,"83,801.25 VND",https://www.ebay.com/itm/335855245406,https://i.ebayimg.com/images/g/MuUAAeSw52JnzzQU/s-l140.jpg,"Sold  Mar 19, 2025"
2023 Panini Donruss World Cup Melanie Leupolz Lena Oberdorf Dabritz RC Germany,"32,231.25 VND",https://www.ebay.com/itm/365457573123,https://i.ebayimg.com/images/g/t-0AAOSwO5Fn0lAx/s-l140.jpg,"Sold  Mar 17, 2025"
2022-23 Topps Chrome UEFA Women's LENA OBERDORF #5 NEON GREEN PRISM /99,"256,560.75 VND",https://www.ebay.com/itm/285843340839,https://i.ebayimg.com/images/g/3xIAAOSw7D1mNYJ3/s-l140.jpg,"Sold  Mar 14, 2025"
2022-23 Topps Chrome UEFA Womens Soccer Rose Gold Lena Oberdorf /125 #5,"128,667.15 VND",https://www.ebay.com/itm/267136778913,https://i.ebayimg.com/images/g/U8EAAOSw2Z9nlow6/s-l140.jpg,"Sold  Mar 13, 2025"
2023 Topps Chrome UEFA Womens | Lena Oberdorf VFL Wolfsburg | Rose Gold 45/125!,"257,850.00 VND",https://www.ebay.com/itm/296759386836,https://i.ebayimg.com/images/g/CGUAAOSw~y1nEee-/s-l140.jpg,"Sold  Mar 12, 2025"
2024 Upper Deck Goodwin Champions Lena Oberdorf Goudey Auto Soccer Rookie,"348,097.50 VND",https://www.ebay.com/itm/365421735727,https://i.ebayimg.com/images/g/88sAAOSwEJtnvSwe/s-l140.jpg,"Sold  Mar 1, 2025"
2023 Panini Donruss World Cup  Lena Oberdorf Star Status Red 90/299 Germany,"25,785.00 VND",https://www.ebay.com/itm/365419501167,https://i.ebayimg.com/images/g/tY0AAOSwGbNnu8-P/s-l140.jpg,"Sold  Feb 28, 2025"
2022-23 Topps Simplicidad UEFA Club Competitions Lena Oberdorf,"99,272.25 VND",https://www.ebay.com/itm/235953801918,https://i.ebayimg.com/images/g/jpkAAeSwce5n0EQ6/s-l140.jpg,"Sold  Feb 22, 2025"
2024 UD Goodwin Champions Lena Oberdorf Rookie Autographs Soccer Card #A-LO,"17,952.84 VND",https://www.ebay.com/itm/167309271087,https://i.ebayimg.com/images/g/QHkAAOSwS55nq8qv/s-l140.jpg,"Sold  Feb 16, 2025"
2023 Topps Lena Oberdorf UWCL Knockout Soccer Signed Auto Card Black /10 - PSA 9,"2,578,242.15 VND",https://www.ebay.com/itm/276496530184,https://i.ebayimg.com/images/g/94kAAOSwMylmYM0O/s-l140.jpg,"Sold  Feb 14, 2025"
Lena Oberdorf 2022-23 Topps Chrome UEFA Women's Inferno Refractor Auto /75 #A-LO,"1,546,842.15 VND",https://www.ebay.com/itm/126474820173,https://i.ebayimg.com/images/g/uNMAAOSwV8RmPXqF/s-l140.jpg,"Sold  Feb 13, 2025"
2021-22 Topps Chrome UEFA Womens LENA OBERDORF Green Auto /50 READ,"2,062,800.00 VND",https://www.ebay.com/itm/135501630493,https://i.ebayimg.com/images/g/gIcAAOSw5v5nhtty/s-l140.jpg,"Sold  Feb 12, 2025"
2022-23 Topps Chrome UEFA Women's LENA OBERDORF #5 Orange Refractor /25 JA663,"221,235.30 VND",https://www.ebay.com/itm/176827179100,https://i.ebayimg.com/images/g/ws8AAOSwzqxnpXb7/s-l140.jpg,"Sold  Feb 11, 2025"
2021 Topps Chrome UEFA Women's UCL Lena Oberdorf Auto #BA-LO,"324,375.30 VND",https://www.ebay.com/itm/375956488811,https://i.ebayimg.com/images/g/iugAAeSwAfBnmVLm/s-l140.jpg,"Sold  Feb 2, 2025"
2022 Topps Simplicidad UEFA Rainbow 4/5 Lena Oberdorf PSA 9 MINT Auto,"1,160,325.00 VND",https://www.ebay.com/itm/256784364173,https://i.ebayimg.com/images/g/Xa8AAOSwx5ZniBWR/s-l140.jpg,"Sold  Jan 31, 2025"
2024 Upper Deck Goodwin Champions Lena Oberdorf RC AUTO Soccer,"141,817.50 VND",https://www.ebay.com/itm/365360962233,https://i.ebayimg.com/images/g/6w0AAOSwY2VnkyAx/s-l140.jpg,"Sold  Jan 28, 2025"
2023 Topps Knockout UEFA Women's Champions League Autographs Lena Oberdorf Auto,"631,732.50 VND",https://www.ebay.com/itm/186903834970,https://i.ebayimg.com/images/g/BDIAAOSw9FRnjZUh/s-l140.jpg,"Sold  Jan 26, 2025"
2023 UD Goodwin LENA OBERDORF Rookie Platinum Purple Pulsar /23 SSP Soccer,"117,321.75 VND",https://www.ebay.com/itm/365348090687,https://i.ebayimg.com/images/g/0ioAAOSw6YBnieEl/s-l140.jpg,"Sold  Jan 21, 2025"
2023 UD Metal Universe Champions Aqua Rookie Lena Oberdorf #27 Women's Soccer,"32,746.95 VND",https://www.ebay.com/itm/156452204817,https://i.ebayimg.com/images/g/wmsAAOSw~KVnCD4f/s-l140.jpg,"Sold  Jan 19, 2025"
2023 Skybox Metal Universe Champions Lena Oberdorf #027 Rookie RC Soccer,"46,413.00 VND",https://www.ebay.com/itm/387830529638,https://i.ebayimg.com/images/g/jKYAAOSwD4NniUp1/s-l140.jpg,"Sold  Jan 19, 2025"
