Title,Price,Link,Image Link,Sold Date
2018 Panini Prizm World Cup - Leroy Sane #93 PSA 10,"128,925.00 VND",https://www.ebay.com/itm/267195439566,https://i.ebayimg.com/images/g/wRkAAeSwaFln3LVR/s-l140.jpg,"Sold  Apr 1, 2025"
2018 Panini Prizm World Cup Leroy Sane #93 PSA 10 GEM MT,"193,645.35 VND",https://www.ebay.com/itm/256831537346,https://i.ebayimg.com/images/g/VFoAAeSw8BtnvSaz/s-l140.jpg,"Sold  Mar 10, 2025"
2018 Panini Prizm World Cup Leroy Sane #93 PSA 10 GEM MINT,"244,957.50 VND",https://www.ebay.com/itm/335830413220,https://i.ebayimg.com/images/g/~b4AAeSw8XtnvRuE/s-l140.jpg,"Sold  Mar 6, 2025"
Panini Adrenalyn XL FIFA 365 2025 No. Leroy Sane Premium Limited Edition,"84,467.64 VND",https://www.ebay.com/itm/235783268181,https://i.ebayimg.com/images/g/1MUAAOSw9N9nCpGW/s-l140.jpg,"Sold  Mar 28, 2025"
Panini Adrenalyn XL FIFA 365 2025 No. Leroy Sane Limited Edition,"84,734.28 VND",https://www.ebay.com/itm/235856553326,https://i.ebayimg.com/images/g/jukAAOSwWhxm8cFX/s-l140.jpg,"Sold  Jan 10, 2025"
2018 Panini Prizm World Cup Leroy Sane PINK Lazer Prizms #/40 PSA10 GERMANY,"10,288,215.00 VND",https://www.ebay.com/itm/195135361460,https://i.ebayimg.com/images/g/Eq8AAOSwgFdiqAhU/s-l140.jpg,"Sold  Mar 23, 2025"
2018 Panini Prizm World Cup Leroy Sane #93 Lazer Prizm PSA 9 GERMANY World Cup,"206,280.00 VND",https://www.ebay.com/itm/203824319307,https://i.ebayimg.com/images/g/Hp0AAOSwf95iAB8x/s-l140.jpg,"Sold  Mar 9, 2025"
2018 Panini Prizm World Cup Leroy Sane #93 Lazer Prizm PSA 10 GERMANY World Cup,"141,817.50 VND",https://www.ebay.com/itm/135541392310,https://i.ebayimg.com/images/g/EGQAAeSwcMpnp6kx/s-l140.jpg,"Sold  Feb 15, 2025"
LEROY SANE 2018 PANINI PRIZM FIFA WORLD CUP SOCCER GERMANY PSA 10 Q4082,"158,835.60 VND",https://www.ebay.com/itm/276936530217,https://i.ebayimg.com/images/g/8QoAAeSw~Bpnz0cs/s-l140.jpg,"Sold  Mar 17, 2025"
LEROY SANE 2018 PANINI PRIZM WORLD CUP ROOKIE GERMANY RC PSA 10 Q3743,"128,925.00 VND",https://www.ebay.com/itm/276817718084,https://i.ebayimg.com/images/g/fsAAAOSwq65niBb3/s-l140.jpg,"Sold  Jan 22, 2025"
2022 Prizm World Cup Leroy Sane Blue #148/299 #113,"32,231.25 VND",https://www.ebay.com/itm/126875134281,https://i.ebayimg.com/images/g/jM0AAOSwL5ZngEB-/s-l140.jpg,"Sold  Jan 14, 2025"
2022 Panini Prizm World Cup Leroy Sane Blue #24/299,"154,710.00 VND",https://www.ebay.com/itm/126962050682,https://i.ebayimg.com/images/g/Z7gAAeSwOdBnviRH/s-l140.jpg,"Sold  Mar 2, 2025"
2023 Topps Chrome Sapphire UEFA Leroy Sane Gold #28/50 #186,"51,570.00 VND",https://www.ebay.com/itm/126871600036,https://i.ebayimg.com/images/g/1WoAAOSwbbhnfZ4B/s-l140.jpg,"Sold  Jan 12, 2025"
2023 Topps Chrome Sapphire UEFA Leroy Sane Gold #28/50 #186,"167,602.50 VND",https://www.ebay.com/itm/126902918497,https://i.ebayimg.com/images/g/1WoAAOSwbbhnfZ4B/s-l140.jpg,"Sold  Jan 30, 2025"
2019-20 Panini Prizm Premier League Purple Prizm /99 Leroy Sane #163,"547,673.40 VND",https://www.ebay.com/itm/235891695006,https://i.ebayimg.com/images/g/8acAAOSw-s1ncbJ3/s-l140.jpg,"Sold  Feb 15, 2025"
2019-20 Panini Prizm Premier League Blue Prizm /199 Leroy Sane #163,"154,710.00 VND to 243,668.25 VND",https://www.ebay.com/itm/256766257969,https://i.ebayimg.com/images/g/-hUAAOSw8Y1nn3Jc/s-l140.jpg,"Sold  Jan 26, 2025"
