Title,Price,Link,Image Link,Sold Date
2023 Panini Mosaic Ray Lewis Hall of Fame Green Prizm Baltimore Ravens #273,"55,162.40 VND",https://www.ebay.com/itm/186117769980,https://i.ebayimg.com/images/g/mWcAAOSwQZ1lJ0Ty/s-l140.jpg,"Sold  Mar 30, 2025"
2023 Panini Mosaic Ray Lewis Hall of Fame Green Prizm Baltimore Ravens #273,"25,759.80 VND",https://www.ebay.com/itm/256777031270,https://i.ebayimg.com/images/g/I6MAAOSwZQpnfZlU/s-l140.jpg,"Sold  Jan 14, 2025"
PANINI ADRENALYN XL PREMIER LEAGUE 2025 LEWIS HALL NEWCASTLE STAR SIGNING 502,"32,896.84 VND",https://www.ebay.com/itm/375941394144,https://i.ebayimg.com/images/g/VZQAAOSws1FnXKIX/s-l140.jpg,"Sold  Jan 23, 2025"
2024-25 Futera Newcastle United Lewis Hall Emerald Parallel /7 #NB06,"85,866.00 VND",https://www.ebay.com/itm/405664747408,https://i.ebayimg.com/images/g/kBwAAeSwLABn1jbt/s-l140.jpg,"Sold  Mar 23, 2025"
1997 Topps #239 Ray Lewis Hall of Fame - Minted in Canton,"467,059.00 VND",https://www.ebay.com/itm/387257004265,https://i.ebayimg.com/images/g/oegAAOSwzz9mrB5Y/s-l140.jpg,"Sold  Mar 18, 2025"
1984 RGI Ron Lewis Hall of Famers Singles You Pick,"38,769.80 VND to 77,799.80 VND",https://www.ebay.com/itm/134782838062,https://i.ebayimg.com/images/g/GzUAAOSwTtRlOhMg/s-l140.jpg,"Sold  Feb 26, 2025"
2023 Panini Mosaic Ray Lewis Hall of Fame 273 Green Fluorescent Prizm /10 PSA 10,"1,821,139.80 VND",https://www.ebay.com/itm/146414684115,https://i.ebayimg.com/images/g/x1wAAeSwsY9nvmL4/s-l140.jpg,"Sold  Feb 26, 2025"
2022-23 Panini Chronicles Certified #135 LEWIS HALLRookie RC Gold /10,"2,081,339.80 VND",https://www.ebay.com/itm/156614620500,https://i.ebayimg.com/images/g/qFsAAOSwhvpndiNz/s-l140.jpg,"Sold  Jan 15, 2025"
Topps Match Attax 2024 #218 Lewis Hall Newcastle Emerald Parallel,"66,381.70 VND",https://www.ebay.com/itm/167270840468,https://i.ebayimg.com/images/g/aywAAOSwD59nksbS/s-l140.jpg,"Sold  Apr 7, 2025"
"2022 Panini Chronicles Base, Red Certified Lewis Hall #135 Rookie ","28,489.30 VND",https://www.ebay.com/itm/388089857207,https://i.ebayimg.com/images/g/iRQAAeSwpxFn0Dtn/s-l140.jpg,"Sold  Mar 22, 2025"
Lewis Hall Red Insert Card – Newcastle United – DAKA – Limited Edition,"66,715.28 VND",https://www.ebay.com/itm/176861795450,https://i.ebayimg.com/images/g/XZQAAOSwSOJnt5Q2/s-l140.jpg,"Sold  Feb 27, 2025"
