Title,Price,Link,Image Link,Sold Date
Panini Prizm 2023-24 Premier League Soccer No. 72 Lewis Miley Rookie,"33,229.13 VND",https://www.ebay.com/itm/335823212395,https://i.ebayimg.com/images/g/ofoAAOSw0d5mE91K/s-l140.jpg,"Sold  Mar 19, 2025"
Panini Prizm 2023-24 Premier League No. 71 Lewis Miley Rookie Silver Prizm,"52,502.02 VND",https://www.ebay.com/itm/335859153495,https://i.ebayimg.com/images/g/SYwAAOSwnT1n0cac/s-l140.jpg,"Sold  Mar 19, 2025"
2023-24 Panini Impeccable Premier League SC Lewis Miley Rookie Metal 21/22 RC,"348,097.50 VND",https://www.ebay.com/itm/375998673402,https://i.ebayimg.com/images/g/a0YAAOSwsMFnsQNm/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Impeccable Premier League SC Lewis Miley Rookie Metal 17/22 RC,"631,732.50 VND",https://www.ebay.com/itm/375998673398,https://i.ebayimg.com/images/g/rs8AAOSwhgtnsQKC/s-l140.jpg,"Sold  Feb 22, 2025"
2023 Select Premier League Lewis Miley RC Auto #SS-LM,"180,495.00 VND",https://www.ebay.com/itm/127025400264,https://i.ebayimg.com/images/g/J8EAAeSwWeFn6v6t/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Select Premier League Lewis Miley RC RED Prizm Auto SS-LM,"773,550.00 VND",https://www.ebay.com/itm/356729272673,https://i.ebayimg.com/images/g/WscAAeSwkfln7DPi/s-l140.jpg,"Sold  Apr 3, 2025"
2023-24 Panini Select Premier League Lewis Miley RC Auto Silver Prizm SS-LM,"670,410.00 VND",https://www.ebay.com/itm/156382500429,https://i.ebayimg.com/images/g/pg8AAOSwHXFmoHUk/s-l140.jpg,"Sold  Mar 16, 2025"
2023 Select Premier League Lewis Miley Signatures RC Blue Pulsar Auto #SS-LM,"270,742.50 VND",https://www.ebay.com/itm/126976941513,https://i.ebayimg.com/images/g/s2YAAeSwyI5nyK5z/s-l140.jpg,"Sold  Mar 10, 2025"
2023-23 Select Premier League Lewis Miley Blue Pulsar Rookie Auto #SS-LM ,"644,625.00 VND",https://www.ebay.com/itm/376008641582,https://i.ebayimg.com/images/g/fK8AAOSw8-lm0DX8/s-l140.jpg,"Sold  Feb 26, 2025"
2023-24 Topps Finest UEFA #28 Lewis Miley Refractor Rookie RC,"25,785.00 VND",https://www.ebay.com/itm/316583465238,https://i.ebayimg.com/images/g/Vz0AAeSwxN1n64HC/s-l140.jpg,"Sold  Apr 4, 2025"
2023-24 Topps Finest UEFA Lewis Miley #28 Rookie RC (A),"31,148.28 VND",https://www.ebay.com/itm/335862456920,https://i.ebayimg.com/images/g/FggAAOSwhSZnbqAv/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini Prizm Premier League - Lewis Miley #72 Orange Breakaway Prizm,"25,527.15 VND",https://www.ebay.com/itm/135648324754,https://i.ebayimg.com/images/g/bbIAAOSwj31n4g8W/s-l140.jpg,"Sold  Mar 31, 2025"
2023-24  Prizm Premier League Lewis Miley Silver Breakaway Prizm RC #72,"257,592.15 VND",https://www.ebay.com/itm/156343196337,https://i.ebayimg.com/images/g/K2IAAOSwBX9ms5Rx/s-l140.jpg,"Sold  Mar 18, 2025"
2023-24 Panini Prizm English Premier League Emergent #9 Lewis Miley (RC),"19,338.75 VND",https://www.ebay.com/itm/388120638957,https://i.ebayimg.com/images/g/fQcAAOSwLdFny4hu/s-l140.jpg,"Sold  Mar 27, 2025"
2023-24 Panini Prizm English Premier League Prizms Silver #72 Lewis Miley,"90,247.50 VND",https://www.ebay.com/itm/365349218737,https://i.ebayimg.com/images/g/aWgAAeSwpFdn6bUH/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini Choice Prizm PL Soccer #72 Lewis Miley RC Rookie PSA 10 GEM MINT,"554,377.50 VND",https://www.ebay.com/itm/388102585703,https://i.ebayimg.com/images/g/KN8AAOSw6NBn2FPo/s-l140.jpg,"Sold  Mar 24, 2025"
2023-24 Panini Pink Mosaic Prizm PL Soccer #72 Lewis Miley RC Rookie PSA 9 MINT,"219,172.50 VND",https://www.ebay.com/itm/365343325267,https://i.ebayimg.com/images/g/-kgAAOSwUPhnayBR/s-l140.jpg,"Sold  Jan 21, 2025"
2023-24 Panini Select Premier League - Select Future #17 Lewis Miley (RC),"38,419.65 VND",https://www.ebay.com/itm/316116673386,https://i.ebayimg.com/images/g/SNoAAOSwoFdnfpaI/s-l140.jpg,"Sold  Mar 18, 2025"
2023-24 Panini Select Premier League Blue Pulsar Select Future RC - Lewis Miley ,"25,785.00 VND",https://www.ebay.com/itm/167223319507,https://i.ebayimg.com/images/g/8WkAAOSwNi5ndFS8/s-l140.jpg,"Sold  Jan 25, 2025"
2023-24 Panini Select Premier League Blue Pulsar Select Future RC - Lewis Miley ,"51,312.15 VND",https://www.ebay.com/itm/296975272437,https://i.ebayimg.com/images/g/t8gAAOSwSMVnjS6W/s-l140.jpg,"Sold  Feb 25, 2025"
PANINI SELECT PREMIER LEAGUE 2023-24 LEWIS MILEY RC AUTO REFRACTOR NEWCASTLE,"386,775.00 VND",https://www.ebay.com/itm/276869235303,https://i.ebayimg.com/images/g/JA0AAeSwJvtnr50N/s-l140.jpg,"Sold  Mar 18, 2025"
PANINI SELECT PREMIER LEAGUE 2023-24 LEWIS MILEY RC AUTO REFRACTOR NEWCASTLE,"322,312.50 VND",https://www.ebay.com/itm/167275405128,https://i.ebayimg.com/images/g/w8oAAOSwNPtnldUS/s-l140.jpg,"Sold  Feb 1, 2025"
2023-24 Panini Prizm EPL Premier League RC Color Blast Lewis Miley #27,"4,914,621.00 VND",https://www.ebay.com/itm/167281302404,https://i.ebayimg.com/images/g/e8EAAOSwLElnmbjU/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm EPL Premier League RC Color Blast Lewis Miley #27 PSA 10,"13,150,350.00 VND",https://www.ebay.com/itm/146329773704,https://i.ebayimg.com/images/g/N~EAAOSwFpNmUV4P/s-l140.jpg,"Sold  Jan 20, 2025"
2023-24 Panini Prizm EPL Premier League RC Color Blast Lewis Miley #27 PSA 10,"13,150,350.00 VND",https://www.ebay.com/itm/146317129547,https://i.ebayimg.com/images/g/N~EAAOSwFpNmUV4P/s-l140.jpg,"Sold  Jan 12, 2025"
2023 Topps Finest UEFA Lewis Miley Speckle Green RC #/125 #28,"67,298.85 VND",https://www.ebay.com/itm/126881477184,https://i.ebayimg.com/images/g/fXUAAOSwCrtnhX~T/s-l140.jpg,"Sold  Jan 18, 2025"
2023 Topps Finest UEFA Lewis Miley Purple RC #/299 #28,"25,527.15 VND",https://www.ebay.com/itm/375922960411,https://i.ebayimg.com/images/g/NNIAAOSw0exnhX~z/s-l140.jpg,"Sold  Jan 18, 2025"
2023-24 Impeccable Premier League Lewis Miley Ruby Rookie RC #/15 #130,"637,663.05 VND",https://www.ebay.com/itm/375922957854,https://i.ebayimg.com/images/g/8g8AAOSwkURnhX6o/s-l140.jpg,"Sold  Jan 18, 2025"
2023-24 Impeccable English Premier League #130 Lewis Miley RC Rookie Gold /10,"1,160,325.00 VND",https://www.ebay.com/itm/167327336540,https://i.ebayimg.com/images/g/x-oAAOSwDipnSWAZ/s-l140.jpg,"Sold  Feb 26, 2025"
Lewis Miley 2023-24 Panini Obsidian Soccer Newcastle United No 99 85/120 Rookie,"567,012.15 VND",https://www.ebay.com/itm/176709291349,https://i.ebayimg.com/images/g/dmgAAOSwjnhnSSJT/s-l140.jpg,"Sold  Feb 6, 2025"
Lewis Miley 2023-24 Panini Obsidian Soccer Newcastle United No 99 85/120 Rookie,"567,012.15 VND",https://www.ebay.com/itm/176709291349,https://i.ebayimg.com/images/g/dmgAAOSwjnhnSSJT/s-l500.jpg,"Sold  Feb 6, 2025"
2023-24 Museum Collection UEFA Lewis Miley RC AUTO Dual Patch /50,"1,031,400.00 VND",https://www.ebay.com/itm/186931080641,https://i.ebayimg.com/images/g/dtIAAeSwappnpEqV/s-l140.jpg,"Sold  Feb 6, 2025"
2023-24 Museum Collection UEFA Lewis Miley RC AUTO Dual Patch /50,"1,031,400.00 VND",https://www.ebay.com/itm/186931080641,https://i.ebayimg.com/images/g/dtIAAeSwappnpEqV/s-l500.jpg,"Sold  Feb 6, 2025"
Panini Impeccable Premier League 2023-24 Number 130 Lewis Miley Rookie 32/62,"307,360.50 VND",https://www.ebay.com/itm/335826873698,https://i.ebayimg.com/images/g/5DQAAOSwkoJnik7e/s-l140.jpg,"Sold  Feb 25, 2025"
Topps UEFA Club Competitions 23/24 Lewis Miley RC 134/250 ,"28,250.05 VND",https://www.ebay.com/itm/356682949845,https://i.ebayimg.com/images/g/mqgAAeSw1GVn2Wqu/s-l140.jpg,"Sold  Mar 21, 2025"
Topps Chrome Champions League 2024 No. WK-6 Lewis Miley Rookie Sapphire,"52,169.73 VND",https://www.ebay.com/itm/235962674318,https://i.ebayimg.com/images/g/q-UAAOSweO5nsx89/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Topps Museum UEFA Lewis Miley RC Rookie Auto /10 Newcastle United,"6,446,250.00 VND",https://www.ebay.com/itm/365418204606,https://i.ebayimg.com/images/g/qLwAAOSwKUBnuzXT/s-l140.jpg,"Sold  Mar 19, 2025"
2023-24 Panini Obsidian Soccer - Lewis Miley Red Pulsar /49 RC - Newcastle United,"564,718.42 VND",https://www.ebay.com/itm/135541599779,https://i.ebayimg.com/images/g/OiMAAOSwHt1np89n/s-l140.jpg,"Sold  Mar 14, 2025"
2023-24 Panini Impeccable P.L. Soccer Lewis Miley Illustrious Ink Auto 3/5 RC,"4,898,892.15 VND",https://www.ebay.com/itm/376020509671,https://i.ebayimg.com/images/g/TKQAAOSwxyNnvIsW/s-l140.jpg,"Sold  Mar 13, 2025"
2023-24 Topps Chrome UEFA Club Competitions Lewis Miley Auto RC BGS 9 AUTO 10,"889,582.50 VND",https://www.ebay.com/itm/405508501744,https://i.ebayimg.com/images/g/HkQAAOSwOpNnmeZ9/s-l140.jpg,"Sold  Feb 24, 2025"
Topps Chrome Champions League 2024 No. 31 Lewis Miley Rookie Silver Refractor,"70,342.61 VND",https://www.ebay.com/itm/315798231044,https://i.ebayimg.com/images/g/OsIAAOSwsH1m-a5Z/s-l140.jpg,"Sold  Jan 22, 2025"
Topps Merlin Chrome 2024 Champions League No. 67 Lewis Miley Rookie Aqua,"51,837.44 VND",https://www.ebay.com/itm/316127758169,https://i.ebayimg.com/images/g/CIcAAOSwJO1nMnJF/s-l140.jpg,"Sold  Jan 15, 2025"
Lewis Miley 2023-24 Topps UEFA Club Competitions Rookie Auto Foil green rc E,"244,957.50 VND",https://www.ebay.com/itm/356730884693,https://i.ebayimg.com/images/g/pvYAAOSw0Hpn7LPd/s-l500.jpg,"Sold  Apr 7, 2025"
Lewis Miley RC 2023-24 Topps Chrome UEFA Blue Geometric Refractor 029/150,"58,016.25 VND",https://www.ebay.com/itm/376120791650,https://i.ebayimg.com/images/g/d00AAOSwYchn7Lt3/s-l500.jpg,"Sold  Apr 6, 2025"
Lewis Miley RC 2023-24 Topps Chrome UEFA Pink Geometric Refractor 185/250,"51,570.00 VND",https://www.ebay.com/itm/376120580426,https://i.ebayimg.com/images/g/Bg0AAOSwmDVn7KsR/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 TOPPS MERLIN UEFA CLUB COMPETITIONS #67 LEWIS MILEY RC /199 PSA 9,"206,537.85 VND",https://www.ebay.com/itm/297152055130,https://i.ebayimg.com/images/g/o-EAAeSwQaln5Csy/s-l140.jpg,"Sold  Apr 6, 2025"
