Title,Price,Link,Image Link,Sold Date
Lloyd Kelly 2022-23 Panini Impeccable Premier League Soccer 14/18[dbH94,"45,123.75 VND",https://www.ebay.com/itm/376039757960,https://i.ebayimg.com/images/g/RiIAAOSwZOJnxlJr/s-l140.jpg,"Sold  Mar 8, 2025"
Lloyd Kelly 2022-23 Panini Impeccable Premier League Auto Stainless 20/25[dbH94,"187,972.65 VND",https://www.ebay.com/itm/376039756976,https://i.ebayimg.com/images/g/UjwAAOSwrBRnxlIr/s-l140.jpg,"Sold  Mar 8, 2025"
LLOYD KELLY 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2096,"39,030.00 VND",https://www.ebay.com/itm/356734347681,https://i.ebayimg.com/images/g/igkAAOSw6yNn5yEJ/s-l140.jpg,"Sold  Apr 3, 2025"
LLOYD KELLY 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2086,"65,050.00 VND",https://www.ebay.com/itm/356705927642,https://i.ebayimg.com/images/g/CnoAAOSwODFn4cHe/s-l140.jpg,"Sold  Mar 29, 2025"
LLOYD KELLY 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2072,"39,030.00 VND",https://www.ebay.com/itm/356700784269,https://i.ebayimg.com/images/g/830AAOSw415n2GkH/s-l140.jpg,"Sold  Mar 23, 2025"
LLOYD KELLY 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2053,"39,030.00 VND",https://www.ebay.com/itm/356674869747,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 16, 2025"
LLOYD KELLY 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2032,"39,030.00 VND",https://www.ebay.com/itm/356626038682,https://i.ebayimg.com/images/g/~oIAAOSwaxpnvOOy/s-l140.jpg,"Sold  Mar 2, 2025"
LLOYD KELLY 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2022,"65,050.00 VND",https://www.ebay.com/itm/356594410919,https://i.ebayimg.com/images/g/nREAAOSwl2Znt8VA/s-l140.jpg,"Sold  Feb 25, 2025"
Lloyd Kelly AFC Bournemouth 2023-24 Panini Immaculate 1X Case 6X Box Break #9,"64,789.80 VND",https://www.ebay.com/itm/236012637487,https://i.ebayimg.com/images/g/RJoAAOSwYjBn229Q/s-l140.jpg,"Sold  Mar 26, 2025"
Lloyd Kelly AFC Bournemouth 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"64,789.80 VND",https://www.ebay.com/itm/235972593029,https://i.ebayimg.com/images/g/eqcAAOSwVJFnuo9f/s-l140.jpg,"Sold  Feb 27, 2025"
2023-24 Panini Immaculate Lloyd Kelly Boot Memorabilia Relic 14/45 Bournemouth,"169,130.00 VND",https://www.ebay.com/itm/197130758936,https://i.ebayimg.com/images/g/acEAAOSw8Xpn2iOc/s-l140.jpg,"Sold  Mar 25, 2025"
2023-24 Immaculate Lloyd Kelly Boot Memorabilia #13/45 AFC Bournemouth,"403,310.00 VND",https://www.ebay.com/itm/126986385027,https://i.ebayimg.com/images/g/3OQAAeSwUsdnzzaX/s-l140.jpg,"Sold  Mar 15, 2025"
