Title,Price,Link,Image Link,Sold Date
2022-23 Panini Select La Liga Soccer Rc Future Luiz Henrique,"28,250.05 VND",https://www.ebay.com/itm/396187627220,https://i.ebayimg.com/images/g/DeMAAeSwLeZnpK0S/s-l140.jpg,"Sold  Feb 15, 2025"
2023-24 Panini Select La Liga Signatures Luiz Henrique Real Betis,"140,967.73 VND",https://www.ebay.com/itm/405494485878,https://i.ebayimg.com/images/g/wacAAOSwmRdnhlwK/s-l140.jpg,"Sold  Jan 22, 2025"
2023-24 Panini Select La Liga Luiz Henrique Silver Prizm Auto #S-LH KT01,"77,097.15 VND",https://www.ebay.com/itm/396332492478,https://i.ebayimg.com/images/g/CvEAAOSwaW9n2b3A/s-l140.jpg,"Sold  Mar 27, 2025"
Luiz Henrique 2022-23 Panini Select La Liga Select Future RC Pink 25/25 [tom14,"103,140.00 VND",https://www.ebay.com/itm/376056655055,https://i.ebayimg.com/images/g/3hgAAOSwM7Nnzm4N/s-l140.jpg,"Sold  Mar 14, 2025"
Luiz Henrique 2023-24 Select La Liga Tye Dye Prizm Auto #12/25 Real Betis,"257,850.00 VND",https://www.ebay.com/itm/365406321088,https://i.ebayimg.com/images/g/Eh8AAOSwhsxntB0a/s-l140.jpg,"Sold  Feb 22, 2025"
2022 Panini Chronicles Origins La Liga /299 Luiz Henrique #OA-LHE Rookie Auto RC,"273,321.00 VND",https://www.ebay.com/itm/235932122519,https://i.ebayimg.com/images/g/Bj8AAOSwmFRnl1JZ/s-l140.jpg,"Sold  Feb 16, 2025"
2022-23 Panini Select La Liga Select Future Luiz Henrique Pink /25 Rookie RC,"257,592.15 VND",https://www.ebay.com/itm/296979341428,https://i.ebayimg.com/images/g/HMwAAOSwRClnnYfq/s-l140.jpg,"Sold  Feb 1, 2025"
Luiz Henrique 2023-24 Panini Select La Liga #S-LH Signatures Peacock,"773,550.00 VND",https://www.ebay.com/itm/186904094748,https://i.ebayimg.com/images/g/nOYAAOSwJ7hnjcJa/s-l140.jpg,"Sold  Jan 25, 2025"
2022-23 Panini Select La Liga Luiz Henrique Purple Prizm Terrace #68 /75 RC,"257,850.00 VND",https://www.ebay.com/itm/205231653742,https://i.ebayimg.com/images/g/eqQAAOSwwBJni8Pr/s-l140.jpg,"Sold  Jan 24, 2025"
2022 Chronicles Origins La Liga Luiz Henrique Rookie Auto Autograph RC #153/299,"167,602.50 VND",https://www.ebay.com/itm/375900781410,https://i.ebayimg.com/images/g/iAsAAOSwkv1ndvLX/s-l140.jpg,"Sold  Jan 7, 2025"
