Title,Price,Link,Image Link,Sold Date
2022-23 Panini Chronicles Luka Romero Serie A Blue /99 Rookie RC Lazio #13,"92,568.15 VND",https://www.ebay.com/itm/335865030291,https://i.ebayimg.com/images/g/lfsAAOSwKUBl-G-O/s-l140.jpg,"Sold  Mar 26, 2025"
2022-23 Panini Chronicles Luka Romero Serie A Chronicles Red /199 #13 Rookie RC,"128,667.15 VND",https://www.ebay.com/itm/335402510156,https://i.ebayimg.com/images/g/5pAAAOSwY8pmTASN/s-l140.jpg,"Sold  Feb 13, 2025"
2023-24 Select La Liga #188 Luka Romero Pink Mojo #/115 SP Almeria Mezzanine,"77,355.00 VND",https://www.ebay.com/itm/204922449272,https://i.ebayimg.com/images/g/posAAOSwPDZmr5PL/s-l140.jpg,"Sold  Mar 4, 2025"
2023-24 Select La Liga #188 Luka Romero Winter Camo #/99 SP Almeria Mezzanine,"77,355.00 VND",https://www.ebay.com/itm/135111643166,https://i.ebayimg.com/images/g/0LwAAOSw~uBmczeX/s-l140.jpg,"Sold  Jan 11, 2025"
2022-23 Topps Merlin Chrome UEFA Luka Romero Rose Gold Shimmer #/299 #130,"128,925.00 VND",https://www.ebay.com/itm/145256267376,https://i.ebayimg.com/images/g/9ZQAAOSwRAlk47hz/s-l140.jpg,"Sold  Feb 14, 2025"
2022-23 Topps Merlin Chrome UEFA UCC Luka Romero #130 Green Shimmer /350,"89,989.65 VND",https://www.ebay.com/itm/126278417365,https://i.ebayimg.com/images/g/hW8AAOSwCjVloL5O/s-l140.jpg,"Sold  Feb 7, 2025"
2022-23 Topps Merlin Chrome CC Luka Romero Rose Gold Shimmer Refractor #/299,"64,789.80 VND",https://www.ebay.com/itm/205257518252,https://i.ebayimg.com/images/g/lFwAAOSwwA5mmHIZ/s-l140.jpg,"Sold  Feb 6, 2025"
Luka Romero 2023-24 Panini Select La Liga Mezzanine Orange Prizm 36/49 Almeria,"77,355.00 VND",https://www.ebay.com/itm/126655620710,https://i.ebayimg.com/images/g/~FAAAOSwnJFmul0q/s-l140.jpg,"Sold  Jan 30, 2025"
Luka Romero 2023-24 Panini Select La Liga Soccer Mezzanine Orange 05/49,"25,785.00 VND",https://www.ebay.com/itm/376037551295,https://i.ebayimg.com/images/g/ihcAAOSwLZtnxUJk/s-l140.jpg,"Sold  Mar 7, 2025"
2022-23 Topps Merlin UEFA Club Competitions Vintage Refractor Luka Romero #130,"62,915.40 VND to 73,229.40 VND",https://www.ebay.com/itm/335678967075,https://i.ebayimg.com/images/g/2NEAAOSw3hBnOXXv/s-l140.jpg,"Sold  Jan 22, 2025"
2022 Topps Merlin UEFA Club Competitions Atomic Refractor /250 Luka Romero #130,"90,247.50 VND",https://www.ebay.com/itm/335742287100,https://i.ebayimg.com/images/g/wmMAAOSw5H5naIR2/s-l140.jpg,"Sold  Jan 19, 2025"
Luka Romero 2022-23 Topps Merlin Chrome UEFA #120 Rose Gold Shimmer /299 Lazio ,"154,710.00 VND",https://www.ebay.com/itm/365199338497,https://i.ebayimg.com/images/g/1JkAAOSwHbxk63u3/s-l140.jpg,"Sold  Jan 30, 2025"
Luka Romero 2022-23 Topps Merlin Chrome UEFA #120 Rose Gold Shimmer /299 Lazio ,"77,355.00 VND",https://www.ebay.com/itm/335742286211,https://i.ebayimg.com/images/g/qFIAAOSwFjtnaIQS/s-l140.jpg,"Sold  Jan 19, 2025"
PSA 10 2021-22 Topps Chrome UEFA Merlin Luka Romero Aqua Prism Refractor RC #32,"515,700.00 VND",https://www.ebay.com/itm/396131962630,https://i.ebayimg.com/images/g/M9QAAOSw3fJmxoch/s-l140.jpg,"Sold  Jan 24, 2025"
PSA 10 2021-22 Topps Chrome Merlin Luka Romero Yellow Wave Refractor RC /225 💎,"780,600.00 VND",https://www.ebay.com/itm/396131916423,https://i.ebayimg.com/images/g/M2gAAOSwQ5FmxofX/s-l140.jpg,"Sold  Jan 24, 2025"
2023-24 Topps UEFA Carnaval Luka Romero Blue 71/99 Argentina AC Milan,"32,231.25 VND",https://www.ebay.com/itm/365382928354,https://i.ebayimg.com/images/g/c78AAOSwxalnpW-5/s-l140.jpg,"Sold  Feb 16, 2025"
2023-24 Topps Carnaval Luka Romero Orange 21/25 Argentina AC Milan,"66,351.00 VND",https://www.ebay.com/itm/365362497780,https://i.ebayimg.com/images/g/eRsAAOSweSVnlErd/s-l140.jpg,"Sold  Jan 31, 2025"
LUKA ROMERO 2022-23 Panini Chronicles ASTRO RC Series A ⚽ #13 SS LAZIO,"6,505.00 VND",https://www.ebay.com/itm/156729956281,https://i.ebayimg.com/images/g/P90AAOSwsD5k71HS/s-l140.jpg,"Sold  Mar 5, 2025"
LUKA ROMERO 2022-23 Panini Chronicles ASTRO RC Series A ⚽ #13 SS LAZIO,"3,903.00 VND",https://www.ebay.com/itm/156690584342,https://i.ebayimg.com/images/g/P90AAOSwsD5k71HS/s-l140.jpg,"Sold  Feb 20, 2025"
2022-23 Topps Merlin Chrome LUKA ROMERO /350 GREEN SHIMMER - LAZIO,"103,819.80 VND",https://www.ebay.com/itm/335046590458,https://i.ebayimg.com/images/g/8P0AAOSwZ~dlE6Ul/s-l140.jpg,"Sold  Jan 30, 2025"
2022-23 Topps Merlin Chrome LUKA ROMERO /350 GREEN SHIMMER - LAZIO,"90,809.80 VND",https://www.ebay.com/itm/364468595844,https://i.ebayimg.com/images/g/INQAAOSwVRtk-4tP/s-l140.jpg,"Sold  Jan 30, 2025"
2022-23 Topps Merlin Chrome LUKA ROMERO /350 GREEN SHIMMER - LAZIO #130,"103,819.80 VND",https://www.ebay.com/itm/186824561485,https://i.ebayimg.com/images/g/UpMAAOSwZS1nT6xe/s-l140.jpg,"Sold  Jan 30, 2025"
2022-23 Topps Merlin Chrome LUKA ROMERO /350 GREEN SHIMMER - LAZIO,"26,020.00 VND",https://www.ebay.com/itm/375932339238,https://i.ebayimg.com/images/g/7ggAAOSwo5JmQZ8U/s-l140.jpg,"Sold  Jan 25, 2025"
2022-23 Merlin Chrome Club Competitions #130 Luka Romero Aqua Speckle #/199,"103,819.80 VND",https://www.ebay.com/itm/316029213321,https://i.ebayimg.com/images/g/H54AAOSwLr5nUjyH/s-l140.jpg,"Sold  Jan 30, 2025"
2022-23 Merlin Chrome Club Competitions #130 Luka Romero Aqua Speckle #/199,"103,819.80 VND",https://www.ebay.com/itm/196779993426,https://i.ebayimg.com/images/g/OMMAAOSwGElnKQNt/s-l140.jpg,"Sold  Jan 27, 2025"
Luka Romero 2022-23 Merlin Chrome SS LAZIO Vintage Merlin Refractor,"104,080.00 VND",https://www.ebay.com/itm/126133957451,https://i.ebayimg.com/images/g/YlwAAOSw8qZlJz8x/s-l140.jpg,"Sold  Jan 30, 2025"
Luka Romero 2022-23 Merlin Chrome SS LAZIO Green Refractor /99 #130,"91,070.00 VND",https://www.ebay.com/itm/335698183524,https://i.ebayimg.com/images/g/47UAAOSwzDJmbIjM/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Topps UCC Now Starring Orange Refraction Luka Romero 4/25,"26,020.00 VND",https://www.ebay.com/itm/365440053770,https://i.ebayimg.com/images/g/L-4AAOSwwABnx7Qa/s-l140.jpg,"Sold  Mar 9, 2025"
2023-24 Topps UCC Now Starring Orange Refraction Luka Romero 4/25,"78,060.00 VND",https://www.ebay.com/itm/365407943416,https://i.ebayimg.com/images/g/zioAAOSw~7BntUTm/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 Topps UCC Now Starring Orange Refraction Luka Romero 4/25,"50,739.00 VND",https://www.ebay.com/itm/365379332419,https://i.ebayimg.com/images/g/qR4AAOSwNh1nose8/s-l140.jpg,"Sold  Feb 9, 2025"
2023-24 Topps UCC Now Starring Orange Refraction Luka Romero 4/25,"97,575.00 VND",https://www.ebay.com/itm/365356710633,https://i.ebayimg.com/images/g/4tUAAOSwL8RnkFLH/s-l140.jpg,"Sold  Jan 26, 2025"
2023-24 Topps UCC Now Starring Orange Refraction Luka Romero 4/25,"45,535.00 VND",https://www.ebay.com/itm/365329963699,https://i.ebayimg.com/images/g/D9cAAOSwZ5pnfd2x/s-l140.jpg,"Sold  Jan 12, 2025"
Topps Deco 23/24 Luka Romero /99 Prodigy - AC Milan Numberd Parallel,"91,165.75 VND",https://www.ebay.com/itm/186921284236,https://i.ebayimg.com/images/g/9FAAAOSwNB1ls~Eo/s-l140.jpg,"Sold  Feb 7, 2025"
Topps Deco 23/24 Luka Romero /99 Prodigy - AC Milan Numberd Parallel,"96,863.61 VND",https://www.ebay.com/itm/186899204148,https://i.ebayimg.com/images/g/9FAAAOSwNB1ls~Eo/s-l140.jpg,"Sold  Jan 24, 2025"
Topps Deco 23/24 Luka Romero /99 Prodigy - AC Milan Numberd Parallel,"85,467.89 VND",https://www.ebay.com/itm/186883911572,https://i.ebayimg.com/images/g/9FAAAOSwNB1ls~Eo/s-l140.jpg,"Sold  Jan 16, 2025"
2022 Merlin Chrome UEFA Luka Romero U21 Stars #U21-12 Lazio,"36,099.00 VND",https://www.ebay.com/itm/196371250961,https://i.ebayimg.com/images/g/5XcAAOSwZ49mMFIU/s-l500.jpg,"Sold  Mar 27, 2025"
Luka Romero 2022-23 Topps Merlin Chrome UEFA Orange Refractor /25 SS Lazio #130,"386,517.15 VND",https://www.ebay.com/itm/126740688204,https://i.ebayimg.com/images/g/u3gAAOSwnHlnGo7T/s-l500.jpg,"Sold  Apr 2, 2025"
2022-23 TOPPS MERLIN CHROME UEFA CLUB COMPETITIONS #130 LUKA ROMERO 12/75 PSA 9,"232,322.85 VND",https://www.ebay.com/itm/306160294535,https://i.ebayimg.com/images/g/s8wAAeSwc5FnyQJE/s-l140.jpg,"Sold  Mar 13, 2025"
2023-24 Select La Liga LUKA ROMERO #188 Mezzanine Pink Mojo /115 UD ALMERIA,"51,570.00 VND",https://www.ebay.com/itm/135153528775,https://i.ebayimg.com/images/g/EXwAAOSwpidmmUMh/s-l140.jpg,"Sold  Mar 4, 2025"
2022-23 Select Serie A #19 Luka Romero Artistic Impressions SP,"1,546,842.15 VND",https://www.ebay.com/itm/365437710705,https://i.ebayimg.com/images/g/Mt8AAOSw4rRnxkkn/s-l140.jpg,"Sold  Mar 3, 2025"
PSA 8 - 2021/22 Merlin Chrome UEFA LUKA ROMERO RC #32,"164,766.15 VND",https://www.ebay.com/itm/306140744042,https://i.ebayimg.com/images/g/xXoAAOSwWsVnvp7b/s-l140.jpg,"Sold  Feb 28, 2025"
Luka Romero Orange /25 Now Starring! 2023-24 Topps UEFA Club Competitions UCL,"180,237.15 VND",https://www.ebay.com/itm/116153158478,https://i.ebayimg.com/images/g/LMIAAOSw7iRmIytE/s-l140.jpg,"Sold  Feb 14, 2025"
2022-23 Topps UEFA Merlin Chrome Pink Mojo Luka Romero /275 #130,"25,785.00 VND",https://www.ebay.com/itm/285448325967,https://i.ebayimg.com/images/g/3CkAAOSwr-dk6r4p/s-l140.jpg,"Sold  Feb 3, 2025"
2024 Topps Merlin Soccer Luka Romero RC 129/225 Yellow Wave #32   PWE,"77,097.15 VND",https://www.ebay.com/itm/375763524695,https://i.ebayimg.com/images/g/6JgAAOSwq8dnKBcF/s-l140.jpg,"Sold  Jan 30, 2025"
