Title,Price,Link,Image Link,Sold Date
Topps UEFA Champions League Chrome 2021 22 Auto Autograph Lukas Nmecha Autograph,"155,375.25 VND",https://www.ebay.com/itm/388144419696,https://i.ebayimg.com/images/g/kzYAAOSwluZnjlcG/s-l500.jpg,"Sold  Apr 1, 2025"
Topps UEFA Champions League Chrome 2021 22 Auto Autograph Lukas Nmecha Autograph,"118,650.19 VND",https://www.ebay.com/itm/388066747928,https://i.ebayimg.com/images/g/kzYAAOSwluZnjlcG/s-l140.jpg,"Sold  Mar 18, 2025"
Topps UEFA Champions League Chrome 2021 22 Auto Autograph Lukas Nmecha Autograph,"169,500.28 VND",https://www.ebay.com/itm/388012983063,https://i.ebayimg.com/images/g/kzYAAOSwluZnjlcG/s-l140.jpg,"Sold  Mar 7, 2025"
Topps UEFA Champions League Chrome 2021 22 Auto Autograph Lukas Nmecha Autograph,"211,875.35 VND",https://www.ebay.com/itm/387954237343,https://i.ebayimg.com/images/g/kzYAAOSwluZnjlcG/s-l140.jpg,"Sold  Feb 23, 2025"
Topps UEFA Champions League Chrome 2021 22 Auto Autograph Lukas Nmecha Autograph,"155,375.25 VND",https://www.ebay.com/itm/387843061455,https://i.ebayimg.com/images/g/kzYAAOSwluZnjlcG/s-l140.jpg,"Sold  Jan 27, 2025"
2022 Topps Bundesliga Chrome 23 Rookie Auto Autograph Lukas Nmecha Vfl To 150,"155,375.25 VND",https://www.ebay.com/itm/387988136796,https://i.ebayimg.com/images/g/8BsAAeSwhYlnuhXZ/s-l140.jpg,"Sold  Mar 2, 2025"
2022 Topps Bundesliga Chrome 23 Rookie Auto Autograph Lukas Nmecha Vfl Pink /75,"156,787.76 VND",https://www.ebay.com/itm/387988126310,https://i.ebayimg.com/images/g/0T0AAeSwjSJnuhYM/s-l140.jpg,"Sold  Mar 2, 2025"
2022 Topps Bundesliga Chrome 23 Rookie Auto Autograph Lukas Nmecha Vfl Green 99,"127,125.21 VND",https://www.ebay.com/itm/387790387232,https://i.ebayimg.com/images/g/tpgAAOSwXoJnVhto/s-l140.jpg,"Sold  Jan 10, 2025"
2022 Select FIFA Lukas Nmecha Signatures Tie Dye Auto #8/25,"154,967.85 VND",https://www.ebay.com/itm/126909274517,https://i.ebayimg.com/images/g/5GgAAeSwPRFnmrX1/s-l140.jpg,"Sold  Feb 3, 2025"
2022 Select FIFA Lukas Nmecha Signatures Auto #S-LNA,"128,925.00 VND",https://www.ebay.com/itm/126909274486,https://i.ebayimg.com/images/g/al4AAeSw2jJnmrYj/s-l140.jpg,"Sold  Feb 3, 2025"
Lukas Nmecha Auto /99 Topps Chrome Bundesliga 21/22 VfL Wolfsburg ,"169,500.28 VND",https://www.ebay.com/itm/167388778483,https://i.ebayimg.com/images/g/ecAAAeSw1epn2xv1/s-l140.jpg,"Sold  Mar 29, 2025"
2021-22 Topps Chrome Sapphire UEFA #66 Lukas Nmecha Yellow Wolfsburg 64/99,"25,527.15 VND",https://www.ebay.com/itm/388109406948,https://i.ebayimg.com/images/g/f70AAOSwZOVnJljK/s-l140.jpg,"Sold  Mar 23, 2025"
