Title,Price,Link,Image Link,Sold Date
🔥Luton Town FC - 2023/24 Prizm EPL Soccer - 2 International Box Break,"64,462.50 VND",https://www.ebay.com/itm/335868918813,https://i.ebayimg.com/images/g/W7sAAeSwQ5Nn2knd/s-l140.jpg,"Sold  Mar 30, 2025"
🔥Luton Town FC - 2023/24 Prizm EPL Soccer - 2 International Box Break,"167,602.50 VND",https://www.ebay.com/itm/335855923138,https://i.ebayimg.com/images/g/8QQAAeSwaAlnz8FY/s-l140.jpg,"Sold  Mar 17, 2025"
🔥Luton Town FC - 2023/24 Prizm EPL Soccer - 2 International Box Break,"109,586.25 VND",https://www.ebay.com/itm/335843404755,https://i.ebayimg.com/images/g/JIMAAeSwH6lnxpAH/s-l140.jpg,"Sold  Mar 10, 2025"
🔥Luton Town FC - 2023/24 Prizm EPL Soccer - 1 Hobby Box Break,"64,462.50 VND",https://www.ebay.com/itm/335821015445,https://i.ebayimg.com/images/g/heEAAeSwwUBntjdg/s-l140.jpg,"Sold  Feb 24, 2025"
Luton Town FC 2023-24 Panini Immaculate Soccer Hobby 3 Box Break #189,"128,667.15 VND",https://www.ebay.com/itm/376056329921,https://i.ebayimg.com/images/g/VuoAAOSwyg9nzkK~/s-l140.jpg,"Sold  Mar 15, 2025"
Luton Town FC 2023-24 Panini Immaculate Soccer Hobby 3 Box Break #183,"167,602.50 VND",https://www.ebay.com/itm/376037196358,https://i.ebayimg.com/images/g/FKkAAOSwrxlnxRC7/s-l140.jpg,"Sold  Mar 8, 2025"
Luton Town FC 2023-24 Panini Immaculate Soccer Hobby 3 Box Break #178,"141,817.50 VND",https://www.ebay.com/itm/376018504250,https://i.ebayimg.com/images/g/mQoAAOSwhEZnu4NT/s-l140.jpg,"Sold  Mar 1, 2025"
Luton Town FC 2023-24 PANINI IMMACULATE SOCCER 3 BOX 1/2 CASE TEAM BREAK 23/24 2,"141,817.50 VND",https://www.ebay.com/itm/146425592132,https://i.ebayimg.com/images/g/mmcAAOSwIZFnxJ8r/s-l140.jpg,"Sold  Mar 4, 2025"
Luton Town FC 2023-24 PANINI IMMACULATE SOCCER 3 BOX 1/2 CASE TEAM BREAK 23/24 1,"296,527.50 VND",https://www.ebay.com/itm/146424600496,https://i.ebayimg.com/images/g/mmcAAOSwIZFnxJ8r/s-l140.jpg,"Sold  Mar 3, 2025"
Ross Barkley 2023-24 Panini Impeccable Soccer Silver Bar /37 Luton Town FC #46,"1,661,124.18 VND",https://www.ebay.com/itm/316171728279,https://i.ebayimg.com/images/g/4BAAAOSwhwtnm8sj/s-l140.jpg,"Sold  Feb 13, 2025"
Ross Barkley 2023-24 Panini Impeccable Soccer Silver Bar 03/37 Luton Town FC,"1,072,398.15 VND",https://www.ebay.com/itm/286282607290,https://i.ebayimg.com/images/g/1qwAAOSwJTZnk-6K/s-l140.jpg,"Sold  Feb 2, 2025"
"2023-24 Panini Impeccable Premier League Ross Barkley, Luton Town FC /62","154,710.00 VND",https://www.ebay.com/itm/146221084137,https://i.ebayimg.com/images/g/7EcAAOSwJc5nRKdn/s-l140.jpg,"Sold  Jan 25, 2025"
2023-24 Panini Impeccable Premier League - Ross Barkley - Luton Town FC 07/62,"51,312.15 VND",https://www.ebay.com/itm/365353138317,https://i.ebayimg.com/images/g/tnYAAOSwC21nja4M/s-l140.jpg,"Sold  Jan 24, 2025"
2023/24 PANINI OBSIDIAN ROSS BARKLEY DIE CUT EQUINOX /120 CARD #8 LUTON TOWN FC,"78,060.00 VND",https://www.ebay.com/itm/356342674660,https://i.ebayimg.com/images/g/JAcAAOSwsqBnUUf0/s-l140.jpg,"Sold  Mar 30, 2025"
2023/24 PANINI OBSIDIAN ROSS BARKLEY DIE CUT EQUINOX /5 GREEN #8 LUTON TOWN FC,"405,962.48 VND",https://www.ebay.com/itm/205231455514,https://i.ebayimg.com/images/g/tn4AAOSwo15ni6C4/s-l140.jpg,"Sold  Jan 25, 2025"
Amari'i Bell Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #8,"64,789.80 VND",https://www.ebay.com/itm/236011206737,https://i.ebayimg.com/images/g/TqYAAOSwFaNn2gY0/s-l140.jpg,"Sold  Mar 23, 2025"
Thomas Kaminski Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #7,"64,789.80 VND",https://www.ebay.com/itm/235998676835,https://i.ebayimg.com/images/g/goMAAOSwTN5nz6CK/s-l140.jpg,"Sold  Mar 17, 2025"
Elijah Adebayo Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #6,"130,100.00 VND",https://www.ebay.com/itm/235979715968,https://i.ebayimg.com/images/g/AssAAOSwzJ5nv8Jy/s-l140.jpg,"Sold  Mar 5, 2025"
Chiedozie Ogbene Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #6,"64,789.80 VND",https://www.ebay.com/itm/235979686890,https://i.ebayimg.com/images/g/faAAAOSwTVRnv7zp/s-l140.jpg,"Sold  Mar 5, 2025"
Carlton Morris Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #5,"64,789.80 VND",https://www.ebay.com/itm/235975215438,https://i.ebayimg.com/images/g/awcAAOSw4SVnvRmR/s-l140.jpg,"Sold  Mar 3, 2025"
Amari'i Bell Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #5,"64,789.80 VND",https://www.ebay.com/itm/235975200518,https://i.ebayimg.com/images/g/fIwAAOSwebVnvRTo/s-l140.jpg,"Sold  Mar 3, 2025"
Alfie Doughty Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #5,"64,789.80 VND",https://www.ebay.com/itm/235975199447,https://i.ebayimg.com/images/g/IQ4AAOSw7WdnvRRy/s-l140.jpg,"Sold  Mar 3, 2025"
Ross Barkley Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"64,789.80 VND",https://www.ebay.com/itm/235972646156,https://i.ebayimg.com/images/g/9lsAAOSwU8Jnupw4/s-l140.jpg,"Sold  Feb 27, 2025"
Amari'i Bell Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"64,789.80 VND",https://www.ebay.com/itm/235972519031,https://i.ebayimg.com/images/g/A1AAAOSwMftnunU9/s-l140.jpg,"Sold  Feb 27, 2025"
Alfie Doughty Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"64,789.80 VND",https://www.ebay.com/itm/235972516627,https://i.ebayimg.com/images/g/TRIAAOSwmtdnunTI/s-l140.jpg,"Sold  Feb 27, 2025"
Tom Lockyer Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #3,"64,789.80 VND",https://www.ebay.com/itm/235968031554,https://i.ebayimg.com/images/g/a30AAOSwBVpnt~Sb/s-l140.jpg,"Sold  Feb 25, 2025"
Chiedozie Ogbene Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #3,"64,789.80 VND",https://www.ebay.com/itm/235967686359,https://i.ebayimg.com/images/g/Nb0AAOSww91nt9B-/s-l140.jpg,"Sold  Feb 25, 2025"
Amari'i Bell Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #3,"132,962.20 VND",https://www.ebay.com/itm/235967663271,https://i.ebayimg.com/images/g/fhoAAOSw1Fhnt8uR/s-l140.jpg,"Sold  Feb 25, 2025"
Alfie Doughty Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #3,"64,789.80 VND",https://www.ebay.com/itm/235967661793,https://i.ebayimg.com/images/g/EGwAAOSw~WFnt8r6/s-l140.jpg,"Sold  Feb 25, 2025"
Tom Lockyer Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"64,789.80 VND",https://www.ebay.com/itm/235961897446,https://i.ebayimg.com/images/g/TG8AAOSwyoJnsq5t/s-l140.jpg,"Sold  Feb 23, 2025"
Chiedozie Ogbene Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"64,789.80 VND",https://www.ebay.com/itm/235961750947,https://i.ebayimg.com/images/g/~fQAAOSw2a5nsopw/s-l140.jpg,"Sold  Feb 23, 2025"
Amari'i Bell Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"64,789.80 VND",https://www.ebay.com/itm/235961732038,https://i.ebayimg.com/images/g/kokAAOSwz5RnsoVz/s-l140.jpg,"Sold  Feb 23, 2025"
Alfie Doughty Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"64,789.80 VND",https://www.ebay.com/itm/235961730905,https://i.ebayimg.com/images/g/mvEAAOSwSP1nsoT-/s-l140.jpg,"Sold  Feb 23, 2025"
Tom Lockyer Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"64,789.80 VND",https://www.ebay.com/itm/235957670731,https://i.ebayimg.com/images/g/BGcAAOSwqCNnrrk-/s-l140.jpg,"Sold  Feb 20, 2025"
Chiedozie Ogbene Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"64,789.80 VND",https://www.ebay.com/itm/235957524521,https://i.ebayimg.com/images/g/B1YAAOSwfmpnrpxx/s-l140.jpg,"Sold  Feb 20, 2025"
Carlton Morris Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"64,789.80 VND",https://www.ebay.com/itm/235957524472,https://i.ebayimg.com/images/g/1qUAAOSwz5Rnrpxs/s-l140.jpg,"Sold  Feb 20, 2025"
Amari'i Bell Luton Town FC 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"64,789.80 VND",https://www.ebay.com/itm/235957519127,https://i.ebayimg.com/images/g/0woAAOSwXYRnrptZ/s-l140.jpg,"Sold  Feb 20, 2025"
